Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall (%),Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (%),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%),Pos->Neg Predictions Containing the Target Verb (%),Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb)
7.00,182.00,80.00,80.00,80.00,102.00,0.00,1.00,0.00,0.44,714.00,808.00,816.00,1.00,0.35,1.00,0.34,1.00,0.35,1.00,0.34,180.00,80.00,100.00,0.99,1.00,0.98,1.00,1.00,0.00,0.09,65.00,51.00,9.00,0.14,35.00,0.50,0.78,0.64,0.89,0.07,0.08
8.00,114.00,60.00,60.00,60.00,54.00,0.00,1.00,0.00,0.53,432.00,498.00,486.00,1.00,0.26,1.00,0.26,1.00,0.26,1.00,0.26,111.00,60.00,51.00,0.97,1.00,0.94,1.00,1.00,0.00,0.17,47.00,38.00,9.00,0.19,4.00,0.70,0.81,0.87,1.00,0.13,0.13
9.00,806.00,415.00,415.00,415.00,391.00,0.00,1.00,0.00,0.51,"3,519.00","4,013.00","3,910.00",1.00,0.36,1.00,0.37,1.00,0.36,1.00,0.37,791.00,415.00,376.00,0.98,1.00,0.96,1.00,1.00,0.00,0.10,243.00,203.00,39.00,0.16,133.00,0.52,0.84,0.62,0.95,0.00,0.00
10.00,406.00,190.00,192.00,190.00,214.00,0.00,0.99,0.00,0.47,"2,140.00","2,417.00","2,354.00",1.00,0.32,1.00,0.33,1.00,0.32,1.00,0.33,397.00,192.00,205.00,0.98,1.00,0.96,0.99,0.99,0.00,0.07,162.00,148.00,14.00,0.09,43.00,0.69,0.91,0.76,0.99,0.00,0.00
11.00,799.00,395.00,400.00,395.00,399.00,0.00,0.99,0.00,0.49,"4,389.00","4,917.00","4,788.00",1.00,0.37,1.00,0.38,1.00,0.37,1.00,0.38,752.00,400.00,352.00,0.94,1.00,0.88,1.00,1.00,0.00,0.12,226.00,180.00,46.00,0.20,126.00,0.45,0.80,0.57,1.00,0.11,0.11
12.00,424.00,200.00,202.00,200.00,222.00,0.00,0.99,0.00,0.47,"2,664.00","2,933.00","2,886.00",1.00,0.38,1.00,0.39,1.00,0.38,1.00,0.39,408.00,202.00,206.00,0.96,1.00,0.93,1.00,1.00,0.00,0.03,159.00,152.00,7.00,0.04,47.00,0.68,0.96,0.72,1.00,0.13,0.13
13.00,715.00,345.00,361.00,344.00,354.00,1.00,0.95,0.00,0.48,"4,602.00","5,061.00","4,956.00",0.99,0.36,0.99,0.37,1.00,0.37,1.00,0.37,701.00,360.00,341.00,0.98,1.00,0.96,0.98,0.99,0.00,0.04,190.00,176.00,14.00,0.07,151.00,0.50,0.93,0.54,0.94,0.02,0.02
14.00,523.00,244.00,257.00,244.00,266.00,0.00,0.95,0.00,0.47,"3,724.00","4,049.00","3,990.00",0.99,0.39,0.99,0.40,0.99,0.40,0.99,0.40,510.00,257.00,253.00,0.98,1.00,0.95,0.98,0.99,0.00,0.05,156.00,144.00,12.00,0.08,97.00,0.54,0.92,0.59,0.92,0.00,0.00
15.00,"1,559.00",692.00,761.00,692.00,798.00,0.00,0.91,0.00,0.44,"11,970.00","13,174.00","12,768.00",0.98,0.34,0.98,0.36,0.99,0.35,0.99,0.36,"1,462.00",753.00,709.00,0.94,0.99,0.89,0.97,0.98,0.00,0.02,336.00,321.00,15.00,0.04,373.00,0.40,0.96,0.42,0.98,0.07,0.07
16.00,"1,063.00",469.00,524.00,469.00,539.00,0.00,0.90,0.00,0.44,"8,624.00","9,357.00","9,163.00",0.98,0.38,0.98,0.39,0.98,0.39,0.98,0.40,"1,011.00",517.00,494.00,0.95,0.99,0.92,0.96,0.97,0.00,0.03,308.00,290.00,18.00,0.06,186.00,0.54,0.94,0.57,0.98,0.11,0.11
17.00,462.00,166.00,236.00,166.00,226.00,0.00,0.70,0.00,0.36,"3,842.00","4,133.00","4,068.00",0.93,0.39,0.93,0.40,0.96,0.40,0.96,0.41,436.00,229.00,207.00,0.94,0.97,0.92,0.86,0.88,0.00,0.00,126.00,122.00,4.00,0.03,81.00,0.54,0.97,0.56,0.97,0.11,0.11
18.00,143.00,43.00,79.00,43.00,64.00,0.00,0.54,0.00,0.30,"1,152.00","1,227.00","1,216.00",0.88,0.41,0.88,0.42,0.92,0.44,0.92,0.45,135.00,74.00,61.00,0.94,0.94,0.95,0.73,0.76,0.00,0.00,41.00,41.00,0.00,0.00,20.00,0.64,1.00,0.64,0.94,0.06,0.07
19.00,768.00,159.00,379.00,159.00,389.00,0.00,0.42,0.00,0.21,"7,391.00","7,999.00","7,780.00",0.90,0.29,0.90,0.30,0.95,0.32,0.95,0.33,733.00,360.00,373.00,0.95,0.95,0.96,0.80,0.87,0.00,0.01,136.00,132.00,4.00,0.03,237.00,0.34,0.97,0.35,0.89,0.10,0.11
20.00,743.00,153.00,372.00,153.00,371.00,0.00,0.41,0.00,0.21,"7,420.00","7,936.00","7,791.00",0.87,0.32,0.87,0.33,0.93,0.36,0.93,0.36,680.00,338.00,342.00,0.92,0.91,0.92,0.74,0.82,0.00,0.01,161.00,159.00,2.00,0.01,181.00,0.43,0.99,0.43,0.91,0.08,0.09
21.00,547.00,65.00,285.00,65.00,262.00,0.00,0.23,0.00,0.12,"5,502.00","5,835.00","5,764.00",0.79,0.33,0.80,0.33,0.87,0.37,0.87,0.38,481.00,242.00,239.00,0.88,0.85,0.91,0.59,0.64,0.00,0.00,119.00,119.00,0.00,0.00,120.00,0.45,1.00,0.45,0.91,0.11,0.13
22.00,340.00,29.00,166.00,29.00,174.00,0.00,0.17,0.00,0.09,"3,828.00","4,038.00","4,002.00",0.76,0.34,0.76,0.35,0.84,0.39,0.84,0.39,306.00,142.00,164.00,0.90,0.86,0.94,0.50,0.55,0.00,0.00,92.00,91.00,1.00,0.01,72.00,0.52,0.99,0.53,0.90,0.09,0.10
23.00,233.00,5.00,106.00,5.00,127.00,0.00,0.05,0.00,0.02,"2,921.00","3,082.00","3,048.00",0.68,0.28,0.68,0.29,0.80,0.35,0.81,0.35,215.00,94.00,121.00,0.92,0.89,0.95,0.36,0.49,0.00,0.00,58.00,58.00,0.00,0.00,63.00,0.46,1.00,0.46,0.86,0.06,0.07
24.00,173.00,2.00,92.00,2.00,81.00,0.00,0.02,0.00,0.01,"1,944.00","2,023.00","2,025.00",0.59,0.30,0.60,0.30,0.72,0.37,0.72,0.37,131.00,66.00,65.00,0.76,0.72,0.80,0.21,0.30,0.00,0.00,35.00,34.00,1.00,0.03,30.00,0.42,0.97,0.43,0.65,0.10,0.15
