target,prediction,target length,correct,Preserves grammatical categories,Preserves Tree Structure,Preserves Significant Clauses,Negates Main Verb,Negates Target Verb
petunia should not hide the doughnuts that lily should prepare since he may eat a cookie which voldemort should gobble,petunia should not hide the doughnuts that he should prepare since lily may eat a cookie which voldemort should gobble,20,0,0,0,1,1,1
since the professor may chew a eclaire sirius can not prepare the pancakes that draco must eat since dobby can make the strudels,since the professor may chew a eclaire sirius can not prepare the pancakes that draco can eat since dobby must make the strudels,23,0,1,1,1,1,1
since hermione must make many croissants james should not sprinkle a pancake since draco must hide the doughnut that lily must gobble,since hermione must make many croissants james should not sprinkle a pancake since dobby must hide the doughnut that lily must sprinkle,22,0,1,1,1,1,1
a witch must not chew many strudels that she may create since vernon must create the eclaires,a witch must not chew many cakes that she may create since vernon must create the eclaires,17,0,1,1,1,1,1
since he may prepare the chocolates which mcgonagall can make petunia can not gobble a strudel which fred can chew,since he may prepare the chocolates which he can make ron can not gobble a strudel which snape can chew,20,0,0,0,1,1,1
because petunia should hiccup the witch may not make the doughnuts that a witch can hide since fred must create the cakes,because petunia should hiccup the witch may not eat the doughnuts that a witch can chew since fred must create the cakes,22,0,1,1,1,1,0
sirius may not arrange many baklava that a student must assemble since harry should gobble many chocolates that sirius can create,sirius may not arrange many baklava that a student must assemble since sirius should gobble many chocolates that harry can create,21,0,1,1,1,1,1
because a student should make the chocolates that snape should assemble a wizard can not sprinkle a chocolate that fred may gobble,because a student should make the chocolates that snape can assemble a wizard should not sprinkle a chocolate that fred may gobble,22,0,1,1,1,1,1
since albus can giggle because fred must chew the cookie that dobby must make ginny may not giggle,since albus can giggle because fred must chew the cookie that must not make the doughnut that james may giggle,18,0,0,N/A,N/A,N/A,0
hermione must not swim since albus must giggle because hermione must arrange a cookie which voldemort may hide,hermione must not swim because albus must arrange since a wizard must laugh since neville may hide a doughnut,18,0,0,N/A,N/A,N/A,1
because neville must giggle mcgonagall must not hide the pancakes since a student can eat the pancake that lily must hide,because neville must giggle since mcgonagall must hide the pancakes a student can not eat the chocolates that lily must hide,21,0,0,0,0,1,0
since lily should swim dobby should not assemble a croissant that ginny should create since the professor should hide the cookies,since lily should swim dobby should not assemble a croissant since ginny should create the cookies that the professor should hide,21,0,0,0,0,1,1
because he should sprinkle the cookie because draco may gobble the chocolate which hagrid must make ron should not hiccup,because he should sprinkle the cookie because draco may gobble the chocolate hagrid must not make the cookie which ron should hiccup,20,0,0,N/A,N/A,N/A,0
albus may not prepare many croissants that fred should prepare because the professor may gobble the cakes which james should make,albus may not prepare many croissants that fred should prepare because the professor may prepare the cakes which james should make,21,0,1,1,1,1,1
since draco should chew the chocolates because mcgonagall may arrange the eclaires which dobby must arrange neville may not jump,since draco should chew the cakes because mcgonagall may arrange the cookies neville must not arrange a chocolate,20,0,0,0,0,1,0
hagrid may not chew the baklava since harry can sprinkle a strudel which james must eat since hermione can smile,hagrid may not chew the baklava since harry can sprinkle a strudel which james must eat since hermione can wiggle,20,0,1,1,1,1,1
she can not jump since hagrid may gobble the cookies since fred may arrange the strudels,she can not jump since hagrid may gobble the strudels since fred may arrange the cookies,16,0,1,1,1,1,1
snape may not giggle because she may eat the cakes that petunia may gobble because snape can walk,snape may not giggle because she may eat the cakes that snape may gobble because petunia can giggle,18,0,1,1,1,1,1
because hermione must eat the cookie because james can create the doughnut lupin may not create the baklava which james should eat,because hermione must eat the cookie because james can create the croissants lupin may not eat the pancake,22,0,0,0,0,1,0
sirius can not chew a chocolate that mcgonagall should hide since a student may sprinkle the cakes that a wizard should prepare,sirius can not chew a chocolate that mcgonagall should sprinkle since a student may hide the cakes that a wizard should chew,22,0,1,1,1,1,1
because a student should arrange the cookie the student must not assemble the cookies that george should chew since fred must swim,because a student should arrange the cookie the student should not assemble the chocolates that voldemort must chew since fred must swim,22,0,1,1,1,1,1
