Target,Prediction,Source Length
because mcgonagall should laugh since george must assemble the cookie since voldemort should laugh james should gobble a eclaire,because mcgonagall should laugh since george must assemble the cookie voldemort should should a doughnut since george should swim,19
since vernon can prepare the cookies sirius should create the cakes which a wizard must chew because lily may party,since vernon can prepare the cookies which should create the cakes which the professor must chew because lily may party,20
since a professor must chew the cake james should arrange a chocolate because dobby can arrange a souffle,since a professor must chew the cake james should arrange a chocolate which dobby can arrange a souffle,18
since the student may assemble the doughnuts which the wizard should chew since she can hide a chocolate a wizard must hiccup,since the student may assemble the doughnuts which the professor should chew since wizard can hide a chocolate since she must hiccup,22
since a student must party harry must hide many cookies that a student may prepare because albus should eat a baklava,since a student must party because james must hide the strudels that a may prepare a pancake that harry should eat,21
since hermione may laugh because she should party the wizard may assemble the pancake because sirius may wiggle,since hermione may laugh because she should assemble the the wizard may assemble the croissants because sirius may party,18
since lupin can giggle she can wiggle since the student should smile since snape can create the cake,since lupin can giggle since she can wiggle the wizard should smile since the cake create the cake,18
since she can assemble the baklava which neville may create petunia should assemble the souffle because snape may smile,since she can assemble the baklava which neville may create the souffle should assemble the souffle because draco may smile,19
because ron should chew the strudels that ginny can prepare because hermione must create a souffle george can arrange a cake,because ron should chew the strudels that hermione can create because ginny must prepare the souffle that vernon can create a cake,21
because ginny can run since a student should prepare the cookies vernon can assemble the baklava that voldemort must gobble,because ginny can run since a student should prepare the cookies that vernon can assemble the baklava that voldemort must gobble,20
since ginny may arrange the baklava which mcgonagall may chew the wizard should sprinkle the souffle,since ginny may arrange the baklava which the may chew since mcgonagall should sprinkle the souffle,16
since the witch may hide the cookie since the student should hide the chocolate the wizard must make a eclaire,since the witch may hide the cookie the the student should hide the chocolate since the wizard must run,20
because the witch must hiccup because hagrid must hide the croissant vernon should sprinkle a chocolate that she may arrange,because the witch must hiccup because hagrid must sprinkle the croissant that vernon should hide a chocolate vernon may hiccup,20
since lily should assemble the croissants hermione can chew a baklava since sirius may giggle,since lily should assemble the croissants since hermione chew a baklava since sirius may giggle,15
because snape must prepare the souffles james must sprinkle the chocolate that a wizard should create because neville should swim,because snape must prepare the souffles the wizard must create a chocolate that james should sprinkle the wizard should swim,20
because petunia must prepare many eclaires that fred can create ron must walk because george must assemble the eclaires,because petunia must prepare many eclaires that mcgonagall can create because must walk since ron must assemble the eclaires,19
because fred can create the chocolates that a professor must sprinkle a wizard should gobble the cookie which he should assemble,because fred can create the chocolates a a professor must sprinkle a cookie that the should gobble he should assemble the cookie,21
since the witch must make the pancake which a wizard may hide because a student should laugh ron can party,since the witch must make the croissants which a student may hide a pancake because vernon can giggle because ron should laugh,20
because the student should jump he may party because albus should make the strudels,because the student should jump because may party because he should make the strudels,14
since ginny must eat a strudel lily may wiggle since harry can chew a pancake that she can create,since ginny must eat a strudel lily can eat a pancake since harry may chew she can create a pancake,19
because albus should assemble a pancake she can make the croissant that the student should chew because a professor should laugh,because albus should assemble a croissant she can make the croissants that the student should chew a professor should laugh,21
because the student must assemble a cookie which the student should prepare petunia should hide the eclaire that petunia can chew,because the student must assemble a cookie which the student should prepare petunia petunia should hide the eclaire that petunia can chew,21
