target	prediction	equal structures	equal S, AdvP, and RelP clauses	negates main clause	negates target verb
vernon can not assemble many doughnuts	fred can not assemble many doughnuts	1	1	1	1
the professor should not eat many pancakes	the professor should not eat the pancakes	1	1	1	1
a witch may not sprinkle the croissant	a witch may not sprinkle a croissant	1	1	1	1
petunia can not party because she should run	petunia can not run because she should run	1	1	1	0
since draco should party she can not hiccup	since draco should hiccup she should not hiccup	1	1	1	0
james may not jump since mcgonagall must smile	james may not smile since voldemort must smile	1	1	1	0
snape should not laugh because petunia can swim	snape should not swim because petunia can swim	1	1	1	0
since george can wiggle he can not run	since george can run he can not run	1	1	1	0
lily can not wiggle since petunia should giggle	lily can not wiggle since petunia should eat the baklava	0	0	1	1
because snape must party voldemort should not laugh	because snape must party she should not laugh	0	1	1	1
lily should not hiccup because draco should laugh	lily should not laugh since she should laugh	0	1	1	0
albus must not party because neville can swim	albus must not swim because hagrid can swim	1	1	1	0
lupin can not party since he can jump	lupin can not jump since he can jump	1	1	1	0
james can not swim since albus should party	james can not party since lupin should party	1	1	1	0
james may not smile since he should run	james may not run since he should run	1	1	1	0
hermione can not run because neville must wiggle	hermione can not wiggle because he must wiggle	0	1	1	0
james can not jump because hermione must giggle	james can not giggle because james should giggle	1	1	1	0
neville should not run since a professor should swim	neville should not assemble a croissant since a witch should hide a croissant	0	0	1	0
a witch must not laugh because hermione may wiggle	a witch must not wiggle because vernon may wiggle	1	1	1	0
because neville may hiccup a professor should not swim	because neville may hiccup a professor may not hiccup	1	1	1	0
ron can not laugh because a student can giggle	ron can not giggle because a student can giggle	1	1	1	0
ginny should not party since a professor should laugh	ginny should not party since a professor should party	1	1	1	1
the student may not party because he should walk	the student may not walk because he should walk	1	1	1	0
because he may party a wizard should not jump	because he may party a wizard should not party	1	1	1	0
voldemort should not laugh since the professor can party	voldemort should not party since draco can party	0	1	1	0
a professor should not swim because lupin should jump	a professor should not jump because lupin should jump	1	1	1	0
she must not arrange the cookies that harry should chew	she must not arrange the cookies that ron must arrange	1	1	1	1
voldemort can not make a souffle because george should laugh	voldemort can not make a souffle	0	0	1	1
he should not make the chocolates that snape should make	he should not make the chocolates that james should make	1	1	1	1
sirius must not gobble the baklava which draco can chew	sirius must not gobble the baklava which snape should gobble	1	1	1	1
ron should not giggle since petunia may hide many cookies	ron should not hide many cookies since neville may hide many cookies	0	0	1	0
petunia must not hide many cookies which neville should hide	petunia must not hide many cookies which hagrid must hide	1	1	1	1
lily must not giggle since mcgonagall can sprinkle the pancakes	lily must not sprinkle the pancakes since mcgonagall can sprinkle the cookies	0	0	1	0
ron should not eat the croissant which fred may chew	ron should not eat the croissant which the professor should eat	0	1	1	1
because mcgonagall must giggle vernon should not assemble a croissant	because mcgonagall must assemble a pancake vernon should not assemble the pancake	0	0	1	0
he must not eat the croissant that hermione should sprinkle	he must not eat the croissant that a professor must eat	0	1	1	1
hagrid must not assemble the cookies that albus should make	hagrid must not assemble the cookies that ron must assemble	1	1	1	1
hermione should not gobble many strudels which snape must arrange	hermione should not gobble many strudels which hagrid should gobble	1	1	1	1
lupin must not gobble the cakes which hagrid may make	lupin must not gobble the cakes which he should gobble	0	1	1	1
dobby can not sprinkle the cake because snape should hiccup	dobby can not hiccup because snape should hiccup	0	0	1	0
james should not make the strudel since she should laugh	james should not make the strudel	0	0	1	1
lupin should not assemble many cakes which vernon can assemble	lupin should not assemble many cakes which neville should assemble	1	1	1	1
albus may not assemble the souffle which vernon should arrange	albus may not assemble the souffle which a student must assemble	0	1	1	1
hagrid should not assemble the souffles that hermione must arrange	hagrid should not assemble the souffles that she should assemble	0	1	1	1
vernon should not arrange the strudel that hermione can gobble	vernon should not arrange the strudel that a witch should arrange	0	1	1	1
he must not hide the strudel which fred should gobble	he must not hide the strudel which snape must assemble	1	1	1	1
hermione should not hide the cake that mcgonagall should make	hermione should not hide the cake that a professor should hide	0	1	1	1
neville must not hide the chocolates because snape should jump	neville must not hide the chocolates	0	0	1	1
vernon may not eat the cookies because harry must wiggle	vernon may not eat the cookies	0	0	1	1
snape should not hide a croissant which fred must arrange	snape should not hide a croissant which a professor should hide	0	1	1	1
snape can not create the souffles which mcgonagall may sprinkle	snape can not create the souffles which a student must create	0	1	1	1
petunia should not gobble the croissant that mcgonagall can eat	petunia should not gobble the pancakes that voldemort can eat	0	1	1	1
ron must not jump because sirius must eat many cookies	ron must not eat many cookies because neville must eat many cookies	0	0	1	0
ron can not make a cake that mcgonagall should sprinkle	ron can not make a cake that a professor should make	0	1	1	1
ron may not create the pancakes that george should make	ron may not create the pancakes that hagrid must create	1	1	1	1
james may not prepare the croissant that neville should chew	james may not prepare the croissant that the professor should prepare	0	1	1	1
hagrid must not smile because ron must arrange the strudels	hagrid must not arrange the strudels because neville must arrange the strudels	0	0	1	0
lupin can not prepare the strudels that george may gobble	lupin can not prepare the strudels that hagrid can prepare	1	1	1	1
harry must not make many chocolates that she may hide	harry must not make many chocolates that hagrid should make	0	1	1	1
lupin may not sprinkle the chocolates that snape should eat	lupin may not sprinkle the chocolates that petunia must sprinkle	1	1	1	1
lupin must not assemble the souffles that snape can gobble	lupin must not assemble the souffles that she should assemble	0	1	1	1
he must not prepare the chocolates since james can party	he must not prepare the chocolates	0	0	1	1
ron should not hide the baklava because albus should smile	ron should not smile since hagrid should smile	0	0	1	0
hagrid must not arrange many doughnuts that draco should assemble	hagrid must not arrange many doughnuts that harry should arrange	1	1	1	1
george should not eat the chocolates which albus should prepare	george should not eat the chocolates which hermione should eat	1	1	1	1
ginny should not walk because ron can assemble a strudel	ginny should not assemble a strudel because a wizard should assemble a strudel	0	0	1	0
fred must not assemble the pancake that she can chew	fred must not assemble the pancake that a student must assemble	0	1	1	1
snape may not hide many doughnuts that dobby must assemble	snape may not hide many doughnuts that harry may hide	1	1	1	1
he should not assemble a croissant which neville should hide	he should not assemble a croissant which a professor must assemble	0	1	1	1
she should not assemble a chocolate which he can eat	she should not eat a chocolate which he can eat	1	1	1	0
snape must not arrange the eclaires that mcgonagall may create	snape must not arrange the eclaires that lupin must arrange	1	1	1	1
hagrid can not assemble the doughnuts that he can sprinkle	hagrid can not sprinkle the doughnuts that he can sprinkle	1	1	1	0
lily may not create a chocolate that dobby can assemble	lily may not create a chocolate that a professor must create	0	1	1	1
lily should not gobble the chocolate that fred can prepare	lily should not gobble the chocolate that he should gobble	0	1	1	1
because sirius should hide a baklava petunia should not giggle	because sirius should hide a baklava petunia should not hide a baklava	0	0	1	0
dobby must not sprinkle a cake that george may create	dobby must not sprinkle a cake that a professor should sprinkle	0	1	1	1
mcgonagall must not sprinkle the strudels that hagrid can eat	mcgonagall must not sprinkle the strudels that hagrid must sprinkle	1	1	1	1
snape should not sprinkle the cookies that hermione may arrange	snape should not sprinkle the cookies that a professor should sprinkle	0	1	1	1
james should not create the strudels because ginny may swim	james should not swim because hagrid may swim	0	0	1	0
fred can not prepare a chocolate that james must gobble	fred can not prepare a chocolate that a professor must prepare	0	1	1	1
lupin must not gobble the cakes which ginny must make	lupin must not gobble the cakes which he should gobble	0	1	1	1
hagrid should not make the cookies that he must make	hagrid should not make the cookies that ron should make	0	1	1	1
ron must not make the strudels that ginny may assemble	ron must not make the strudels that james must make	1	1	1	1
albus can not assemble a chocolate that albus should eat	albus can not assemble a chocolate that a professor should assemble	0	1	1	1
ron can not chew the strudels which ginny should make	ron can not chew the strudels which a student can chew	0	1	1	1
draco may not make the souffles that vernon may make	draco may not make the souffles that james must make	1	1	1	1
vernon can not create many baklava which george must prepare	vernon can not create many baklava which hagrid should create	1	1	1	1
ginny should not prepare the doughnut that ginny can create	ginny should not prepare the doughnut that she should prepare	0	1	1	1
he may not party because vernon may make many doughnuts	he may not make a pancake because vernon may make the doughnuts	0	0	1	0
petunia may not make the doughnut that snape must arrange	petunia may not make the doughnut that she should make	0	1	1	1
neville should not giggle because james can arrange many strudels	neville should not arrange many strudels	0	0	1	0
she must not assemble the chocolates that lily can make	she must not assemble the chocolates that james must assemble	1	1	1	1
voldemort must not create the souffles that mcgonagall can arrange	voldemort must not create the souffles that a student must create	0	1	1	1
snape should not assemble the baklava which he should create	snape should not assemble the baklava which snape should assemble	0	1	1	1
lupin must not gobble the doughnuts that dobby may create	lupin must not gobble the doughnuts that snape should gobble	1	1	1	1
hermione can not assemble the chocolate which sirius should sprinkle	hermione can not assemble the chocolate which he should assemble	0	1	1	1
mcgonagall must not arrange many cakes which neville must gobble	mcgonagall must not arrange many cakes which draco should arrange	1	1	1	1
voldemort should not arrange the baklava which she can hide	voldemort should not arrange the baklava which voldemort should arrange	0	1	1	1
he should not eat the chocolates that ginny must assemble	he should not eat the chocolates that hermione should eat	1	1	1	1
petunia should not assemble many pancakes which vernon should eat	petunia should not eat the pancakes which vernon should eat	1	1	1	0
vernon should not make many eclaires that james can chew	vernon should not make many eclaires that she should make	0	1	1	1
he must not run because dobby must prepare the doughnuts	he must not prepare the doughnuts because the professor may prepare the doughnuts	0	0	1	0
lupin can not create the croissants that harry should assemble	lupin can not create the croissants that a student may create	0	1	1	1
because mcgonagall should eat a chocolate james should not party	because mcgonagall should eat a chocolate james should not eat a chocolate	0	0	1	0
petunia must not create many chocolates that draco may make	petunia must not create many chocolates that hagrid should create	1	1	1	1
she can not assemble the souffles that harry must hide	she can not assemble the souffles that she should assemble	0	1	1	1
petunia should not create the doughnuts that sirius may create	petunia should not create the doughnuts that she should create	0	1	1	1
vernon must not chew many eclaires which albus must gobble	vernon must not chew many eclaires which she must chew	0	1	1	1
lupin must not make the eclaires that ron must gobble	lupin must not make the eclaires that she must make	0	1	1	1
sirius must not hide many doughnuts that she may sprinkle	sirius must not sprinkle many doughnuts that hagrid may sprinkle	0	1	1	0
mcgonagall must not hide the eclaires that vernon must prepare	mcgonagall must not hide the eclaires that dobby must hide	1	1	1	1
she may not make many baklava which she must assemble	she may not make many baklava which she should make	1	1	1	1
hagrid must not make the doughnuts which petunia must make	hagrid must not make the doughnuts which snape should make	1	1	1	1
because voldemort may sprinkle the baklava sirius may not jump	because voldemort may sprinkle the baklava sirius must not jump	1	1	1	1
he can not assemble a cake that fred should chew	he can not assemble a cake that a professor should assemble	0	1	1	1
albus may not laugh because dobby should gobble many cakes	albus may not gobble many cakes	0	0	1	0
dobby may not make many eclaires that fred should arrange	dobby may not make many eclaires that she should create	0	1	1	1
ginny may not assemble many doughnuts that albus should eat	ginny may not eat many doughnuts that voldemort should eat	1	1	1	0
petunia can not gobble many baklava that she can sprinkle	petunia can not gobble many baklava that she should gobble	1	1	1	1
hermione must not hide the souffles that george can create	hermione must not hide the souffles that she must hide	0	1	1	1
vernon must not prepare many chocolates which hagrid should gobble	vernon must not prepare many chocolates which hagrid should prepare	1	1	1	1
petunia should not hide the eclaires that voldemort must arrange	petunia should not hide the eclaires that dobby must hide	1	1	1	1
hermione must not eat the chocolates which vernon may make	hermione must not eat the chocolates which hermione must eat	1	1	1	1
mcgonagall can not gobble a cake that dobby should arrange	mcgonagall can not gobble a cake that a professor should gobble	0	1	1	1
petunia must not assemble the cakes which mcgonagall can arrange	petunia must not assemble the cakes which he must assemble	0	1	1	1
he can not make the doughnuts which fred must make	he can not make the doughnuts which snape should make	1	1	1	1
neville should not gobble many cookies which ginny must sprinkle	neville should not gobble many cookies which she should gobble	0	1	1	1
hagrid should not gobble the doughnut that vernon must sprinkle	hagrid should not gobble the doughnut that she should gobble	0	1	1	1
she can not eat the doughnuts that draco should sprinkle	she can not eat the doughnuts that a professor should eat	0	1	1	1
she should not chew the souffles that he must arrange	she should not chew the souffles that she should chew	1	1	1	1
albus should not create the pancakes that hermione must create	albus should not create the pancakes that hagrid should create	1	1	1	1
voldemort must not eat the cake that hermione should eat	voldemort must not eat the cake that a professor should eat	0	1	1	1
hagrid must not prepare many cookies that he can hide	hagrid must not prepare many cookies that hagrid should prepare	0	1	1	1
harry may not assemble the eclaires which james can sprinkle	harry may not sprinkle the eclaires which she should assemble	0	1	1	0
petunia may not create the pancake since albus should walk	petunia may not walk since voldemort should walk	0	0	1	0
neville should not arrange the doughnuts which he must arrange	neville should not arrange the doughnuts which snape should arrange	0	1	1	1
ron can not assemble many baklava that george must eat	ron can not assemble many baklava that neville should assemble	1	1	1	1
mcgonagall should not make many strudels which she may arrange	mcgonagall should not make many strudels which hagrid should make	0	1	1	1
voldemort must not arrange the chocolates since hagrid should walk	voldemort must not arrange the chocolates	0	0	1	1
ginny can not make the souffles that lily can arrange	ginny can not make the souffles that james must make	1	1	1	1
neville must not chew the cookie which dobby can chew	neville must not chew the cookie which a student can chew	0	1	1	1
draco should not create the strudels which hermione may sprinkle	draco should not create the strudels which hagrid should create	1	1	1	1
snape may not chew the doughnuts that snape must eat	snape may not chew the doughnuts that snape must chew	1	1	1	1
she must not hide the eclaires that she should make	she must not hide the eclaires that dobby must hide	0	1	1	1
vernon may not chew a chocolate which harry must hide	vernon may not chew a chocolate which a professor may chew	0	1	1	1
draco may not hiccup since draco can make the doughnut	draco may not make the doughnut since she can make the doughnut	0	0	1	0
harry should not create the souffles that hagrid should eat	harry should not create the souffles that she should create	0	1	1	1
vernon must not hide the pancake that he may make	vernon must not hide the pancake that dobby must hide	0	1	1	1
she may not arrange many cakes which hermione should prepare	she may not arrange many cakes which neville should arrange	1	1	1	1
voldemort must not eat the cakes that fred should hide	voldemort must not eat the cakes that a professor should eat	0	1	1	1
mcgonagall should not eat many chocolates which fred should sprinkle	mcgonagall should not eat many chocolates which hermione should eat	1	1	1	1
voldemort can not giggle because ron should make the croissant	voldemort can not make the eclaire because ron should make the doughnuts	0	0	1	0
james should not eat the pancakes that dobby may make	james should not eat the pancakes that a professor should eat	0	1	1	1
lupin should not hide many strudels which voldemort should sprinkle	lupin should not hide many strudels which neville should hide	1	1	1	1
she can not eat the cakes which draco can assemble	she can not eat the cakes which he should eat	0	1	1	1
george must not sprinkle the pancake that sirius must chew	george must not sprinkle the pancake that petunia must sprinkle	1	1	1	1
she can not eat a strudel that albus can chew	she can not eat a strudel that a professor should eat	0	1	1	1
george can not assemble the baklava which fred may create	george can not assemble the baklava which she should assemble	0	1	1	1
draco can not sprinkle a cake that dobby may create	draco can not sprinkle a cake that a professor should sprinkle	0	1	1	1
snape should not arrange the strudels which harry can gobble	snape should not arrange the strudels which neville should arrange	1	1	1	1
vernon should not assemble the strudel that james should hide	vernon should not assemble the strudel that neville should assemble	1	1	1	1
ron must not arrange many chocolates which voldemort may create	ron must not arrange many chocolates which neville should arrange	1	1	1	1
snape should not hide the eclaires that fred should create	snape should not hide the eclaires that dobby must hide	1	1	1	1
she must not create a strudel since she may smile	she must not smile since she may smile since she may smile	0	0	1	0
harry should not assemble the cookie that hagrid may sprinkle	harry should not assemble the cookie that she should assemble	0	1	1	1
vernon may not arrange many souffles that james may assemble	vernon may not arrange many souffles that neville should arrange	1	1	1	1
albus must not eat the strudel which lupin must assemble	albus must not eat the strudel which a professor must eat	0	1	1	1
albus can not hiccup because harry should assemble the pancakes	albus can not assemble the pancakes	0	0	1	0
dobby must not gobble the eclaire that george may sprinkle	dobby must not gobble the eclaire that a student should gobble	0	1	1	1
voldemort can not arrange the strudels that harry can gobble	voldemort can not arrange the strudels that neville may arrange	1	1	1	1
ginny should not hide the cakes since dobby may giggle	ginny should not giggle since sirius may giggle because sirius may giggle	0	0	1	0
harry must not arrange the cookie that mcgonagall should sprinkle	harry must not arrange the cookie that a student should arrange	0	1	1	1
harry must not assemble the croissants that dobby can arrange	harry must not assemble the croissants that a student must assemble	0	1	1	1
lupin must not gobble the croissant that harry should hide	lupin must not gobble the croissant that a professor must gobble	0	1	1	1
lily must not assemble the souffles which he should create	lily must not assemble the souffles which she should assemble	1	1	1	1
mcgonagall may not giggle since george should sprinkle the souffle	mcgonagall may not sprinkle the souffle since a student should sprinkle the souffle	0	0	1	0
ron can not eat a chocolate that lupin can make	ron can not eat a chocolate that a professor must eat	0	1	1	1
albus should not chew a baklava because she should wiggle	albus should not chew a doughnut	0	0	1	1
voldemort must not gobble the eclaires which ginny must hide	voldemort must not gobble the eclaires which james must gobble	1	1	1	1
george may not arrange the pancakes since hagrid should jump	george may not arrange the baklava	0	0	1	1
harry can not arrange the strudels which mcgonagall should prepare	harry can not arrange the strudels which draco should arrange	1	1	1	1
draco must not eat a croissant that voldemort should assemble	draco must not eat a croissant that a professor must eat	0	1	1	1
she may not make many cookies that albus can prepare	she may not make many cookies that ron should make	1	1	1	1
albus must not hiccup because lupin should arrange the souffles	albus must not arrange the souffles	0	0	1	0
mcgonagall should not arrange the eclaires that sirius can sprinkle	mcgonagall should not arrange the eclaires that lupin should arrange	1	1	1	1
vernon may not eat a cake that lupin can make	vernon may not eat a cake that a professor should eat	0	1	1	1
sirius can not make the cookie that albus should make	sirius can not make the cookie that she can make	0	1	1	1
voldemort should not jump since hagrid should make the souffles	voldemort should not make the souffles since he should make the souffles	0	0	1	0
draco must not assemble the doughnuts that petunia should eat	draco must not eat the doughnuts that petunia should eat	1	1	1	0
james should not make the pancakes which fred can eat	james should not eat the pancakes which fred can eat	1	1	1	0
because james should prepare the baklava she can not party	because james should party she can not party	0	0	1	0
lupin must not hide many strudels which fred must gobble	lupin must not hide many strudels which hagrid must hide	1	1	1	1
harry can not create the chocolates that ginny must create	harry can not create the chocolates that hagrid can create	1	1	1	1
lily must not sprinkle the doughnuts that ron should sprinkle	lily must not sprinkle the doughnuts that a professor should sprinkle	0	1	1	1
