source	target	prediction
because fred may hide the baklava a student should sprinkle a pancake <eos>	because fred may hide the baklava a student should not sprinkle a pancake <eos>	because fred may not hide the baklava because a student should sprinkle a pancake <eos>
since vernon can hiccup he must prepare the souffles that she should create <eos>	since vernon can hiccup he must prepare the souffles that she should create <eos>	since vernon can hiccup he must prepare the souffles that she should create <eos>
because vernon must swim ginny must gobble many cakes which ginny may create <eos>	because vernon must swim ginny must gobble many cakes which ginny may create <eos>	because vernon must swim ginny must gobble many cakes which ginny may create <eos>
because fred may make the strudels which snape may hide ginny should swim <eos>	because fred may make the strudels which snape may hide ginny should swim <eos>	because fred may make the strudels which snape may hide ginny should swim <eos>
because hermione must eat many chocolates a professor must chew the strudels <eos>	because hermione must eat many chocolates a professor must not chew the strudels <eos>	hermione must not eat many chocolates because a professor must chew the strudels <eos>
since albus may party because she can party dobby can arrange the baklava <eos>	since albus may party because she can party dobby can not arrange the baklava <eos>	since albus may not party because she can party because dobby can arrange the baklava <eos>
since harry can prepare a chocolate which fred should chew he must giggle <eos>	since harry can prepare a chocolate which fred should chew he must not giggle <eos>	since harry can not prepare a chocolate which fred should chew since he must giggle <eos>
because a student should sprinkle the pancake a witch can gobble the eclaires <eos>	because a student should sprinkle the pancake a witch can not gobble the eclaires <eos>	a student should not sprinkle the pancake because a witch can gobble the eclaires <eos>
because george may arrange many pancakes that voldemort should make petunia can party <eos>	because george may arrange many pancakes that voldemort should make petunia can not party <eos>	because george may not arrange many pancakes that voldemort should make since petunia can party <eos>
since hermione can swim petunia must prepare the cookies that snape should eat <eos>	since hermione can swim petunia must not prepare the cookies that snape should eat <eos>	hermione can not swim since petunia must prepare the cookies that snape should eat <eos>
because vernon may sprinkle the pancakes she may prepare the pancakes <eos>	because vernon may sprinkle the pancakes she may not prepare the pancakes <eos>	vernon may not sprinkle the pancakes which she may prepare the pancakes <eos>
since ginny may create many cookies harry should sprinkle the baklava <eos>	since ginny may create many cookies harry should not sprinkle the baklava <eos>	since ginny may not create many cookies since harry should sprinkle the baklava <eos>
because hagrid must sprinkle the eclaire ginny can chew the eclaires <eos>	because hagrid must sprinkle the eclaire ginny can not chew the eclaires <eos>	because hagrid must not sprinkle the eclaire because ginny can chew the eclaires <eos>
since james may chew the chocolate a wizard can sprinkle many doughnuts <eos>	since james may chew the chocolate a wizard can sprinkle many doughnuts <eos>	since james may chew the chocolate a wizard can sprinkle many doughnuts <eos>
since petunia should create the strudel hagrid may prepare a doughnut <eos>	since petunia should create the strudel hagrid may not prepare a doughnut <eos>	petunia should not create the strudel which hagrid may prepare <eos>
since fred should eat the doughnut that george should chew ron should gobble the pancakes <eos>	since fred should eat the doughnut that george should chew ron should not gobble the pancakes <eos>	since fred should not eat the doughnut that george should chew since ron should gobble the pancakes <eos>
since lupin must eat the eclaires that fred should gobble vernon may hide a eclaire <eos>	since lupin must eat the eclaires that fred should gobble vernon may not hide a eclaire <eos>	the lupin must not eat the eclaires that fred should gobble since vernon may hide a eclaire <eos>
since james may eat the doughnuts sirius should chew the souffles which voldemort should hide <eos>	since james may eat the doughnuts sirius should not chew the souffles which voldemort should hide <eos>	since james may not eat the doughnuts because sirius should chew the souffles which voldemort should hide <eos>
because vernon must make a strudel which a student can hide james may gobble the chocolate <eos>	because vernon must make a strudel which a student can hide james may gobble the chocolate <eos>	because vernon must make a strudel which a student can hide james may gobble the chocolate <eos>
since james may arrange the croissants that neville may arrange lupin should create the cookies <eos>	since james may arrange the croissants that neville may arrange lupin should not create the cookies <eos>	since james may not arrange the croissants that neville may arrange since lupin should create the cookies <eos>
because a professor should make the souffles which he should create draco may make the cookie <eos>	because a professor should make the souffles which he should create draco may make the cookie <eos>	because a professor should make the souffles which he should create draco may make the cookie <eos>
because ron must arrange the baklava that dobby should chew the wizard must create a baklava <eos>	because ron must arrange the baklava that dobby should chew the wizard must create a baklava <eos>	because ron must arrange the baklava that dobby should chew the wizard must create a baklava <eos>
because he should sprinkle the chocolate the student may gobble the baklava which hermione can gobble <eos>	because he should sprinkle the chocolate the student may gobble the baklava which hermione can gobble <eos>	because he should sprinkle the chocolate the student may gobble the baklava which hermione can gobble <eos>
because hermione must assemble the croissants albus must arrange the doughnuts since fred should smile <eos>	because hermione must assemble the croissants albus must not arrange the doughnuts since fred should smile <eos>	hermione must not assemble the croissants because albus must arrange the doughnuts since fred should smile <eos>
since a witch can sprinkle the croissants which lupin must assemble george may create many souffles <eos>	since a witch can sprinkle the croissants which lupin must assemble george may create many souffles <eos>	since a witch can sprinkle the croissants which lupin must assemble george may create many souffles <eos>
because a student should chew the chocolate a student should arrange the strudel which dobby should assemble since george can prepare the baklava <eos>	because a student should chew the chocolate a student should not arrange the strudel which dobby should assemble since george can prepare the baklava <eos>	a student should not chew the chocolate because a student should assemble the chocolates which dobby should prepare since george can arrange the cakes <eos>
because fred may create the pancake because james should arrange a chocolate which the professor may prepare a student should arrange a doughnut <eos>	because fred may create the pancake because james should arrange a chocolate which the professor may prepare a student should not arrange a doughnut <eos>	because fred may not create the pancake because james should arrange the chocolate which a professor should arrange because a student may arrange a doughnut <eos>
since neville can make the eclaires since the professor must eat the croissant that sirius should gobble the wizard can prepare a souffle <eos>	since neville can make the eclaires since the professor must eat the croissant that sirius should gobble the wizard can not prepare a souffle <eos>	since neville can not make the eclaires since the professor must eat the croissant that sirius should gobble since the wizard can smile <eos>
since she should hiccup since snape must sprinkle a croissant which voldemort may assemble voldemort may hide a souffle which a professor can make <eos>	since she should hiccup since snape must sprinkle a croissant which voldemort may assemble voldemort may hide a souffle which a professor can make <eos>	since she should hiccup since snape must sprinkle a croissant which voldemort may assemble snape may hide a souffle which lily can make <eos>
since lily should hide the souffle that a wizard must eat fred can swim because voldemort should make the chocolates which draco can prepare <eos>	since lily should hide the souffle that a wizard must eat fred can swim because voldemort should make the chocolates which draco can prepare <eos>	since lily should hide the souffle that a must eat because lily must run because ron can make the chocolates that lupin should chew <eos>
since she may giggle voldemort should assemble the croissants which petunia can arrange <eos>	since she may giggle voldemort should not assemble the croissants which petunia can arrange <eos>	since she may not giggle since voldemort should assemble the croissants which petunia can arrange <eos>
because sirius can walk fred may make a eclaire which he may create <eos>	because sirius can walk fred may not make a eclaire which he may create <eos>	sirius can not walk because fred may make a eclaire which he may create <eos>
since sirius may create the strudel because neville may giggle ron should swim <eos>	since sirius may create the strudel because neville may giggle ron should not swim <eos>	the wizard may not create the strudel because neville may giggle because ron should swim <eos>
because draco may sprinkle the baklava that snape may arrange fred may smile <eos>	because draco may sprinkle the baklava that snape may arrange fred may not smile <eos>	draco may not sprinkle the baklava that snape may arrange because fred may smile <eos>
since a wizard should arrange many cookies that lupin must assemble albus must party <eos>	since a wizard should arrange many cookies that lupin must assemble albus must party <eos>	since a wizard should arrange many cookies that lupin must assemble albus must party <eos>
since petunia should chew the cookies mcgonagall can eat many cookies <eos>	since petunia should chew the cookies mcgonagall can not eat many cookies <eos>	since petunia should not chew the cookies since mcgonagall can eat many cookies <eos>
because vernon can arrange a souffle sirius should assemble a pancake <eos>	because vernon can arrange a souffle sirius should not assemble a pancake <eos>	sirius can not arrange a souffle because sirius should assemble a pancake <eos>
since the wizard may assemble the doughnut snape may arrange the eclaire <eos>	since the wizard may assemble the doughnut snape may arrange the eclaire <eos>	since the wizard may assemble the doughnut snape may arrange the eclaire <eos>
since albus should eat the chocolate mcgonagall should sprinkle many cakes <eos>	since albus should eat the chocolate mcgonagall should not sprinkle many cakes <eos>	since albus should not eat the chocolate since mcgonagall should sprinkle many cakes <eos>
because petunia should chew many cakes she can hide the eclaire <eos>	because petunia should chew many cakes she can not hide the eclaire <eos>	petunia should not chew many cakes because she can hide the eclaires <eos>
since lily can chew many strudels which snape can gobble james should jump <eos>	since lily can chew many strudels which snape can gobble james should not jump <eos>	since lily can not chew many strudels which snape can chew since james should jump <eos>
because mcgonagall can swim because albus must hiccup the professor should eat the souffle <eos>	because mcgonagall can swim because albus must hiccup the professor should eat the souffle <eos>	because mcgonagall can swim because albus must hiccup the professor should eat the souffle <eos>
since hagrid should wiggle fred should prepare many baklava which james may hide <eos>	since hagrid should wiggle fred should not prepare many baklava which james may hide <eos>	since hagrid should not wiggle since fred should prepare many baklava which james may hide <eos>
since lupin can arrange many cookies which lily should create ginny must hiccup <eos>	since lupin can arrange many cookies which lily should create ginny must not hiccup <eos>	the professor can not arrange many cookies which lily should create because ginny must hiccup <eos>
because lily must arrange the pancake which lupin can prepare lupin should swim <eos>	because lily must arrange the pancake which lupin can prepare lupin should not swim <eos>	lily wizard must not arrange the pancake which lupin can prepare lupin should swim <eos>
because dobby must arrange the strudel that harry must assemble ron may sprinkle the doughnuts <eos>	because dobby must arrange the strudel that harry must assemble ron may not sprinkle the doughnuts <eos>	dobby must not assemble the strudel that harry must arrange because ron may sprinkle the doughnuts <eos>
since lily can hide many baklava that george may hide he can gobble the strudel <eos>	since lily can hide many baklava that george may hide he can not gobble the strudel <eos>	since lily can not hide many baklava that george may hide because he can gobble the strudel <eos>
because snape should create a eclaire which dobby can make mcgonagall should eat a chocolate <eos>	because snape should create a eclaire which dobby can make mcgonagall should not eat a chocolate <eos>	because snape should not create a eclaire which dobby can make since mcgonagall should eat a chocolate <eos>
because petunia must chew the eclaires that voldemort must hide voldemort must create the strudels <eos>	because petunia must chew the eclaires that voldemort must hide voldemort must not create the strudels <eos>	petunia must not chew the eclaires that voldemort must hide because voldemort must create the strudels <eos>
because dobby can hide the pancake albus should gobble the strudels that petunia must create <eos>	because dobby can hide the pancake albus should not gobble the strudels that petunia must create <eos>	dobby can not hide the pancake because albus should gobble the strudels that petunia must create <eos>
since the student should chew a chocolate petunia should chew a cake <eos>	since the student should chew a chocolate petunia should chew a cake <eos>	since the student should chew a chocolate petunia should chew a cake <eos>
since james should eat a pancake the witch may chew the doughnuts <eos>	since james should eat a pancake the witch may chew the doughnuts <eos>	since james should eat a pancake the witch may chew the doughnuts <eos>
because snape should eat a cookie ginny may chew the eclaire <eos>	because snape should eat a cookie ginny may not chew the eclaire <eos>	because snape should not eat a cookie ginny may chew the eclaire <eos>
since albus should assemble many cakes she must make a cookie <eos>	since albus should assemble many cakes she must not make a cookie <eos>	since albus should not assemble many cakes because she must make a cookie <eos>
because voldemort should make the souffle a wizard must chew the cookie <eos>	because voldemort should make the souffle a wizard must chew the cookie <eos>	because voldemort should make the souffle a wizard must chew the cookie <eos>
since harry should assemble the cookie albus may assemble the cakes <eos>	since harry should assemble the cookie albus may assemble the cakes <eos>	since harry should assemble the cookie albus may assemble the cakes <eos>
because a student may assemble a cookie albus must hiccup <eos>	because a student may assemble a cookie albus must hiccup <eos>	because a student may assemble a cookie albus must hiccup <eos>
because hagrid should create many cookies lupin should party <eos>	because hagrid should create many cookies lupin should not party <eos>	because hagrid should not create many cookies because lupin should party <eos>
since the witch should eat the strudels petunia must swim <eos>	since the witch should eat the strudels petunia must swim <eos>	since the witch should eat the strudels petunia must swim <eos>
because the student can giggle a professor should run <eos>	because the student can giggle a professor should not run <eos>	the student can not giggle because a professor should run <eos>
because a wizard must hiccup a student can assemble the strudels <eos>	because a wizard must hiccup a student can not assemble the strudels <eos>	a wizard must not hiccup because a student can assemble the strudels <eos>
since lily can chew the chocolates a student must assemble the croissants <eos>	since lily can chew the chocolates a student must assemble the croissants <eos>	since lily can chew the chocolates a student must assemble the croissants <eos>
since dobby should chew a souffle snape may chew the strudel <eos>	since dobby should chew a souffle snape may not chew the strudel <eos>	since dobby should not chew a souffle because snape may chew the strudel <eos>
since hagrid must make a cookie harry can hide the eclaires <eos>	since hagrid must make a cookie harry can not hide the eclaires <eos>	hagrid must not make a cookie since harry can hide the eclaires <eos>
because albus must create a strudel the wizard should chew the pancakes <eos>	because albus must create a strudel the wizard should chew the pancakes <eos>	because albus must create a strudel the wizard should chew the pancakes <eos>
because lupin should arrange the strudels which voldemort can prepare george can hide the cake <eos>	because lupin should arrange the strudels which voldemort can prepare george can hide the cake <eos>	because lupin should arrange the strudels which voldemort can prepare george can hide the cake <eos>
since a professor must walk the wizard can make a pancake which dobby can gobble <eos>	since a professor must walk the wizard can make a pancake which dobby can gobble <eos>	since a professor must walk the wizard can make a pancake which dobby can gobble <eos>
since she can make the chocolate george must prepare the baklava that ron can eat <eos>	since she can make the chocolate george must prepare the baklava that ron can eat <eos>	since she can make the chocolate george must prepare the baklava that ron can eat <eos>
since albus may sprinkle the cake that the student should gobble the wizard can swim <eos>	since albus may sprinkle the cake that the student should gobble the wizard can swim <eos>	since albus may sprinkle the cake that the student should gobble the wizard can swim <eos>
because a student must assemble the doughnuts that she should assemble voldemort must jump <eos>	because a student must assemble the doughnuts that she should assemble voldemort must not jump <eos>	a student must not assemble the doughnuts that she should assemble because voldemort must jump <eos>
since she may arrange many croissants that fred must sprinkle neville must eat the croissant which hagrid may sprinkle <eos>	since she may arrange many croissants that fred must sprinkle neville must eat the croissant which hagrid may sprinkle <eos>	since she may arrange many croissants that fred must sprinkle neville must eat the croissant which hagrid may sprinkle <eos>
because mcgonagall can arrange many chocolates which petunia should make james must create the doughnut that albus may hide <eos>	because mcgonagall can arrange many chocolates which petunia should make james must create the doughnut that albus may hide <eos>	because mcgonagall can arrange many chocolates which voldemort should make neville must create the doughnut that james may hide <eos>
because mcgonagall should hide the chocolates since he may chew the pancakes that hagrid should assemble lily must swim <eos>	because mcgonagall should hide the chocolates since he may chew the pancakes that hagrid should assemble lily must swim <eos>	because mcgonagall should hide the chocolates since sirius may chew the pancakes that voldemort should assemble harry must laugh <eos>
since vernon may prepare a croissant that lily should sprinkle neville must chew the strudel since lily should giggle <eos>	since vernon may prepare a croissant that lily should sprinkle neville must chew the strudel since lily should giggle <eos>	since vernon may prepare a croissant that lily should sprinkle neville must chew the strudel since lily should giggle <eos>
because dobby can make many cookies a professor can make a eclaire since albus must make a strudel <eos>	because dobby can make many cookies a professor can not make a eclaire since albus must make a strudel <eos>	dobby can not make many cookies because a professor can make a strudel since albus must make a eclaire <eos>
because ron should create a pancake which the professor should eat harry should wiggle <eos>	because ron should create a pancake which the professor should eat harry should not wiggle <eos>	ron should not create a pancake which the professor should eat since harry should wiggle <eos>
because mcgonagall must chew the doughnut voldemort must wiggle because a wizard can wiggle <eos>	because mcgonagall must chew the doughnut voldemort must not wiggle because a wizard can wiggle <eos>	mcgonagall must not chew the doughnut because voldemort must wiggle because a wizard can wiggle <eos>
since draco can sprinkle the eclaires lily can sprinkle the chocolate that voldemort should sprinkle <eos>	since draco can sprinkle the eclaires lily can sprinkle the chocolate that voldemort should sprinkle <eos>	since draco can sprinkle the eclaires lily can sprinkle the chocolate that voldemort should sprinkle <eos>
because vernon can hide the eclaires vernon may prepare the cookies which albus may sprinkle <eos>	because vernon can hide the eclaires vernon may prepare the cookies which albus may sprinkle <eos>	because vernon can hide the eclaires vernon may prepare the cookies which albus may sprinkle <eos>
since james can gobble many cookies which she must sprinkle petunia can party <eos>	since james can gobble many cookies which she must sprinkle petunia can not party <eos>	since james can not gobble many cookies which she must sprinkle since petunia can party <eos>
since albus may gobble the croissants that neville can hide albus must prepare the cakes that voldemort should gobble <eos>	since albus may gobble the croissants that neville can hide albus must not prepare the cakes that voldemort should gobble <eos>	since albus may not gobble the croissants that neville can hide since albus must prepare the cakes that voldemort should gobble <eos>
since hermione should make the doughnuts that the witch must chew fred must gobble the eclaire that harry should eat <eos>	since hermione should make the doughnuts that the witch must chew fred must gobble the eclaire that harry should eat <eos>	since hermione should make the doughnuts that the witch must chew fred must gobble the eclaire that harry should eat <eos>
since hagrid must eat the baklava that the wizard may create snape may hide a souffle which snape should assemble <eos>	since hagrid must eat the baklava that the wizard may create snape may hide a souffle which snape should assemble <eos>	since hagrid must eat the baklava that the may may create snape may hide a souffle which snape should assemble <eos>
since neville must hide the croissant that harry may sprinkle lupin may sprinkle the baklava which she must assemble <eos>	since neville must hide the croissant that harry may sprinkle lupin may not sprinkle the baklava which she must assemble <eos>	since neville must not hide the croissant that harry may sprinkle since lupin may sprinkle the baklava which she must assemble <eos>
since a student can eat the cookie because albus can jump harry may prepare a croissant that snape can eat <eos>	since a student can eat the cookie because albus can jump harry may prepare a croissant that snape can eat <eos>	since a student can eat the cookie because albus can jump harry may eat a croissant that snape can prepare <eos>
because neville can assemble the cookies james should chew a souffle because mcgonagall may gobble the strudels that a wizard should eat <eos>	because neville can assemble the cookies james should not chew a souffle because mcgonagall may gobble the strudels that a wizard should eat <eos>	because neville can not assemble the cookies because james should chew the souffle that mcgonagall should gobble because a wizard may chew many strudels <eos>
since a student can make a cookie because sirius should chew the doughnuts which harry must create voldemort should hide the doughnut <eos>	since a student can make a cookie because sirius should chew the doughnuts which harry must create voldemort should not hide the doughnut <eos>	a student can not make a cookie because the professor should chew the chocolates because hermione must create the croissants which voldemort should chew <eos>
because hagrid may chew a strudel because the student can chew the cakes draco must sprinkle a souffle which draco should hide <eos>	because hagrid may chew a strudel because the student can chew the cakes draco must not sprinkle a souffle which draco should hide <eos>	because hagrid may not chew a strudel because the witch can chew the cakes because draco should sprinkle a souffle which draco must chew <eos>
since a wizard must make a eclaire that lupin should create the student may gobble the pancakes which a student must prepare <eos>	since a wizard must make a eclaire that lupin should create the student may not gobble the pancakes which a student must prepare <eos>	a wizard must not create a cookie which lupin should make since the student may gobble the eclaire that a student must prepare <eos>
since a professor can prepare the pancakes that fred can chew george must gobble the pancakes since lily can chew the pancakes <eos>	since a professor can prepare the pancakes that fred can chew george must not gobble the pancakes since lily can chew the pancakes <eos>	since a professor can not prepare the pancakes that fred must chew since james can gobble the pancakes since lily can chew the pancakes <eos>
because a witch may sprinkle many eclaires a student can run <eos>	because a witch may sprinkle many eclaires a student can run <eos>	because a witch may sprinkle many eclaires a student can run <eos>
because ginny must prepare the cookies james may assemble the cakes <eos>	because ginny must prepare the cookies james may assemble the cakes <eos>	because ginny must prepare the cookies james may assemble the cakes <eos>
because james may jump since hagrid must run she can run <eos>	because james may jump since hagrid must run she can run <eos>	because james may jump since hagrid must run hagrid can run <eos>
because petunia should assemble the baklava a witch should laugh <eos>	because petunia should assemble the baklava a witch should not laugh <eos>	a witch should not assemble the baklava because a witch should laugh <eos>
because james can create the croissants petunia can gobble a baklava <eos>	because james can create the croissants petunia can gobble a baklava <eos>	because james can create the croissants petunia can gobble a baklava <eos>
since draco can walk the student should chew a chocolate <eos>	since draco can walk the student should chew a chocolate <eos>	since draco can walk the student should chew a chocolate <eos>
because sirius must jump a student must eat the cakes <eos>	because sirius must jump a student must eat the cakes <eos>	because sirius must jump a student must eat the cakes <eos>
since petunia can party dobby may make a pancake <eos>	since petunia can party dobby may not make a pancake <eos>	since petunia can not party because dobby may make a pancake <eos>
because he may create a strudel he can swim <eos>	because he may create a strudel he can not swim <eos>	he may not create a strudel because he can swim <eos>
since ginny should run fred can sprinkle the cookie <eos>	since ginny should run fred can sprinkle the cookie <eos>	since ginny should run fred can sprinkle the cookie <eos>
since the professor may assemble a cookie that voldemort must arrange fred should wiggle since voldemort can prepare many strudels that dobby must hide <eos>	since the professor may assemble a cookie that voldemort must arrange fred should not wiggle since voldemort can prepare many strudels that dobby must hide <eos>	since the professor may not assemble a cookie that voldemort should arrange since fred must wiggle because dobby must prepare many strudels that voldemort can hide <eos>
