Task,Model 1,Model 2,Model 3,Model 4,Model 5,Mean
Total Pos->Pos,4967,4967,4967,4967,4967,4967
Total Pos->Neg,5033,5033,5033,5033,5033,5033
Pos->Pos Correct,4617,4616,4771,4607,4341,4590.4
Pos->Neg Correct,1,0,8,9,0,3.6
Pos Token Precision,0.99,0.99,1.0,0.99,0.99,0.992
Neg Token Precision,0.5,0.51,0.51,0.53,0.49,0.508
Pos Token Recall,0.99,0.99,1.0,0.99,0.98,0.99
Neg Token Recall,0.49,0.51,0.51,0.52,0.49,0.504
Pos Category Precision,1.0,1.0,1.0,1.0,1.0,1.0
Neg Category Precision,0.5,0.51,0.52,0.53,0.5,0.512
Pos Category Recall,1.0,1.0,1.0,1.0,0.99,0.998
Neg Category Recall,0.5,0.51,0.51,0.53,0.49,0.508
Parseable Pos->Pos,4945,4921,4955,4938,4933,4938.4
Parseable Pos->Neg,4994,4008,4249,4526,4923,4540
All Parseable Sentences,9939,8929,9204,9464,9856,9478.4
Equal Structures Pos->Pos,4861,4842,4930,4849,4739,4844.2
Preserves Clauses Pos->Pos,4876,4851,4930,4856,4746,4851.8
Equal Structures Pos->Neg,1,0,8,9,0,3.6
Preserves Clauses Pos->Neg,4923,3965,4099,4081,4757,4365
Has Main Clause,4979,3991,4238,4486,4903,4519.4
Negates Main,1,0,8,9,1,3.8
Negates Outside Main,4969,3991,4098,4107,4902,4413.4
No Main Clause,15,17,11,40,20,20.6
Has Target Verb,5008,5001,5007,4993,4997,5001.2
Negates Target Verb,359,295,311,302,358,325
Negates the One Adv Clause,4448,3582,3645,3681,4412,3953.6
Negates the First Adv Clause,536,426,461,444,511,475.6
Negates Elsewhere,0,0,0,0,0,0
Has one Adv Clause,4448,3582,3645,3681,4412,3953.6
Has more than one Adv Clause,536,426,461,444,511,475.6
