Target Sentence,Predicted Sentence,Source Length,Target Length,Prediction Length,Correct Transformation,Parseable,Preserves Identical Tree Structure,"Preserves Significant Clauses (S, AdvP, RelP)"
"['a professor must create the chocolates', 'a professor must create the chocolates', 6, 6, 6, 1, 1, 1, 1]"
"['because he may prepare many souffles voldemort should gobble the doughnuts that voldemort can sprinkle', 'because he may prepare many souffles voldemort should gobble the doughnuts that voldemort can sprinkle', 15, 15, 15, 1, 1, 1, 1]"
"['a professor must arrange the pancakes which the student can eat because he may jump', 'a professor must arrange the pancakes which the student can eat because he may jump', 15, 15, 15, 1, 1, 1, 1]"
"['lupin may sprinkle the eclaires because ginny should gobble a strudel which hagrid must arrange', 'lupin may sprinkle the eclaires because ginny should gobble a strudel which hagrid must arrange', 15, 15, 15, 1, 1, 1, 1]"
"['the student must eat a croissant', 'the student must eat a croissant', 6, 6, 6, 1, 1, 1, 1]"
"['the witch can walk', 'the witch can walk', 4, 4, 4, 1, 1, 1, 1]"
"['she must arrange a croissant which she may chew', 'she must arrange a croissant which she may chew', 9, 9, 9, 1, 1, 1, 1]"
"['lupin can arrange a cookie that she must eat', 'lupin can arrange a cookie that she must eat', 9, 9, 9, 1, 1, 1, 1]"
"['hermione should arrange the cakes that voldemort must sprinkle', 'hermione should arrange the cakes that voldemort must sprinkle', 9, 9, 9, 1, 1, 1, 1]"
"['he may chew the cake which snape should make', 'he may chew the cake which snape should make', 9, 9, 9, 1, 1, 1, 1]"
"['lupin can make the doughnuts that ginny must make', 'lupin can make the doughnuts that ginny must make', 9, 9, 9, 1, 1, 1, 1]"
"['fred must hide the strudels that the professor must create', 'fred must hide the strudels that the professor must create', 10, 10, 10, 1, 1, 1, 1]"
"['lupin may wiggle', 'lupin may wiggle', 3, 3, 3, 1, 1, 1, 1]"
"['ginny may smile', 'ginny may smile', 3, 3, 3, 1, 1, 1, 1]"
"['ron should jump', 'ron should jump', 3, 3, 3, 1, 1, 1, 1]"
"['harry can swim', 'harry can swim', 3, 3, 3, 1, 1, 1, 1]"
"['mcgonagall must run', 'mcgonagall must run', 3, 3, 3, 1, 1, 1, 1]"
"['a professor can hide the croissants', 'a professor can hide the croissants', 6, 6, 6, 1, 1, 1, 1]"
"['a professor should chew the strudels since george must prepare a cake that neville can hide', 'a professor should chew the strudels since george must prepare a cake that neville can hide', 16, 16, 16, 1, 1, 1, 1]"
"['he should chew many croissants', 'he should chew many croissants', 5, 5, 5, 1, 1, 1, 1]"
"['hermione must gobble a croissant', 'hermione must gobble a croissant', 5, 5, 5, 1, 1, 1, 1]"
"['neville must eat a souffle', 'neville must eat a souffle', 5, 5, 5, 1, 1, 1, 1]"
"['james may assemble many baklava', 'james may assemble many baklava', 5, 5, 5, 1, 1, 1, 1]"
"['dobby can sprinkle the eclaires which hagrid should eat', 'dobby can sprinkle the eclaires which hagrid should eat', 9, 9, 9, 1, 1, 1, 1]"
"['fred can sprinkle the chocolate that neville must make', 'fred can sprinkle the chocolate that neville must make', 9, 9, 9, 1, 1, 1, 1]"
"['petunia may assemble the cookie that vernon can assemble', 'petunia may assemble the cookie that vernon can assemble', 9, 9, 9, 1, 1, 1, 1]"
"['albus should assemble a cake that lily should hide', 'albus should assemble a cake that lily should hide', 9, 9, 9, 1, 1, 1, 1]"
"['the professor may make many pancakes', 'the professor may make many pancakes', 6, 6, 6, 1, 1, 1, 1]"
"['fred should create the eclaires', 'fred should create the eclaires', 5, 5, 5, 1, 1, 1, 1]"
"['lily must hide the cookie because she can chew the souffle that the witch can chew', 'lily must hide the cookie because she can chew the souffle that the witch can chew', 16, 16, 16, 1, 1, 1, 1]"
"['since snape should chew the cookie a professor must chew many cakes that snape can chew', 'since snape should chew the cookie a professor must chew many cakes that snape can chew', 16, 16, 16, 1, 1, 1, 1]"
"['harry must sprinkle the croissants which hermione should hide since voldemort must create the chocolates which mcgonagall may hide', 'harry must sprinkle the croissants which hermione should hide since voldemort must create the chocolates which mcgonagall may hide', 19, 19, 19, 1, 1, 1, 1]"
"['lily must gobble many cookies which ron may create since james can chew many baklava that james must arrange', 'lily must gobble many cookies which sirius may create since james can chew many baklava that james must arrange', 19, 19, 19, 0, 1, 1, 1]"
"['because dobby must chew the croissants that hagrid should sprinkle he must assemble the baklava that hermione should create', 'because dobby must chew the croissants that hagrid should sprinkle he must assemble the baklava that hermione should create', 19, 19, 19, 1, 1, 1, 1]"
