Target Sentence,Predicted Sentence,Source Length,Target Length,Prediction Length,Correct Transformation,Parseable,Preserves Identical Tree Structure,"Preserves Significant Clauses (S, AdvP, RelP)"
since james must create the eclaires which she should hide neville may chew a souffle that mcgonagall should hide,since james must create the eclaires which she should hide neville may chew a souffle that mcgonagall should hide,19,19,19,1,1,1,1
since lupin may arrange the pancake that albus can eat fred can sprinkle a baklava that ginny must prepare,since lupin may arrange the pancake that albus can eat fred can sprinkle a strudel that ginny must prepare,19,19,19,0,1,1,1
because sirius may arrange the doughnut that ron should make neville must arrange the pancakes which hermione must chew,because sirius may arrange the doughnut that ron should make neville must arrange the pancakes which hermione must chew,19,19,19,1,1,1,1
since hagrid may sprinkle the pancake that harry may make lupin should create the eclaires which petunia must make,since hagrid may sprinkle the pancake that harry may create petunia should make the eclaires which lupin must make,19,19,19,0,1,1,1
since fred must make the baklava neville may giggle,since fred must make the baklava neville may giggle,9,9,9,1,1,1,1
because vernon must laugh ginny may gobble the doughnut,because vernon must laugh ginny may gobble the doughnut,9,9,9,1,1,1,1
because petunia may arrange a cookie she can wiggle,because petunia may arrange a cookie she can wiggle,9,9,9,1,1,1,1
since fred can chew the eclaires which the student must hide ron must prepare a baklava,since fred can chew the eclaires which the student must hide ron must prepare a baklava,16,16,16,1,1,1,1
because the professor may make a chocolate snape must make many eclaires which harry can chew,because the professor may make a chocolate snape must make many eclaires which harry can chew,16,16,16,1,1,1,1
since snape can assemble the croissant petunia should eat the eclaires that the student may gobble,since snape can assemble the croissant petunia should eat the eclaires that the student may gobble,16,16,16,1,1,1,1
because hermione must create the eclaires the professor may hide the doughnut that hermione must assemble,because hermione must create the eclaires the professor may hide the doughnut that hermione must assemble,16,16,16,1,1,1,1
since neville should sprinkle a cake that lily may gobble albus should giggle since a professor can create a eclaire that fred must sprinkle,since neville should sprinkle a cake that petunia can gobble since may giggle because a professor should create a eclaire that draco must make,24,24,24,0,0,N/A,N/A
since hagrid should make the croissant because james must arrange the souffle that the student should sprinkle a student may make a strudel,since hagrid should make the croissant because james must arrange the souffle that the student should sprinkle a student may make a cookie,23,23,23,0,1,1,1
because draco should create the doughnut which a wizard can hide james may assemble the doughnuts,because draco should create the doughnut which a wizard can hide james may assemble the doughnuts,16,16,16,1,1,1,1
because dobby should sprinkle the cookie that james can eat a professor must prepare a cookie,because dobby should sprinkle the cookie that james can eat a professor must prepare a cookie,16,16,16,1,1,1,1
since lupin must prepare a baklava ron should chew the pancakes which the wizard can gobble since a professor may chew a eclaire,since lupin must prepare a baklava ron should chew the pancakes which the professor can chew since a wizard may chew a eclaire,23,23,23,0,1,1,1
since lily can swim since mcgonagall can giggle because snape should arrange many pancakes which draco must prepare she should hide the strudels,since lily can swim since the witch can giggle because should arrange many cookies which voldemort should prepare because vernon must arrange the pancakes,23,23,24,0,0,N/A,N/A
because the student may party because he should eat the strudels snape can arrange the croissants because the professor may eat a cake,because the student may party because he should eat the croissants because can eat the baklava since the professor can eat a pancake,23,23,23,0,0,N/A,N/A
since fred must hide the baklava that ginny can sprinkle vernon must wiggle since dobby may prepare a eclaire that voldemort can create,since fred must hide the baklava that ginny can sprinkle since voldemort must a eclaire that vernon may create since she can laugh,23,23,23,0,0,N/A,N/A
because harry may eat a cookie that he should prepare lupin may arrange the eclaires which mcgonagall can eat,because harry may eat a cookie that he should prepare because may arrange the eclaires which lupin can eat,19,19,19,0,0,N/A,N/A
because she should assemble the chocolate that dobby may assemble vernon must prepare the pancake which neville must prepare,because she should assemble the chocolate that james may assemble neville must prepare the souffle which vernon must prepare,19,19,19,0,1,1,1
because lupin must arrange the cookies that dobby must sprinkle neville should create the souffle which voldemort must assemble,because lupin must arrange the cookies that dobby must sprinkle because harry should create the souffle which voldemort must assemble,19,19,20,0,1,0,0
since vernon may prepare a croissant that lily should sprinkle neville must chew the strudel since lily should giggle,since vernon may prepare a croissant that lily should sprinkle lily must chew the strudel since lily should giggle,19,19,19,0,1,1,1
because dobby can assemble the eclaire albus may run since fred may gobble a croissant which vernon should chew,because dobby can run albus may assemble the eclaire which vernon may chew since fred should run a croissant,19,19,19,0,1,0,0
because a wizard may hide the pancakes that lily should create hermione can run,because a wizard may hide the pancakes that lily should create hermione can run,14,14,14,1,1,1,1
because a witch can run snape must eat the croissants because snape must assemble the croissant that petunia must chew,because a witch must run snape can eat the croissants because petunia must assemble the croissant that snape must chew,20,20,20,0,1,1,1
because she must hide a pancake that mcgonagall should chew since the witch may wiggle james must chew the doughnuts,because she must hide a pancake that mcgonagall should chew since james may chew the doughnuts that james must gobble,20,20,20,0,1,0,0
since a professor should prepare a doughnut that george must sprinkle vernon must arrange a chocolate which she can prepare,since a professor should prepare a doughnut that george must sprinkle vernon must arrange a chocolate which she can prepare,20,20,20,1,1,1,1
since snape may swim he should make a baklava which albus can gobble,since snape may swim he should make a baklava which albus can gobble,13,13,13,1,1,1,1
since vernon can hiccup he must prepare the souffles that she should create,since vernon can hiccup he must prepare the souffles that she should create,13,13,13,1,1,1,1
because the professor must arrange the pancakes the student should hide the cakes,because the professor must arrange the pancakes the student should hide the cakes,13,13,13,1,1,1,1
since petunia may assemble a chocolate since dobby should create a chocolate lupin should gobble the souffles which vernon must eat,since petunia may assemble a chocolate since lupin should create a chocolate which vernon should gobble since must eat the souffles,21,21,21,0,0,N/A,N/A
because ginny may eat the chocolates that neville should make the student should gobble the pancakes that the student may prepare,because ginny may eat the chocolates that neville should make the student may gobble the pancakes that the student should prepare,21,21,21,0,1,1,1
since the witch can prepare many doughnuts lily should make the chocolates since harry must assemble a cookie that he may hide,since the witch can prepare many doughnuts harry should make the chocolates since draco must assemble a cookie,22,22,18,0,1,0,0
because lupin should create the croissant which hermione should create harry should arrange a souffle that neville can create,because lupin should create the croissant which hermione should create neville can arrange a souffle that harry should create,19,19,19,0,1,1,1
because fred can gobble the eclaire which hagrid should gobble neville can chew the cakes that hermione must chew,because fred can gobble the eclaire which hagrid should chew neville can gobble the cakes that hermione must chew,19,19,19,0,1,1,1
because harry may gobble a cake which voldemort should chew hagrid should hide the strudels which neville must eat,because harry may gobble a cake which voldemort should chew voldemort should hide the cakes which neville must eat,19,19,19,0,1,1,1
since lily should hide the doughnuts that albus should chew she must make a cake that albus should hide,since lily should hide the doughnuts that albus should chew albus must make a cake that albus should hide,19,19,19,0,1,0,1
because the student may eat the strudel because a wizard can arrange the cakes a professor can laugh,because the student may eat the strudel because the wizard can arrange a doughnut because a professor can laugh,18,18,19,0,1,0,0
