target	prediction
the wizard should assemble a croissant	the wizard should assemble a strudel
a wizard should eat the doughnuts	a wizard should eat the pancakes
because albus can walk voldemort should run	because albus can walk run should run
since hermione may smile james should giggle	since hermione may smile since james may smile
since snape must walk hermione may party	since snape must party since may party
since lupin should run voldemort may walk	since lupin should walk since voldemort may walk
dobby may wiggle because ginny must wiggle	dobby may wiggle because he must wiggle
sirius must run since he can walk	sirius must walk since he can walk
ron must swim because neville may wiggle	ron must wiggle because neville may wiggle
james can giggle since sirius should party	james can party since lupin should party
since dobby can smile dobby can party	since dobby can party
since hagrid must run neville should run	since hagrid must run run should run
since she should run lily should run	since she should run she should run
because mcgonagall may run sirius can party	because mcgonagall may party
snape must laugh since he may jump	snape must jump since he may jump
since ginny should giggle albus should hiccup	since ginny should hiccup
hagrid may smile because she may wiggle	hagrid may wiggle because she may wiggle
because lupin can run dobby should wiggle	because lupin can run
vernon should party because george should giggle	vernon should assemble the cakes should should giggle
hermione must wiggle because albus should laugh	hermione must laugh since petunia should laugh
since snape should hiccup ginny must walk	since snape should walk
because draco can wiggle harry should run	because draco can run many doughnuts
because vernon can smile neville should giggle	because vernon can smile because neville can laugh
harry can giggle because fred can party	harry can party because fred can party
snape may walk because neville must wiggle	snape may wiggle because neville must wiggle
she must party since lupin may laugh	she must laugh since vernon may laugh
because mcgonagall can smile sirius can party	because mcgonagall can smile
since vernon should smile fred must swim	since vernon should smile
dobby can swim since petunia should run	dobby can assemble many doughnuts
albus can run since lily can smile	albus can smile since a can smile
since ginny must jump fred may wiggle	since ginny must wiggle
hermione may walk since ron must giggle	hermione may giggle since james must giggle
because voldemort must run hermione must jump	because voldemort must run
since petunia must hiccup voldemort can laugh	since petunia must laugh many strudels
he must smile since george can run	he must run since she can run
he may wiggle since lupin should hiccup	he may hiccup since lupin should hiccup
because petunia should swim albus must party	because petunia should party since draco must party
because lily must giggle mcgonagall can party	because lily must party
because the student may hiccup neville should walk	because the student may walk
since james can hiccup a student can run	james can run a doughnut can run
because draco can wiggle a professor should walk	because draco can sprinkle a pancake since she should walk
voldemort must swim since the professor must swim	voldemort must swim since petunia must swim
petunia must giggle because a wizard must wiggle	petunia must wiggle because a wizard must wiggle
because a professor should run he can run	because a professor can run run can run
because the professor should jump albus must wiggle	because the professor should wiggle wiggle
a student must giggle because sirius should smile	a student must smile because sirius should smile
vernon should swim since a professor should party	vernon should assemble a croissant since lupin should assemble a chocolate
a wizard may giggle since dobby should wiggle	a wizard may assemble since dobby should hide the strudel
because sirius should giggle the professor should party	because sirius should party because draco should party
since the professor should hiccup albus should smile	since the professor should smile
since snape may walk the student should smile	since snape may smile since voldemort should smile
since he must party the professor must wiggle	since he must wiggle the professor must wiggle
snape may smile since the wizard should jump	snape may prepare the cakes
a student must swim because george must laugh	a student must laugh because he must laugh
albus must laugh since the student should giggle	albus must assemble the pancakes
since hagrid should hiccup the professor should walk	since hagrid should walk
the witch should wiggle since ron may jump	the witch should jump since voldemort may jump
ginny may create a baklava that mcgonagall must chew	ginny may create a baklava that a should create
ron can prepare the baklava that snape must assemble	ron can prepare the baklava that the should prepare
neville must sprinkle the souffle which he should assemble	neville must sprinkle the souffle which a must sprinkle
the professor may swim because james may giggle	the professor may giggle because james may giggle
hermione should create the chocolates that she may gobble	hermione should create the chocolates that hagrid should create
snape may arrange the strudels which george can create	snape may arrange the strudels which neville may arrange
james should gobble the croissants that ginny must eat	james should eat the croissants that a must eat
hagrid should assemble the eclaire that fred must prepare	hagrid should assemble the eclaire that the should assemble
lily can chew a strudel which he may arrange	lily can arrange a strudel which a should chew
george may sprinkle a doughnut which james may eat	george may sprinkle a doughnut which a must sprinkle
draco should laugh since neville can hide a cake	draco should hide a cake since a professor may hide a cake
fred may gobble the cookie that he can gobble	fred may gobble the cookie that a student should gobble
he should arrange the doughnuts which ron may create	he should arrange the doughnuts which snape should arrange
james can sprinkle the croissant that lupin should make	james can sprinkle the croissant that the professor can sprinkle
petunia should hide the cookies that mcgonagall should hide	petunia should hide the cookies that a may hide
george must sprinkle the cake which petunia may chew	george must sprinkle the cake which he must sprinkle
hagrid may prepare the croissants which lily can assemble	hagrid may prepare the croissants which the must prepare
because dobby must giggle ginny should assemble many eclaires	because dobby must giggle ginny should giggle
vernon may prepare a baklava that snape may eat	vernon may prepare a baklava that a may prepare
sirius may chew the eclaires which lily may sprinkle	sirius may chew the eclaires which the student may chew
because mcgonagall must jump ginny should eat the souffles	because mcgonagall must eat the souffles
hermione can sprinkle a eclaire which mcgonagall should chew	hermione can sprinkle a eclaire which a should sprinkle
voldemort must create many croissants since he should party	voldemort must party since he should party
ron must chew the doughnuts which ron must eat	ron must eat the doughnuts which the must eat
vernon must prepare the croissant that ginny can create	vernon must prepare the croissant that the professor must prepare
lupin may hide the cakes which albus may gobble	lupin may hide the cakes which the should hide
petunia must assemble the croissants because ron should jump	petunia must jump because ron should jump
dobby can chew a strudel that vernon should chew	dobby can chew a strudel that a may chew
she should make a pancake which ron should prepare	she should make a pancake which a should make
