target,prediction,source length,target length,prediction length,correct,Preserves Tree Structure,Preserves Significant Clauses,Parseable
he must assemble a souffle because snape must party,he must chew a pancake,9,9,5,0,0,0,1
neville may make the strudels that dobby should make,the professor may prepare the strudels,9,9,6,0,0,0,1
vernon can create a chocolate which vernon can arrange,vernon can arrange,9,9,3,0,0,0,1
lily must gobble the cookies which mcgonagall must eat,lily must gobble the cookies which she must gobble,9,9,9,0,0,0,1
voldemort may make many strudels that petunia must prepare,voldemort may prepare,9,9,3,0,0,0,1
a student should gobble the strudels,lupin can arrange the strudels,6,6,5,0,0,1,1
a witch can sprinkle the strudels,lily can arrange a strudels,6,6,5,0,0,1,1
albus must prepare the eclaire that vernon may create since snape must run,vernon must create the pancakes that vernon must create,13,13,9,0,0,0,1
because ginny may eat the strudels that sirius must make james can laugh,because a professor can hide the baklava,13,13,7,0,0,0,1
a student must sprinkle the souffles because a student should create the baklava,a student must assemble,13,13,4,0,0,0,1
george must walk,george must make,3,3,3,0,1,0,1
voldemort can party,voldemort can hide,3,3,3,0,1,0,1
snape must walk,snape must chew,3,3,3,0,1,0,1
sirius must jump,sirius must assemble,3,3,3,0,1,0,1
lily can swim,fred can eat,3,3,3,0,1,0,1
fred must chew a pancake,fred must assemble a cake,5,5,5,0,1,0,1
ginny may hide the baklava,the may prepare the baklava,5,5,5,0,N/A,N/A,0
albus should prepare the pancakes,the may prepare the baklava,5,5,5,0,N/A,N/A,0
harry should hide many chocolates,harry may prepare the eclaires,5,5,5,0,1,0,1
voldemort should sprinkle the doughnuts which the wizard should hide,voldemort should hide,10,10,3,0,0,0,1
the wizard should hide the strudel that sirius may make,the should prepare the cookies,10,10,5,0,N/A,N/A,0
the professor may eat a eclaire,the professor may gobble the pancake,6,6,6,0,1,0,1
the witch can assemble the doughnuts,the can can the the,6,6,5,0,N/A,N/A,0
hermione should sprinkle a pancake that the wizard should arrange,hermione should prepare a pancake that hermione should prepare,10,10,9,0,0,1,1
snape must assemble a doughnut that the student may create since she should wiggle,snape must hide,14,14,3,0,0,0,1
a professor should prepare the strudel which harry must eat because dobby can run,because should should arrange the baklava that she should arrange,14,14,10,0,N/A,N/A,0
since snape must jump ginny must prepare a baklava which fred can eat,since voldemort must hide the baklava that a professor may not chew the baklava,13,13,14,0,N/A,N/A,0
snape must make a croissant that the wizard must sprinkle,snape must chew the baklava that snape must chew,10,10,9,0,0,1,1
because the professor should arrange a baklava vernon may smile,because a professor can hide a professor can hide a cookie,10,10,11,0,0,0,1
because voldemort should gobble the souffle that mcgonagall may hide lupin must make many eclaires,because a professor must gobble the baklava that albus must gobble,15,15,11,0,0,0,1
because hermione should make the croissant that fred must chew mcgonagall can arrange a chocolate,because a professor can make a cookie,15,15,7,0,0,0,1
because albus must eat the eclaire voldemort may swim since draco should assemble the cookie,because a professor should arrange the baklava,15,15,7,0,0,0,1
harry should prepare a chocolate since lily must arrange the chocolates which vernon can gobble,harry must create the pancakes,15,15,5,0,0,0,1
because the witch should hide the doughnuts vernon must assemble a strudel,because a professor must hide the baklava which a professor must chew the baklava,12,12,14,0,N/A,N/A,0
a witch can eat the souffle,a student can assemble the souffle,6,6,6,0,1,0,1
the student may assemble the croissants,the student may assemble the croissants,6,6,6,1,1,1,1
since sirius should assemble the pancakes albus must giggle because hagrid can eat the doughnuts that dobby should assemble,since the professor should hide the croissants that dobby must gobble,19,19,11,0,0,0,1
because lily can gobble the souffle that snape must prepare he can hide a cookie that mcgonagall must chew,because must must chew the must assemble the cakes which he must make,19,19,13,0,N/A,N/A,0
draco should sprinkle the souffles that she should gobble since neville may prepare the eclaire that snape should arrange,draco should make the cakes that draco should make,19,19,9,0,0,0,1
since lupin should prepare the souffles vernon should party since she should sprinkle the strudels which voldemort should create,hagrid should hide the cookies that hagrid should create,19,19,9,0,0,0,1
a wizard must chew a chocolate that vernon should chew since a wizard must arrange the baklava,a professor should assemble the baklava,17,17,6,0,0,0,1
george should create many pancakes since the wizard must make the pancakes that the witch may create,george should eat the pancakes that george should not,17,17,9,0,N/A,N/A,0
he must gobble the pancakes,he must gobble,5,5,3,0,0,0,1
petunia may make the chocolate,petunia may gobble the baklava,5,5,5,0,1,0,1
neville may gobble a cake,neville may arrange a cake,5,5,5,0,1,0,1
snape should gobble a strudel,snape should assemble a cookie,5,5,5,0,1,0,1
albus should arrange the pancake which a student should prepare,albus should prepare a eclaire,10,10,5,0,0,0,1
hagrid must arrange a baklava that the student should make,hagrid must chew a pancake,10,10,5,0,0,0,1
because hermione may hide the cake draco may laugh since petunia must smile,hermione should hide a professor can hide a professor can hide a cookie,13,13,13,0,N/A,N/A,0
since she must run lily can hiccup because lupin must make the doughnuts,she must gobble the baklava,13,13,5,0,0,0,1
she must gobble the cake which mcgonagall can hide,she must chew a chocolate,9,9,5,0,0,0,1
mcgonagall must gobble the souffles that voldemort may arrange,mcgonagall must assemble a chocolate,9,9,5,0,0,0,1
ron can chew many croissants which snape should create,ron must chew the baklava that ron must chew,9,9,9,0,1,0,1
mcgonagall may hide a pancake that snape should create,mcgonagall may assemble a chocolate,9,9,5,0,0,0,1
sirius can sprinkle the pancakes that snape must prepare,the must chew the chocolates,9,9,5,0,N/A,N/A,0
a student must make a croissant,a student must make a strudel,6,6,6,0,1,0,1
james must hiccup,james must arrange,3,3,3,0,1,0,1
mcgonagall may hiccup,mcgonagall may assemble the baklava,3,3,5,0,0,0,1
fred must jump,fred must assemble,3,3,3,0,1,0,1
george can laugh,george can make,3,3,3,0,1,0,1
neville must walk,neville must assemble,3,3,3,0,1,0,1
lupin must party because draco may eat a cake which the professor must hide,lupin must chew a pancake,14,14,5,0,0,0,1
ginny can giggle since ginny should create a strudel that the wizard should hide,mcgonagall may chew the eclaires,14,14,5,0,0,0,1
since a witch should chew the baklava which albus must prepare james should laugh,since voldemort may prepare a croissant,14,14,6,0,0,0,1
snape must assemble the souffles,snape must assemble the pancakes,5,5,5,0,1,0,1
sirius should hide the croissants,sirius should hide the baklava,5,5,5,0,1,0,1
albus must arrange the croissants,albus must assemble the baklava,5,5,5,0,1,0,1
ron can make the croissants,the can can the the can can make,5,5,8,0,N/A,N/A,0
mcgonagall should eat the baklava,the professor may sprinkle the baklava,5,5,6,0,0,1,1
harry may prepare the pancake,harry may prepare the pancakes,5,5,5,0,0,0,1
draco should prepare a baklava,a student should make a pancake,5,5,6,0,0,1,1
dobby should chew the souffles that ron must prepare,dobby must hide the souffles,9,9,5,0,0,0,1
hermione must hide the chocolate that hagrid must create,hermione must chew the baklava that hermione must create,9,9,9,0,1,0,1
albus should chew the pancakes which lily can eat,albus should sprinkle the pancakes,9,9,5,0,0,0,1
george must gobble many croissants that vernon may hide,george must hide a pancake,9,9,5,0,0,0,1
lupin can eat the souffle that a professor should arrange since he should sprinkle a strudel,lupin must assemble a pancake,16,16,5,0,0,0,1
since a wizard must make the doughnuts which albus must chew petunia can chew the chocolates,since voldemort must chew the baklava,16,16,6,0,0,0,1
a student can sprinkle the cookie since neville should create the cakes that dobby must chew,a student must chew the cookie,16,16,6,0,0,0,1
lily should prepare the doughnut that vernon can hide,vernon can chew the chocolates,9,9,5,0,0,0,1
hermione must chew the croissant that hagrid may assemble,hermione must chew the baklava,9,9,5,0,0,0,1
draco can hide many doughnuts that lily can hide,draco may eat,9,9,3,0,0,0,1
neville may gobble the chocolates which ron may eat,neville may eat the cakes,9,9,5,0,0,0,1
harry may chew the baklava that she should eat,harry may eat the pancakes,9,9,5,0,0,0,1
the witch can make the pancake,the can can make the can can make,6,6,8,0,N/A,N/A,0
a witch may eat the baklava,the may prepare the baklava,6,6,5,0,N/A,N/A,0
the student must prepare a croissant,the professor must prepare the pancake,6,6,6,0,1,0,1
a wizard must sprinkle many cookies,a wizard must chew a wizard,6,6,6,0,N/A,N/A,0
since she should run lily should run,since voldemort must hide the strudels,7,7,6,0,0,0,1
he should prepare many croissants,he should hide a pancake,5,5,5,0,0,0,1
petunia can chew a doughnut,petunia must make a doughnut,5,5,5,0,1,0,1
albus can gobble the eclaires,the can gobble the baklava,5,5,5,0,N/A,N/A,0
james can make the croissants,the can can the the can can make,5,5,8,0,N/A,N/A,0
since he should hide a croissant since george can gobble the strudel which the student must gobble lupin may arrange a souffle,since voldemort may a professor may assemble a chocolate,22,22,9,0,N/A,N/A,0
a professor can swim because a witch can gobble a doughnut,a professor can make a eclaire,11,11,6,0,0,0,1
since a student should arrange the cake that hagrid may hide draco can arrange many souffles that a professor must sprinkle,since voldemort must hide a baklava that a professor must not chew a chocolate,21,21,14,0,N/A,N/A,0
since lily can prepare the souffles that lily can assemble james must eat a eclaire which the student must arrange,since the must create the cookies that he must create,20,20,10,0,N/A,N/A,0
lupin may eat the strudels which george should prepare because harry must create the cookie which the wizard must hide,because snape must chew the baklava that hagrid must chew the souffles that hagrid must make,20,20,16,0,N/A,N/A,0
because voldemort should wiggle neville can make the strudel since vernon should chew the baklava that a professor can hide,because a professor can chew a baklava that a professor can chew a cookie,20,20,14,0,N/A,N/A,0
the student can arrange a cookie which hagrid may prepare,the professor may prepare a chocolate,10,10,6,0,0,0,1
a professor may gobble many chocolates which voldemort must make,a professor must make,10,10,4,0,0,0,1
a wizard may arrange a souffle that fred may arrange,a wizard may a wizard may prepare a eclaire,10,10,9,0,N/A,N/A,0
the wizard must chew a doughnut that albus should create,the professor must chew the croissants,10,10,6,0,0,0,1
a wizard may prepare the eclaire that neville must chew,neville must prepare a eclaire that neville must assemble a witch must chew,10,10,13,0,N/A,N/A,0
a witch can chew a baklava,a can assemble a eclaire,6,6,5,0,N/A,N/A,0
a student should arrange the strudel,a professor can assemble the baklava,6,6,6,0,1,0,1
a wizard should hide the baklava,a professor should hide a baklava,6,6,6,0,1,0,1
draco should run,draco should make,3,3,3,0,1,0,1
draco must smile,draco must hide,3,3,3,0,1,0,1
she must swim,she must chew,3,3,3,0,1,0,1
sirius may wiggle,sirius may gobble,3,3,3,0,1,0,1
the professor can chew the strudels,the can can sprinkle the strudels,6,6,6,0,N/A,N/A,0
a professor should sprinkle a chocolate,a professor should a a a a a a a a a a a chocolate,6,6,15,0,N/A,N/A,0
