source	target	prediction
fred may arrange the baklava because a witch should sprinkle the chocolate because george can chew the chocolates <eos>	fred may arrange the baklava because a witch should sprinkle the chocolate because george can chew the chocolates <eos>	fred may arrange the baklava because a witch should sprinkle the chocolate because george can chew the chocolates because george can chew the chocolates <eos>
since ginny must eat the chocolates which a student may sprinkle sirius may arrange a souffle <eos>	since ginny must eat the chocolates which a student may sprinkle sirius may not arrange a souffle <eos>	since ginny must not eat the chocolates which a student may sprinkle sirius may arrange a souffle <eos>
because a witch must eat the baklava neville can hiccup since hermione should eat the chocolates <eos>	because a witch must eat the baklava neville can not hiccup since hermione should eat the chocolates <eos>	because a witch must not eat the baklava since neville can hiccup since hermione should eat the chocolates <eos>
since the student should arrange many doughnuts harry must prepare the croissant that neville must make <eos>	since the student should arrange many doughnuts harry must not prepare the croissant that neville must make <eos>	since the student should not arrange many doughnuts harry must hide the croissant that neville must make <eos>
since a wizard should make a doughnut that mcgonagall should gobble draco may eat the cookie <eos>	since a wizard should make a doughnut that mcgonagall should gobble draco may not eat the cookie <eos>	since a wizard should not make a doughnut that mcgonagall should gobble draco may eat the cookie <eos>
she must eat a strudel that lupin should sprinkle <eos>	she must eat a strudel that lupin should sprinkle <eos>	she must eat a strudel that lupin should sprinkle <eos>
vernon should make the baklava which voldemort can arrange <eos>	vernon should make the baklava which voldemort can arrange <eos>	vernon should make the baklava which voldemort can arrange <eos>
ginny should wiggle since lily can wiggle <eos>	ginny should wiggle since lily can wiggle <eos>	ginny should wiggle since lily can wiggle <eos>
because ron can swim voldemort must laugh <eos>	because ron can swim voldemort must laugh <eos>	because ron can swim voldemort must laugh <eos>
a witch should make a doughnut <eos>	a witch should not make a doughnut <eos>	a witch should not make a doughnut <eos>
lily should run <eos>	lily should not run <eos>	lily should not run <eos>
petunia must run <eos>	petunia must not run <eos>	petunia must not run <eos>
the witch should party <eos>	the witch should party <eos>	the witch should party <eos>
hermione may giggle <eos>	hermione may not giggle <eos>	hermione may not giggle <eos>
sirius should party <eos>	sirius should not party <eos>	sirius should not party <eos>
neville should prepare the cookies because the student can arrange the eclaires that james should arrange <eos>	neville should not prepare the cookies because the student can arrange the eclaires that james should arrange <eos>	neville should not prepare the cookies because the student can arrange the eclaires that james should arrange <eos>
albus must assemble the baklava which a witch should arrange since voldemort should create a doughnut <eos>	albus must not assemble the baklava which a witch should arrange since voldemort should create a doughnut <eos>	albus must not assemble the baklava which a witch should arrange since voldemort should create a doughnut <eos>
she should arrange a croissant because hagrid should create the strudel that the professor must assemble <eos>	she should not arrange a croissant because hagrid should create the strudel that the professor must assemble <eos>	she should not arrange a croissant because hagrid should create the strudel that the professor must assemble <eos>
since ginny should sprinkle the strudels that a professor may eat a professor can gobble many souffles <eos>	since ginny should sprinkle the strudels that a professor may eat a professor can gobble many souffles <eos>	since ginny should sprinkle the strudels that a professor may eat a professor can gobble many souffles <eos>
because a witch may hide the baklava which ron must eat lily must gobble a baklava <eos>	because a witch may hide the baklava which ron must eat lily must not gobble a baklava <eos>	because a witch may not hide the baklava which ron must eat lily must gobble a baklava <eos>
since snape may eat a eclaire dobby may make the croissants which the witch may create <eos>	since snape may eat a eclaire dobby may make the croissants which the witch may create <eos>	since snape may eat a eclaire that dobby may make the croissants which the witch may create <eos>
since fred can assemble the strudels harry should arrange the baklava that mcgonagall should chew <eos>	since fred can assemble the strudels harry should not arrange the baklava that mcgonagall should chew <eos>	since fred can not assemble the strudels harry should arrange the baklava that mcgonagall should chew <eos>
because the witch can create a doughnut vernon must hide many baklava that she may assemble <eos>	because the witch can create a doughnut vernon must hide many baklava that she may assemble <eos>	because the witch can create a doughnut that vernon must hide many baklava that she may assemble <eos>
harry should prepare many cookies since a wizard must gobble a cake which george may prepare <eos>	harry should prepare many cookies since a wizard must gobble a cake which george may prepare <eos>	harry should prepare many cookies since a wizard must gobble a cake which george may prepare <eos>
because he can prepare the doughnuts that lily must arrange lily can arrange the doughnuts <eos>	because he can prepare the doughnuts that lily must arrange lily can not arrange the doughnuts <eos>	because he can not prepare the doughnuts that lily must arrange lily can arrange the doughnuts <eos>
snape should prepare the chocolate <eos>	snape should not prepare the chocolate <eos>	snape should not prepare the chocolate <eos>
albus may sprinkle many cookies <eos>	albus may not sprinkle many cookies <eos>	albus may not sprinkle many cookies <eos>
hagrid can prepare the cookies <eos>	hagrid can not prepare the cookies <eos>	hagrid can not prepare the cookies <eos>
the professor must sprinkle the eclaires <eos>	the professor must sprinkle the eclaires <eos>	the professor must sprinkle the eclaires <eos>
snape must assemble the souffle <eos>	snape must not assemble the souffle <eos>	snape must not assemble the souffle <eos>
draco should gobble a strudel that neville should prepare <eos>	draco should gobble a strudel that neville should prepare <eos>	draco should gobble a strudel that neville should prepare <eos>
albus may prepare the cookies that ginny should chew <eos>	albus may prepare the cookies that ginny should chew <eos>	albus may prepare the cookies that ginny should chew <eos>
voldemort must assemble the cake that lupin should sprinkle <eos>	voldemort must assemble the cake that lupin should sprinkle <eos>	voldemort must assemble the cake that lupin should sprinkle <eos>
harry should create the cookie since petunia should smile <eos>	harry should create the cookie since petunia should smile <eos>	harry should create the cookie since petunia should smile <eos>
hermione must sprinkle the croissant since dobby must run <eos>	hermione must sprinkle the croissant since dobby must run <eos>	hermione must sprinkle the croissant since dobby must run <eos>
harry must prepare the cakes <eos>	harry must not prepare the cakes <eos>	harry must not prepare the cakes <eos>
snape should gobble the strudel <eos>	snape should not gobble the strudel <eos>	snape should not gobble the strudel <eos>
lily must sprinkle many pancakes <eos>	lily must not sprinkle many pancakes <eos>	lily must not sprinkle many pancakes <eos>
the student may eat the eclaire <eos>	the student may eat the eclaire <eos>	the student may eat the eclaire <eos>
mcgonagall can prepare the souffles <eos>	mcgonagall can not prepare the souffles <eos>	mcgonagall can not prepare the souffles <eos>
the wizard must party <eos>	the wizard must party <eos>	the wizard must party <eos>
she may swim <eos>	she may not swim <eos>	she may not swim <eos>
lupin must hiccup <eos>	lupin must not hiccup <eos>	lupin must not hiccup <eos>
a student can wiggle <eos>	a student can wiggle <eos>	a student can wiggle <eos>
vernon can walk <eos>	vernon can not walk <eos>	vernon can not walk <eos>
sirius should prepare the strudels <eos>	sirius should not prepare the strudels <eos>	sirius should not prepare the strudels <eos>
george can assemble the cookies <eos>	george can not assemble the cookies <eos>	george can not assemble the cookies <eos>
lupin should assemble a pancake <eos>	lupin should not assemble a pancake <eos>	lupin should not assemble a pancake <eos>
the professor should sprinkle the doughnuts <eos>	the professor should sprinkle the doughnuts <eos>	the professor should sprinkle the doughnuts <eos>
snape may create the croissants <eos>	snape may not create the croissants <eos>	snape may not create the croissants <eos>
lily can create the cakes which draco must eat <eos>	lily can create the cakes which draco must eat <eos>	lily can create the cakes which draco must eat <eos>
george can make a doughnut that hermione can make <eos>	george can make a doughnut that hermione can make <eos>	george can make a doughnut that hermione can make <eos>
hagrid should eat a croissant which he may assemble <eos>	hagrid should eat a croissant which he may assemble <eos>	hagrid should eat a croissant which he may assemble <eos>
dobby can make a pancake that george can chew <eos>	dobby can make a pancake that george can chew <eos>	dobby can make a pancake that george can chew <eos>
hagrid should hide the pancakes which harry can assemble <eos>	hagrid should hide the pancakes which harry can assemble <eos>	hagrid should hide the pancakes which harry can assemble <eos>
the wizard should arrange a chocolate <eos>	the wizard should not arrange a chocolate <eos>	the wizard should not arrange a chocolate <eos>
the wizard should eat a doughnut <eos>	the wizard should not eat a doughnut <eos>	the wizard should not eat a doughnut <eos>
the student may create the strudel <eos>	the student may not create the strudel <eos>	the student may not create the strudel <eos>
the wizard should prepare the souffles <eos>	the wizard should not prepare the souffles <eos>	the wizard should not prepare the souffles <eos>
a professor can chew a cookie <eos>	a professor can not chew a cookie <eos>	a professor can not chew a cookie <eos>
a professor can chew a pancake that hermione may hide <eos>	a professor can not chew a pancake that hermione may hide <eos>	a professor can not chew a pancake that hermione may hide <eos>
neville may gobble a pancake that the witch must hide <eos>	neville may not gobble a pancake that the witch must hide <eos>	neville may not gobble a pancake that the witch must hide <eos>
lily should gobble the pancake that the student must make <eos>	lily should not gobble the pancake that the student must make <eos>	lily should not gobble the pancake that the student must make <eos>
since he can prepare the baklava vernon must arrange the strudels <eos>	since he can prepare the baklava vernon must arrange the strudels <eos>	since he can prepare the baklava that vernon must arrange the strudels <eos>
the professor should assemble the chocolates that draco must prepare <eos>	the professor should not assemble the chocolates that draco must prepare <eos>	the professor should not assemble the chocolates that draco must prepare <eos>
george should arrange the chocolates <eos>	george should not arrange the chocolates <eos>	george should not arrange the chocolates <eos>
hermione may chew the doughnuts <eos>	hermione may not chew the doughnuts <eos>	hermione may not chew the doughnuts <eos>
vernon must prepare the souffles <eos>	vernon must not prepare the souffles <eos>	vernon must not prepare the souffles <eos>
hagrid may assemble a doughnut <eos>	hagrid may not assemble a doughnut <eos>	hagrid may not assemble a doughnut <eos>
draco should assemble the souffles <eos>	draco should not assemble the souffles <eos>	draco should not assemble the souffles <eos>
since he must assemble the pancake petunia can gobble the souffle that he must arrange <eos>	since he must assemble the pancake petunia can not gobble the souffle that he must arrange <eos>	since he must not assemble the pancake petunia can gobble the souffle that he must arrange <eos>
since hermione must eat a cake that lupin should make he should sprinkle a cookie <eos>	since hermione must eat a cake that lupin should make he should not sprinkle a cookie <eos>	since hermione must not eat a cake that lupin should make he should sprinkle a cookie <eos>
because she must gobble many cookies which voldemort should eat she should eat the doughnuts <eos>	because she must gobble many cookies which voldemort should eat she should not eat the doughnuts <eos>	because she must not gobble many cookies which voldemort should eat she should eat the doughnuts <eos>
since snape can hide the pancake that james must arrange the professor should create a cookie <eos>	since snape can hide the pancake that james must arrange the professor should create a cookie <eos>	since snape can hide the pancake that james must arrange the professor should create a cookie <eos>
snape must gobble the chocolates since fred must gobble the baklava that lupin must chew <eos>	snape must not gobble the chocolates since fred must gobble the baklava that lupin must chew <eos>	snape must not gobble the chocolates since fred must gobble the baklava that lupin must chew <eos>
a witch must chew the baklava <eos>	a witch must not chew the baklava <eos>	a witch must not chew the baklava <eos>
