target,prediction,target length,correct
lily should jump since sirius should eat a croissant which lupin must prepare because a wizard should create the eclaire,lily should jump since voldemort should eat a eclaire which sirius must prepare since a wizard should create the croissant,20,0
because a student should hide the chocolate which albus may create hagrid may chew the chocolates which petunia must make,because a student should hide the chocolate which albus may create petunia may chew the chocolates which hagrid must make,20,0
dobby may assemble a souffle that a witch can gobble since harry should prepare the cookies that a wizard should create,dobby may assemble a souffle that a witch can prepare since the wizard should gobble the cookies that harry should create,21,0
because ginny should assemble the doughnuts that a student must make since george should eat a souffle harry must hiccup,because ginny should assemble the doughnuts that a student should make since george must eat a souffle harry must hiccup,20,0
since neville may create the strudels hermione must prepare the souffle since vernon should arrange the strudels,since neville may create the strudels vernon must prepare the souffle since hermione should arrange the strudels,17,0
albus can hide the cookie because albus may make a chocolate since petunia should laugh,albus can hide the cookie since albus may make a chocolate because petunia should laugh,15,0
because vernon may prepare the doughnuts that fred must hide harry may prepare many doughnuts because the professor should laugh,because vernon may prepare the doughnuts that fred must hide lily may hide many doughnuts since the professor should giggle,20,0
george must prepare the cookie because he can smile because petunia should assemble a chocolate which sirius should prepare,george must prepare the cookie because he can smile because sirius should assemble a chocolate which petunia should prepare,19,0
since the student may assemble the doughnuts which the wizard should chew since she can hide a chocolate a wizard must hiccup,since the student may assemble the doughnuts which the wizard should chew she can hide a chocolate since a wizard must hiccup,22,0
because ginny must make the pancakes that she may sprinkle lily may jump,because ginny must make the pancakes that lily may sprinkle she may jump,13,0
since fred should eat a eclaire that sirius should chew because james should prepare many cakes dobby must assemble a doughnut,since fred should eat a eclaire that james should chew because sirius should prepare many eclaires dobby should assemble a strudel,21,0
since dobby should create the doughnuts that draco may eat the student should run because dobby must gobble many souffles,since dobby should create the doughnuts that draco may assemble the student should gobble many chocolates because dobby must smile,20,0
since hermione may laugh because she should party the wizard may assemble the pancake because sirius may wiggle,since hermione may laugh because sirius should party the professor may assemble the pancake because she may wiggle,18,0
since vernon should hide the strudel which hermione should gobble because george can hide the doughnut she may hiccup,since vernon should hide the strudel which hermione can gobble because george should hide the doughnut she may hiccup,19,0
since sirius should assemble the pancakes albus must giggle because hagrid can eat the doughnuts that dobby should assemble,since sirius should assemble the pancakes fred must giggle because george can eat the doughnuts that dobby should assemble,19,0
he should eat the pancake that dobby must prepare since ginny can hide the souffles that hagrid should chew,he should eat the pancake that dobby must prepare since ginny can create the souffles that hagrid should chew,19,0
because george can hide the souffles that sirius can gobble the student should sprinkle the cookie that draco can sprinkle,because george can hide the souffles that sirius can gobble the student can sprinkle the cookie that draco should sprinkle,20,0
since ginny should chew the chocolate lily must assemble the cookie that hagrid may create since hagrid should walk,since ginny should chew the chocolate lily must assemble the cookie that hagrid should create since hagrid may walk,19,0
george must chew a doughnut which draco must create since vernon should hide the baklava that a professor must make,george must chew a doughnut which draco must create since vernon should chew the baklava that a professor must create,20,0
because albus must chew a eclaire that albus can eat snape may assemble the eclaire that she must chew because harry can walk,because albus must chew a eclaire that albus may eat snape can assemble the eclaire because she can chew the eclaire,23,0
a professor must prepare the eclaire that hermione must arrange because he should gobble a cookie that neville should prepare,a professor must prepare the eclaire that hermione must arrange because neville should sprinkle a cookie that he should prepare,20,0
since lupin must chew a doughnut that lupin should eat hermione may gobble a cookie that the student must assemble,since lupin must chew a doughnut that lupin should gobble hermione may eat a cookie that the student must assemble,20,0
because sirius may gobble the chocolates that she should hide hagrid may sprinkle the croissants that fred must eat,because sirius may gobble the chocolates that she should sprinkle the wizard may hide the croissants that neville must eat,19,0
because fred can create the chocolates that a professor must sprinkle a wizard should gobble the cookie which he should assemble,because fred can create the cookie that a professor must sprinkle a wizard should sprinkle the chocolates which he should eat,21,0
since vernon can prepare the cookies sirius should create the cakes which a wizard must chew because lily may party,since vernon can prepare the cookies the wizard should create the cakes which sirius must chew because lily may party,20,0
neville must arrange the cakes which james may arrange because voldemort can make the croissants which he must make,neville must arrange the cakes which james may arrange because he can make the croissants which voldemort must make,19,0
since snape may chew a pancake which lupin can arrange since snape should arrange the pancakes lupin can prepare a cake,since snape may chew a pancake which lupin can arrange the pancakes snape should giggle since lupin can prepare the pancakes,21,0
