Target Sentence,Predicted Sentence,Source Length,Target Length,Prediction Length,Correct Transformation,Parseable,Preserves Identical Tree Structure,"Preserves Significant Clauses (S, AdvP, RelP)",Negates Main Clause,Has Main Clause,Negates Main Clause,Negates Outside of Main Clause,Has Target Verb,Negates Target Verb
"['because george may assemble the pancake that the witch must sprinkle harry can not wiggle', 'because petunia may not assemble the pancake that the student should assemble the pancake that the student should assemble', 14, 15, 19, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since ginny should giggle because harry may sprinkle many chocolates that sirius may sprinkle harry must not assemble the doughnuts that snape must eat', 'since should not assemble a doughnut that snape should prepare because a student should prepare', 23, 24, 15, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['because the professor must prepare the croissants petunia must not arrange the eclaires that hermione may gobble since a witch must sprinkle a cake', 'because she must not prepare the eclaires that the student should arrange the eclaires that the student should arrange', 23, 24, 19, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since petunia can walk because he must make the souffle which he should create vernon can not hide the strudel which hagrid must make', 'since can not assemble a souffle he must walk because a professor can arrange the should assemble', 23, 24, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because fred must gobble the baklava that albus can assemble because he can eat the croissants ginny must not sprinkle a eclaire', 'because must not gobble the baklava that albus can gobble the baklava that the can', 21, 22, 15, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since george should arrange the pancake ron can not make the cake which hagrid must create', 'since george should not arrange the pancake ron may make the pancake', 15, 16, 12, 0, 1, 0, 0, 1, 1, 1]"
"['because a student must walk a student may not make the chocolate that james may hide', 'because a must not make a chocolate that a student should make a chocolate that a student should make', 15, 16, 19, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because albus should create the cookie that george can sprinkle ron must not create the pancakes', 'because albus should not create the cookie that a student should assemble', 15, 16, 12, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['because fred can hide the baklava which he should hide voldemort can not chew the doughnuts', 'because can can not hide the baklava which a student should hide', 15, 16, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because voldemort can wiggle draco may not make the eclaires that lily must create', 'voldemort can not make the eclaires that because hagrid may make the eclaires that ginny may arrange', 13, 14, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because mcgonagall can smile vernon must not hide the strudel that petunia should assemble', 'because can can hide vernon must hide the strudel that a must eat the strudel that a must eat', 13, 14, 19, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because vernon must gobble many cakes that ron should chew he must not laugh', 'because snape must gobble many cakes ron should assemble many cakes ron should arrange', 13, 14, 14, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
