Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall (%),Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (%),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%),Pos->Neg Predictions Containing the Target Verb (#),Pos->Neg Predictions Containing the Target Verb (%),Pos->Neg Prediction Negating the Target Verb (#),Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb)
7,182,47,80,46.8,102,0.2,0.58,0,0.26,714,776.4,816,0.76,0.43,0.75,0.41,0.83,0.46,0.81,0.44,149,77,72,0.82,0.96,0.71,0.6,0.6,0,0.43,49.6,5.4,44,0.62,22.4,0.05,0.38,0.49,87.6,0.86,31,0.3,0.42
8,114,35.4,60,35.4,54,0,0.59,0,0.31,432,467.2,486,0.78,0.42,0.76,0.41,0.85,0.45,0.82,0.44,92.2,53.8,38.4,0.81,0.9,0.71,0.6,0.6,0,0.48,27.8,1.4,26.4,0.7,10.6,0.03,0.3,0.51,45.2,0.84,16.6,0.31,0.46
9,806,238.8,415,238.8,391,0,0.58,0,0.3,3519,3756.2,3910,0.74,0.4,0.74,0.39,0.79,0.44,0.79,0.42,636,360.6,275.4,0.79,0.87,0.7,0.6,0.6,0,0.48,208.4,13.8,191.2,0.69,67,0.04,0.29,0.53,307.6,0.79,77,0.2,0.37
10,406,108.4,192,108.4,214,0,0.56,0,0.27,2140,2219.8,2354,0.73,0.4,0.73,0.38,0.79,0.43,0.78,0.41,305,161.6,143.4,0.75,0.84,0.67,0.57,0.57,0,0.43,100.4,4.8,94,0.72,43,0.02,0.24,0.47,163.8,0.77,34.8,0.16,0.36
11,799,226.6,400,226.6,399,0,0.57,0,0.28,4389,4472.6,4788,0.75,0.41,0.73,0.39,0.8,0.44,0.78,0.42,615.6,325,290.6,0.77,0.81,0.73,0.59,0.59,0,0.52,226.2,11.2,212.2,0.72,64.4,0.03,0.26,0.57,320.4,0.8,97.4,0.24,0.41
12,424,108.4,202,108.4,222,0,0.54,0,0.26,2664,2648.2,2886,0.73,0.4,0.71,0.37,0.79,0.44,0.76,0.41,310.2,162,148.2,0.73,0.8,0.67,0.56,0.56,0,0.43,106.2,7.2,98.6,0.72,42,0.03,0.28,0.48,174.6,0.79,53.8,0.24,0.42
13,715,206.6,361,206.6,354,0,0.57,0,0.29,4602,4635.4,4956,0.73,0.37,0.72,0.36,0.79,0.41,0.77,0.39,514.2,283.6,230.6,0.72,0.79,0.65,0.59,0.59,0,0.48,185.4,10.8,172.6,0.65,45.2,0.03,0.33,0.52,269.6,0.76,57.8,0.16,0.34
14,523,146.8,257,146.8,266,0,0.57,0,0.28,3724,3671.4,3990,0.72,0.37,0.71,0.35,0.77,0.41,0.76,0.38,355.2,189.2,166,0.68,0.74,0.62,0.59,0.59,0,0.47,132.4,4.6,126.8,0.7,33.6,0.02,0.28,0.5,200.2,0.75,38.8,0.15,0.34
15,1559,434.2,761,434.2,798,0,0.57,0,0.28,11970,11679.4,12768,0.72,0.38,0.7,0.36,0.77,0.42,0.74,0.39,1078.6,542,536.6,0.69,0.71,0.67,0.58,0.58,0,0.51,441.4,19.2,415.4,0.63,95.2,0.02,0.35,0.55,626.8,0.79,157.4,0.2,0.35
16,1063,289,524,289,539,0,0.55,0,0.27,8624,8352.6,9163,0.7,0.37,0.69,0.35,0.76,0.41,0.74,0.38,696,363,333,0.65,0.69,0.62,0.56,0.56,0,0.48,272.4,9,260.2,0.63,60.6,0.02,0.34,0.51,419,0.78,113.8,0.21,0.37
