Target Sentence,Predicted Sentence,Source Length,Target Length,Prediction Length,Correct Transformation,Parseable,Preserves Identical Tree Structure,"Preserves Significant Clauses (S, AdvP, RelP)"
a student can arrange a cookie,a student can arrange a cookie,6,6,6,1,1,1,1
since dobby can make the croissant a student must jump,since dobby can make the croissant a student must jump,10,10,10,1,1,1,1
hermione should gobble a strudel which a wizard can arrange,hermione should gobble a strudel which a wizard can arrange,10,10,10,1,1,1,1
george can sprinkle the baklava that a professor can sprinkle,george can sprinkle the baklava that a professor can sprinkle,10,10,10,1,1,1,1
hermione should sprinkle a pancake that the wizard should arrange,hermione should sprinkle a pancake that the wizard should arrange,10,10,10,1,1,1,1
she should make the eclaire that petunia can prepare,she should make the eclaire that petunia can prepare,9,9,9,1,1,1,1
sirius should prepare the eclaire that ginny must assemble,sirius should prepare the eclaire that ginny must assemble,9,9,9,1,1,1,1
he must assemble a croissant which mcgonagall may make,he must assemble a croissant which mcgonagall may make,9,9,9,1,1,1,1
petunia must eat the chocolates which she must create,petunia must eat the chocolates which she must create,9,9,9,1,1,1,1
ron should jump because snape may prepare the croissants,ron should jump because snape may prepare the croissants,9,9,9,1,1,1,1
a professor can arrange many baklava,a professor can arrange many baklava,6,6,6,1,1,1,1
a professor must sprinkle a chocolate,a professor must sprinkle a chocolate,6,6,6,1,1,1,1
since ron should smile because ginny should assemble a strudel which albus must arrange petunia can eat the cookie,since ron should smile because ginny should assemble a strudel which albus must arrange petunia can eat the cookie,19,19,19,1,1,1,1
a witch should eat the chocolate that the professor should chew because a student should gobble the baklava,a witch should eat the chocolate that the professor should chew because a student should gobble the baklava,18,18,18,1,1,1,1
the student must prepare the doughnut which she must assemble,the student must prepare the doughnut which she must assemble,10,10,10,1,1,1,1
albus should arrange the pancake which a student should prepare,albus should arrange the pancake which a student should prepare,10,10,10,1,1,1,1
she should hide a baklava that he should prepare since the student may create the cookies,she should hide a baklava that he should prepare since the student may create the cookies,16,16,16,1,1,1,1
since she can create the doughnut that harry should sprinkle a witch must prepare a cookie,since she can create the doughnut that harry should sprinkle a witch must prepare a cookie,16,16,16,1,1,1,1
the student must arrange the pancakes,the student must arrange the pancakes,6,6,6,1,1,1,1
the witch should make the eclaires,the witch should make the eclaires,6,6,6,1,1,1,1
the student should create a strudel which the wizard should prepare since draco may smile,the student should create a strudel which the wizard should prepare since draco may smile,15,15,15,1,1,1,1
because harry may chew a baklava he can chew the doughnut that george can create,because harry may chew a baklava he can chew the doughnut that george can create,15,15,15,1,1,1,1
because neville must eat the strudels petunia should chew the strudels because lupin must walk,because neville must eat the strudels petunia should chew the strudels because lupin must walk,15,15,15,1,1,1,1
because the professor should jump albus must wiggle,because the professor should jump albus must wiggle,8,8,8,1,1,1,1
lupin can gobble the strudels,lupin can gobble the strudels,5,5,5,1,1,1,1
voldemort should sprinkle the eclaire,voldemort should sprinkle the eclaire,5,5,5,1,1,1,1
albus should arrange the pancake,albus should arrange the pancake,5,5,5,1,1,1,1
george must eat the souffles,george must eat the souffles,5,5,5,1,1,1,1
since george can party he may arrange the eclaire,since george can party he may arrange the eclaire,9,9,9,1,1,1,1
fred should gobble the cookies which ron can hide,fred should gobble the cookies which ron can hide,9,9,9,1,1,1,1
because he should arrange a souffle ron should smile,because he should arrange a souffle ron should smile,9,9,9,1,1,1,1
harry should eat the chocolate which ron can make,harry should eat the chocolate which ron can make,9,9,9,1,1,1,1
james may arrange the cookies that ginny must create,james may arrange the cookies that ginny must create,9,9,9,1,1,1,1
because the professor may create many souffles he may chew the doughnuts,because the professor may create many souffles he may chew the doughnuts,12,12,12,1,1,1,1
snape should make the baklava which draco can sprinkle because dobby must eat the cookies,snape should make the baklava which draco can sprinkle because dobby must eat the cookies,15,15,15,1,1,1,1
because james can hide the cake fred may eat the strudel that sirius may hide,because james can hide the cake fred may eat the strudel that sirius may hide,15,15,15,1,1,1,1
sirius should create the cookies because voldemort should make many doughnuts that voldemort should chew,sirius should create the cookies because voldemort should make many doughnuts that voldemort should chew,15,15,15,1,1,1,1
james must chew the pancakes since james may arrange many baklava that vernon should chew,james must chew the pancakes since james may arrange many baklava that vernon should chew,15,15,15,1,1,1,1
the student must create a cake which neville may gobble,the student must create a cake which neville may gobble,10,10,10,1,1,1,1
