Target,Prediction,Source Length
because voldemort may create the strudels that snape must create because draco may smile the student should eat the eclaire which ron can create,because voldemort may create the strudels that snape must create because draco may smile the student should eat the eclaire which,24
because hagrid must make the chocolate which james should eat since vernon can create the pancake which vernon must assemble the witch can jump,because hagrid must make the chocolate which james should eat since vernon can create the pancake which vernon must assemble the baklava which vernon must assemble the baklava which the,24
because ginny should assemble the doughnut that lupin must arrange since harry may eat a pancake a student can make the baklava,because ginny should assemble the doughnut that lupin must arrange since harry may eat a pancake a student can make the student can make,22
because ginny may prepare many chocolates which fred should create george can run since neville must sprinkle many eclaires that the professor must gobble,because ginny may prepare many chocolates which fred should create george can run since neville must sprinkle many eclaires that the eclaires,24
since the witch must arrange a cake the wizard must assemble a strudel since a wizard must assemble the pancakes that mcgonagall should gobble,since the witch must arrange a cake the wizard must assemble a strudel since a wizard must assemble the pancakes that pancakes that the pancakes,24
since the wizard can laugh voldemort may hide the chocolates which fred must prepare because hermione can make the cookie which he may chew,since the wizard can laugh voldemort may hide the chocolates which fred must prepare because hermione can make the cookie which,24
because sirius can chew a doughnut that voldemort may create since fred may sprinkle many cookies which draco must create a wizard may laugh,because sirius can chew a doughnut that voldemort may create since fred may sprinkle many cookies which draco must create a strudel which draco must create,24
because sirius may hide the eclaires that hagrid should hide he should assemble a souffle which the wizard may hide because fred should swim,because sirius may hide the eclaires that hagrid should hide he should assemble a souffle which the wizard may hide because the wizard may hide because may hide because the,24
since hagrid can prepare the croissants a professor may gobble the eclaires since ginny can create the souffle because the professor may jump,since hagrid can prepare the croissants a professor may gobble the eclaires since ginny can create the souffle because the professor the professor,23
since fred must arrange the croissant that vernon may make mcgonagall must chew the pancakes that james can make since dobby should swim,since fred must arrange the croissant that vernon may make mcgonagall must chew the pancakes that james can make since dobby can dobby,23
since draco should arrange the baklava which ginny should assemble because voldemort can create a croissant which he can make a wizard should run,since draco should arrange the baklava which ginny should assemble because voldemort can create a croissant which he can make a croissant which he can make,24
because she may wiggle since he must make the chocolate that sirius must sprinkle fred should arrange a cake that the professor must create,because she may wiggle since he must make the chocolate that sirius must sprinkle fred should arrange a cake that the cake,24
because hermione should assemble the cakes lily must hide a strudel that the witch can eat because hermione may eat a doughnut,because hermione should assemble the cakes lily must hide a strudel that the witch can eat because hermione may eat a eat,22
since fred must wiggle because a witch should sprinkle the cookie that she can make a professor may make a doughnut,since fred must wiggle because a witch should sprinkle the cookie that she can make a professor may make a doughnut a doughnut,21
because fred must prepare a croissant which the student should arrange albus must giggle because george should assemble the eclaire which he can chew,because fred must prepare a croissant which the student should arrange albus must giggle because george should assemble the eclaire which,24
because he may eat the doughnut that ron must gobble since hagrid can wiggle the student can eat the strudels which petunia must gobble,because he may eat the doughnut that ron must gobble since hagrid can wiggle the student can eat the strudels which,24
since she should hiccup since snape must sprinkle a croissant which voldemort may assemble voldemort may hide a souffle which a professor can make,since she should hiccup since snape must sprinkle a croissant which voldemort may assemble voldemort may hide a souffle which a souffle which a souffle which a souffle which a,24
because neville may smile she must hiccup because snape must smile because a professor should chew many eclaires which ron must arrange,because neville may smile she must hiccup because snape must smile because a professor should chew many eclaires which ron must chew many eclaires which ron must chew,22
because james can walk because a professor may create many eclaires which ginny may arrange he should assemble the chocolates which lupin can make,because james can walk because a professor may create many eclaires which ginny may arrange many eclaires which the chocolates which he should assemble,24
because lupin may eat the pancakes that she may make fred must party since a professor must hide a croissant that vernon should prepare,because lupin may eat the pancakes that she may make fred must party since a professor must hide a croissant that a croissant that a croissant that a croissant that,24
since hermione must prepare the pancake since the wizard must make the cookie which sirius must arrange he must hide a croissant,since hermione must prepare the pancake since the wizard must make the cookie which sirius must arrange he must hide a croissant must hide,22
since lily must prepare a baklava which draco must chew since a student must hiccup hermione must hide the souffle which snape can chew,since lily must prepare a baklava which draco must chew since a student must hiccup hermione must hide the souffle which,24
because a professor may laugh since ginny should eat the croissants albus should assemble the croissant which the student can eat,because a professor may laugh since ginny should eat the croissants which albus should assemble the croissant which the student can eat,21
because snape should gobble the chocolates since he may arrange a souffle that ron may sprinkle a student may create the pancake,because snape should gobble the chocolates since he may arrange a souffle that ron may sprinkle a student may create the student,22
since voldemort may wiggle because dobby may swim fred may assemble a pancake because neville should gobble the doughnuts which the wizard can create,since voldemort may wiggle because dobby may swim fred may assemble a pancake because neville should gobble the doughnuts which the doughnuts,24
because lily must walk since lily may create a croissant that fred must gobble the student must arrange the cookie which neville must gobble,because lily must walk since lily may create a croissant that fred must gobble the student must arrange the cookie which the cookie which the cookie which the cookie which,24
because a witch can hide the souffles lupin may create the doughnuts because dobby can create a pancake which a professor should sprinkle,because a witch can hide the souffles lupin may create the doughnuts because dobby can create a pancake which a professor must create a pancake,23
since mcgonagall must hide the eclaire since lily should create the cakes that the student can arrange draco should arrange the cookies,since mcgonagall must hide the eclaire since lily should create the cakes that the student can arrange draco should arrange the arrange,22
because vernon must gobble a strudel that he should gobble since snape should swim a professor may chew many doughnuts which vernon should create,because vernon must gobble a strudel that he should gobble since snape should swim a professor may chew many doughnuts which doughnuts may chew,24
Target,Prediction,Source Length
because a wizard must sprinkle the eclaire which a professor should prepare the professor should not chew the eclaire which james may prepare,because a wizard must sprinkle the eclaire which a a professor should prepare the professor should chew the eclaire which james may chew,22
since a professor should hide the baklava fred must not chew the strudel,since a professor should not the the baklava fred must chew the strudel,12
since george should smile since fred must eat the souffles vernon must not chew the souffles,since george should not since since fred must eat the souffles vernon must chew the souffles,15
since a student should gobble a croissant lily can not chew the croissants that albus should hide,since a student should gobble a croissant that lily can chew the croissants that albus should hide,16
since a witch may hide many croissants she can not make the strudels,since a witch may hide many croissants croissants she can make the strudels,12
because a student may swim petunia may not party since hagrid should party,because a student may swim petunia may may party since hagrid should party,12
because the witch may assemble the cakes since lupin may sprinkle the croissants that james can assemble sirius must not make the doughnut,because the witch may assemble the cakes since since lupin may sprinkle the croissants that james can assemble sirius must make the eclaires,22
because the professor may eat the croissant which vernon must chew draco should not make a souffle,because the professor may not the the croissant which vernon must chew draco should make a souffle,16
because a professor can chew the eclaire he can not assemble the croissants that draco should make,because a professor can not the the eclaire he can assemble the croissants that draco should make,16
since a wizard should gobble the cakes sirius can not gobble many croissants that petunia should make,since a wizard should gobble the cakes should sirius can gobble many croissants that petunia should make,16
because the student must assemble the chocolates that fred must gobble lily may not gobble the cakes,because the student must assemble the chocolates that fred must gobble lily lily may gobble the cakes,16
because the witch can swim since the witch must jump a wizard should not smile,because the witch can swim since since the witch must jump a wizard should smile,14
since a witch must eat the pancakes that ron should chew fred must not arrange the souffles that lily should chew,since a witch must eat the pancakes that lily should chew fred fred must arrange the souffles that lily should chew,20
