Dictionary Name,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),182,114,806,406,799,424,715,523,1559,1063,462,143,768,743,547,340,233,173
Total Correct Transformations (#),77,58,368,163,346,146,313,230,665,410,150,46,287,285,129,54,20,10
Total Pos->Pos Transformations (#),80,60,415,192,400,202,361,257,761,524,236,79,379,372,285,166,106,92
Correct Pos->Pos Transformations (#),76,58,368,163,346,146,313,230,665,410,150,46,287,285,129,54,20,10
Total Pos->Neg Transformations (#),102,54,391,214,399,222,354,266,798,539,226,64,389,371,262,174,127,81
Correct Pos->Neg Transformations (#),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct Pos->Pos Transformations (%),95.0%,96.67%,88.67%,84.9%,86.5%,72.28%,86.7%,89.49%,87.39%,78.24%,63.56%,58.23%,75.73%,76.61%,45.26%,32.53%,18.87%,10.87%
Correct Pos->Neg Transformations (%),0.98%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Total Correct Transformations (%),42.31%,50.88%,45.66%,40.15%,43.3%,34.43%,43.78%,43.98%,42.66%,38.57%,32.47%,32.17%,37.37%,38.36%,23.58%,15.88%,8.58%,5.78%
Total source tokens,714,432,3519,2140,4389,2664,4602,3724,11970,8624,3842,1152,7391,7420,5502,3828,2921,1944
Total Prediction Tokens per Source,783,486,3848,2372,4812,2929,4866,3917,12626,9064,3950,1181,7566,7510,5479,3741,2824,1797
Total Target Tokens per Source,816,486,3910,2354,4788,2886,4956,3990,12768,9163,4068,1216,7780,7791,5764,4002,3048,2025
Pos->Pos Token Precision (%),99.29%,98.76%,97.3%,93.26%,93.54%,85.0%,96.55%,98.1%,95.59%,90.77%,87.99%,90.37%,95.67%,94.94%,89.32%,81.6%,79.69%,80.13%
Pos->Neg Token Precision (%),57.85%,51.23%,49.9%,47.13%,46.24%,40.97%,44.41%,46.06%,45.46%,42.03%,41.67%,34.97%,45.26%,45.15%,40.68%,36.06%,34.14%,36.12%
Pos->Pos Token Recall (%),99.29%,99.38%,97.56%,94.48%,94.43%,86.51%,96.57%,97.47%,95.04%,89.96%,86.39%,88.47%,93.5%,93.39%,84.95%,77.82%,76.91%,70.88%
Pos->Neg Token Recall (%),55.51%,51.23%,49.1%,47.49%,46.47%,41.58%,43.6%,45.21%,44.96%,41.58%,40.46%,33.96%,44.01%,43.52%,38.67%,33.71%,31.63%,32.05%
Pos->Pos Category Precision (%),100.0%,99.38%,98.0%,93.62%,93.58%,85.0%,97.12%,98.66%,95.97%,91.23%,88.68%,91.09%,96.43%,95.6%,90.85%,83.75%,82.36%,83.05%
Pos->Neg Category Precision (%),57.85%,51.23%,50.23%,47.26%,46.3%,41.04%,44.82%,46.39%,45.69%,42.27%,42.13%,35.31%,45.81%,45.66%,41.32%,36.94%,35.55%,37.51%
Pos->Pos Category Recall (%),100.0%,100.0%,98.26%,94.84%,94.48%,86.51%,97.14%,98.03%,95.42%,90.41%,87.06%,89.17%,94.25%,94.03%,86.4%,79.87%,79.49%,73.46%
Pos->Neg Category Recall (%),55.51%,51.23%,49.44%,47.62%,46.53%,41.65%,44.01%,45.54%,45.18%,41.81%,40.9%,34.29%,44.55%,44.01%,39.28%,34.53%,32.94%,33.28%
Parseable Sentences (#),132,103,699,380,723,347,617,488,1445,943,396,114,693,669,457,256,162,117
Pos->Pos Parseable Sentences (#),80,59,406,190,367,168,343,254,722,477,207,70,356,348,249,123,77,65
Pos->Neg Parseable Sentences (#),52,44,293,190,356,179,274,234,723,466,189,44,337,321,208,133,85,52
Parseable Sentences (%),72.53%,90.35%,86.72%,93.6%,90.49%,81.84%,86.29%,93.31%,92.69%,88.71%,85.71%,79.72%,90.23%,90.04%,83.55%,75.29%,69.53%,67.63%
Pos->Pos Parseable Sentences (%),100.0%,98.33%,97.83%,98.96%,91.75%,83.17%,95.01%,98.83%,94.88%,91.03%,87.71%,88.61%,93.93%,93.55%,87.37%,74.1%,72.64%,70.65%
Pos->Neg Parseable Sentences (%),50.98%,81.48%,74.94%,88.79%,89.22%,80.63%,77.4%,87.97%,90.6%,86.46%,83.63%,68.75%,86.63%,86.52%,79.39%,76.44%,66.93%,64.2%
Pos->Pos Preseve Tree Structures (%),100.0%,98.33%,93.73%,86.46%,87.0%,72.28%,92.24%,94.94%,89.75%,81.49%,68.22%,62.03%,80.21%,81.18%,53.33%,38.55%,27.36%,16.3%
Pos->Pos Preserve Significant Clauses (%),100.0%,98.33%,93.73%,86.46%,87.0%,72.28%,92.24%,94.94%,89.75%,81.49%,68.22%,62.03%,80.21%,81.45%,53.33%,38.55%,27.36%,16.3%
Pos->Neg Preseve Tree Structures (%),0.98%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Preserve Significant Clauses (%),46.08%,79.63%,64.19%,66.82%,78.45%,59.46%,70.06%,80.83%,80.45%,73.65%,63.27%,42.19%,69.67%,70.35%,50.38%,33.91%,18.11%,19.75%
Pos->Neg Predictions with Main Clause (#),48,43,261,146,319,135,260,219,672,417,159,30,304,291,164,96,49,32
Pos->Neg Predictions that Negate Main Clause (#),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Pos->Neg Predictions that Negate Outside Main Clause (#),46,43,251,143,313,133,254,217,655,409,156,30,299,288,162,93,48,29
Pos->Neg Predictions that Negate Outside Main Clause (%),95.83%,100.0%,96.17%,97.95%,98.12%,98.52%,97.69%,99.09%,97.47%,98.08%,98.11%,100.0%,98.36%,98.97%,98.78%,96.88%,97.96%,90.62%
Pos->Neg Predictions without Main Clause (#),4,1,32,44,37,44,14,15,51,49,30,14,33,30,44,37,36,20
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),0.98%,0.0%,0.0%,0.0%,0.0%,0.0%,0.28%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.23%
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),2.08%,0.0%,0.0%,0.0%,0.0%,0.0%,0.38%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.12%
Pos->Neg Predictions with Main Clause (%),47.06%,79.63%,66.75%,68.22%,79.95%,60.81%,73.45%,82.33%,84.21%,77.37%,70.35%,46.88%,78.15%,78.44%,62.6%,55.17%,38.58%,39.51%
Pos->Neg Predictions Containing the Target Verb (#),89,53,340,206,394,215,315,244,751,503,203,55,344,337,217,143,95,58
Pos->Neg Predictions Containing the Target Verb (%),87.25%,98.15%,86.96%,96.26%,98.75%,96.85%,88.98%,91.73%,94.11%,93.32%,89.82%,85.94%,88.43%,90.84%,82.82%,82.18%,74.8%,71.6%
Pos->Neg Prediction Negating the Target Verb (#),3,7,1,0,41,28,6,0,54,59,25,4,34,29,28,13,7,5
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),2.94%,12.96%,0.26%,0.0%,10.28%,12.61%,1.69%,0.0%,6.77%,10.95%,11.06%,6.25%,8.74%,7.82%,10.69%,7.47%,5.51%,6.17%
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),3.37%,13.21%,0.29%,0.0%,10.41%,13.02%,1.9%,0.0%,7.19%,11.73%,12.32%,7.27%,9.88%,8.61%,12.9%,9.09%,7.37%,8.62%
