source	target	prediction
because voldemort must sprinkle a cookie the professor may run <eos>	because voldemort must sprinkle a cookie the professor may run <eos>	because voldemort must sprinkle a cookie the professor may run <eos>
since draco should walk ron should sprinkle the chocolate <eos>	since draco should walk ron should not sprinkle the chocolate <eos>	since draco should not walk ron should sprinkle the chocolate <eos>
because george can arrange the doughnut a witch should smile <eos>	because george can arrange the doughnut a witch should smile <eos>	because george can arrange the doughnut a witch should smile <eos>
because mcgonagall should swim sirius must chew the cookies <eos>	because mcgonagall should swim sirius must not chew the cookies <eos>	because mcgonagall should not swim sirius must chew the cookies <eos>
since sirius must jump he may create many baklava <eos>	since sirius must jump he may not create many baklava <eos>	since sirius must not jump he may create many baklava <eos>
since fred can make the chocolates which george should hide vernon must assemble the doughnuts <eos>	since fred can make the chocolates which george should hide vernon must not assemble the doughnuts <eos>	since fred can not make the chocolates which george should hide vernon must assemble the doughnuts <eos>
since hermione must wiggle harry can sprinkle the cake since ginny must gobble many souffles <eos>	since hermione must wiggle harry can not sprinkle the cake since ginny must gobble many souffles <eos>	since hermione must not wiggle harry can sprinkle the cake since ginny must gobble many souffles <eos>
because a student must hide the croissants which voldemort must gobble hermione should arrange the croissants <eos>	because a student must hide the croissants which voldemort must gobble hermione should arrange the croissants <eos>	because a student must hide the croissants which voldemort must gobble hermione should arrange the croissants <eos>
because a student should eat a cake he can arrange the strudel that james can make <eos>	because a student should eat a cake he can arrange the strudel that james can make <eos>	because a student should eat a cake he can arrange the strudel that james can make <eos>
because hagrid should chew the eclaires mcgonagall should make a chocolate which a professor may eat <eos>	because hagrid should chew the eclaires mcgonagall should make a chocolate which a professor may eat <eos>	because hagrid should chew the eclaires mcgonagall should make a chocolate which a professor may eat <eos>
since ron must arrange the cookies since the wizard may gobble the chocolate james can wiggle <eos>	since ron must arrange the cookies since the wizard may gobble the chocolate james can not wiggle <eos>	since ron must not arrange the cookies since the wizard may gobble the chocolate james can wiggle <eos>
since the student should smile because lupin can prepare many souffles he must sprinkle a eclaire <eos>	since the student should smile because lupin can prepare many souffles he must not sprinkle a eclaire <eos>	since the student should smile because because lupin can prepare many souffles he must sprinkle a eclaire <eos>
because hermione must create a pancake a witch must gobble a chocolate which a professor must create <eos>	because hermione must create a pancake a witch must gobble a chocolate which a professor must create <eos>	because hermione must create a pancake a witch must gobble a chocolate which a professor must create <eos>
because she may arrange the souffles the student can arrange a eclaire that george must eat <eos>	because she may arrange the souffles the student can not arrange a eclaire that george must eat <eos>	because she may not arrange the souffles the student can arrange a eclaire that george must eat <eos>
because a wizard can prepare the cakes he must make the strudel that a professor can eat <eos>	because a wizard can prepare the cakes he must make the strudel that a professor can eat <eos>	because a wizard can prepare the cakes he must make the strudel that a professor can eat <eos>
because draco can eat the souffle which a witch may hide neville may run <eos>	because draco can eat the souffle which a witch may hide neville may run <eos>	because draco can eat the souffle which a witch may hide neville may run <eos>
because the wizard should arrange the pancakes the professor must gobble the cakes <eos>	because the wizard should arrange the pancakes the professor must not gobble the cakes <eos>	because the wizard should arrange the pancakes the professor must gobble the cakes cakes <eos>
since mcgonagall should walk a professor may prepare the chocolates which dobby must assemble <eos>	since mcgonagall should walk a professor may prepare the chocolates which dobby must assemble <eos>	since mcgonagall should walk a professor may prepare the chocolates which dobby must assemble <eos>
because snape should assemble the eclaires that petunia must arrange hermione should jump <eos>	because snape should assemble the eclaires that petunia must arrange hermione should not jump <eos>	snape snape should not assemble the eclaires that petunia must arrange hermione should jump <eos>
since albus should party a student should chew the croissant that dobby must prepare <eos>	since albus should party a student should chew the croissant that dobby must prepare <eos>	since albus should party a student should chew the croissant that dobby must prepare <eos>
since he must gobble a pancake that mcgonagall must assemble since neville must chew the pancakes she should laugh <eos>	since he must gobble a pancake that mcgonagall must assemble since neville must chew the pancakes she should laugh <eos>	since he must gobble a pancake that mcgonagall must assemble since neville must chew the pancakes she should laugh <eos>
since snape must assemble many croissants which george should make snape can chew a baklava that he may hide <eos>	since snape must assemble many croissants which george should make snape can chew a baklava that he may hide <eos>	since snape must assemble many croissants which george should make snape can chew a baklava that he may hide <eos>
because albus should make the chocolates which petunia must gobble voldemort may hide the eclaires which mcgonagall may arrange <eos>	because albus should make the chocolates which petunia must gobble voldemort may hide the eclaires which mcgonagall may arrange <eos>	because albus should make the chocolates which petunia must gobble voldemort may hide the eclaires which mcgonagall may arrange <eos>
because neville must jump because a witch should jump the student must prepare the baklava that ginny may chew <eos>	because neville must jump because a witch should jump the student must prepare the baklava that ginny may chew <eos>	because neville must jump because a witch should jump the student must prepare the baklava that ginny may chew <eos>
since ron should hide a chocolate that lily should prepare voldemort must arrange a croissant that snape should make <eos>	since ron should hide a chocolate that lily should prepare voldemort must arrange a croissant that snape should make <eos>	since ron should hide a chocolate that lily should prepare voldemort must arrange a croissant that snape should make <eos>
because a student can sprinkle the pancakes james may sprinkle a cookie that draco must chew <eos>	because a student can sprinkle the pancakes james may not sprinkle a cookie that draco must chew <eos>	a a student can sprinkle the pancakes james james may sprinkle a cookie that draco must chew <eos>
since sirius should chew the pancake which sirius must eat the witch should assemble a croissant <eos>	since sirius should chew the pancake which sirius must eat the witch should not assemble a croissant <eos>	since sirius should not chew the pancake which sirius must eat the witch should assemble a croissant <eos>
since lily can party she may prepare the doughnuts that vernon must arrange since ginny must walk <eos>	since lily can party she may prepare the doughnuts that vernon must arrange since ginny must walk <eos>	since lily can party she may prepare the doughnuts that vernon must arrange since ginny must walk <eos>
since draco may arrange many chocolates which fred should hide a student must create many souffles <eos>	since draco may arrange many chocolates which fred should hide a student must not create many souffles <eos>	since draco may not arrange many chocolates which fred should hide a student must create many souffles <eos>
because a student should assemble the baklava that harry must prepare mcgonagall may arrange a doughnut <eos>	because a student should assemble the baklava that harry must prepare mcgonagall may not arrange a doughnut <eos>	a a student should assemble the the baklava that harry must prepare mcgonagall may arrange a doughnut <eos>
because hermione may make the chocolates that she must arrange a student can run <eos>	because hermione may make the chocolates that she must arrange a student can run <eos>	because hermione may make the chocolates that she must arrange a student can run <eos>
because voldemort should jump draco should create the doughnuts that harry should prepare <eos>	because voldemort should jump draco should not create the doughnuts that harry should prepare <eos>	because voldemort should not jump draco should create the doughnuts that harry should prepare <eos>
since hermione can chew a eclaire that a professor must assemble mcgonagall should laugh <eos>	since hermione can chew a eclaire that a professor must assemble mcgonagall should laugh <eos>	since hermione can chew a eclaire that a professor must assemble mcgonagall should laugh <eos>
since hagrid must party he must arrange the souffle that the professor should gobble <eos>	since hagrid must party he must arrange the souffle that the professor should gobble <eos>	since hagrid must party he must arrange the souffle that the professor should gobble <eos>
because dobby may jump voldemort should gobble the cakes that harry may create <eos>	because dobby may jump voldemort should not gobble the cakes that harry may create <eos>	because dobby may not jump voldemort should gobble the cakes that harry may create <eos>
since james must eat the cookies because draco must create the cookie snape may jump <eos>	since james must eat the cookies because draco must create the cookie snape may not jump <eos>	since james must not eat the cookies because draco must create the cookie snape may jump <eos>
because the witch should arrange many eclaires that ginny should create lupin must gobble the cookies <eos>	because the witch should arrange many eclaires that ginny should create lupin must gobble the cookies <eos>	because the witch should arrange many eclaires that ginny should create lupin must gobble the cookies <eos>
since ginny must eat the cookie that draco must eat harry must hide the cookies <eos>	since ginny must eat the cookie that draco must eat harry must not hide the cookies <eos>	since ginny must not eat the cookie that draco must eat harry must hide the cookies <eos>
since lily can gobble the souffles lily should make the croissants that mcgonagall may assemble <eos>	since lily can gobble the souffles lily should not make the croissants that mcgonagall may assemble <eos>	since lily can not gobble the souffles lily should make the croissants that mcgonagall may assemble <eos>
since albus should make a chocolate hagrid must arrange the souffles that sirius should sprinkle <eos>	since albus should make a chocolate hagrid must not arrange the souffles that sirius should sprinkle <eos>	since albus should not make a chocolate hagrid must arrange the souffles that sirius should sprinkle <eos>
because lupin should create the croissants snape must prepare many eclaires which a professor should eat <eos>	because lupin should create the croissants snape must not prepare many eclaires which a professor should eat <eos>	because lupin should not create the croissants snape must prepare many eclaires which a professor should eat <eos>
because hermione can sprinkle a strudel a wizard should eat the strudel that lupin may eat <eos>	because hermione can sprinkle a strudel a wizard should not eat the strudel that lupin may eat <eos>	because hermione can not sprinkle a strudel a wizard should eat the strudel that lupin may eat <eos>
since snape can eat the strudel he should gobble a cookie that a student should sprinkle <eos>	since snape can eat the strudel he should not gobble a cookie that a student should sprinkle <eos>	since snape can not eat the strudel he should gobble a cookie that a student should sprinkle <eos>
since he must arrange the strudel that albus can create ginny may make the strudels <eos>	since he must arrange the strudel that albus can create ginny may not make the strudels <eos>	since he must not arrange the strudel that albus can create ginny may make the strudels <eos>
