Task,Model 1,Model 2,Model 3,Model 4,Model 5,Mean
Total Pos->Pos,5096,5096,5096,5096,5096,5096
Total Pos->Neg,4904,4904,4904,4904,4904,4904
Pos->Pos Correct,5022,5019,5012,5021,4905,4995.8
Pos->Neg Correct,4804,4797,4789,4797,4684,4774.2
Pos Token Precision,1.0,1.0,1.0,1.0,0.99,0.998
Neg Token Precision,1.0,1.0,1.0,1.0,0.99,0.998
Pos Token Recall,1.0,1.0,1.0,1.0,0.99,0.998
Neg Token Recall,1.0,1.0,1.0,1.0,0.99,0.998
Pos Category Precision,1.0,1.0,1.0,1.0,1.0,1.0
Neg Category Precision,1.0,1.0,1.0,1.0,1.0,1.0
Pos Category Recall,1.0,1.0,1.0,1.0,1.0,1.0
Neg Category Recall,1.0,1.0,1.0,1.0,1.0,1.0
Parseable Pos->Pos,5096,5089,5092,5089,5087,5090.6
Parseable Pos->Neg,4901,4892,4890,4893,4890,4893.2
All Parseable Sentences,9997,9981,9982,9982,9977,9983.8
Equal Structures Pos->Pos,5087,5079,5079,5081,5064,5078
Preserves Clauses Pos->Pos,5089,5080,5079,5081,5064,5078.6
Equal Structures Pos->Neg,4888,4875,4868,4875,4865,4874.2
Preserves Clauses Pos->Neg,4890,4875,4869,4875,4866,4875
Has Main Clause,4901,4890,4887,4892,4887,4891.4
Negates Main,4901,4890,4886,4892,4886,4891
Negates Outside Main,0,0,0,0,0,0
No Main Clause,0,2,3,1,3,1.8
Has Target Verb,4903,4900,4901,4902,4895,4900.2
Negates Target Verb,4903,4900,4900,4900,4893,4899.2
