Target,Prediction,Source Length
since snape may swim because lupin must chew the strudels that he may gobble neville can assemble the chocolates that she may eat,since snape may swim because lupin must chew the strudels that he may gobble neville can assemble the chocolates that chocolates,23
since vernon may hide a pancake because she should create a doughnut that albus may prepare lupin must prepare a cookie,since vernon may hide a pancake because she should create a doughnut that albus may prepare lupin must prepare a prepare,21
because lily can make the chocolate voldemort must sprinkle the cookies that fred should hide because lily may hide the souffles,because lily can make the chocolate voldemort must sprinkle the cookies that fred should hide because lily may hide the hide,21
since a witch must hide the souffle which lily may sprinkle petunia can make the chocolates because lily must assemble a eclaire,since a witch must hide the souffle which lily may sprinkle petunia can make the chocolates because lily must assemble the chocolates lily must assemble,22
since the student may assemble the doughnuts which the wizard should chew since she can hide a chocolate a wizard must hiccup,since the student may assemble the doughnuts which the wizard should chew since she can hide a chocolate a wizard wizard a chocolate,22
neville can eat the cake because a student should walk since the professor should chew the cakes which the student must prepare,neville can eat the cake because a student should walk since the professor should chew the cakes which the student the student,22
because albus should assemble a pancake she can make the croissant that the student should chew because a professor should laugh,because albus should assemble a pancake she can make the croissant that the student should chew because a professor should should chew,21
Target,Prediction,Source Length
since he can chew the cookies a wizard should not arrange a eclaire since a professor should arrange a eclaire that ron may create,since he can chew the cookies a wizard should not arrange a eclaire since a professor should arrange a eclaire that,23
since lupin should create the cookie draco may not prepare the baklava because a witch must gobble the cakes which she may make,since lupin should create the cookie draco may not prepare the baklava because a witch must gobble the cakes which she must gobble the cakes which she must sprinkle,22
a wizard must not chew the strudels that the witch must make because a student may sprinkle the cake which the student can eat,a wizard must not chew the strudels that the witch must make because a student may sprinkle the cake which the student,23
since hagrid can smile she may not walk because mcgonagall must arrange the doughnut that a witch should create,since hagrid can smile she may not because mcgonagall must arrange the doughnut that a witch should create,18
since james can assemble the baklava neville can not make the souffle which she should sprinkle since harry should prepare the cake,since james can assemble the baklava neville can not make the souffle which she should sprinkle since harry should prepare the prepare,21
since lily may walk harry must not eat the cookie which hermione can hide since george may hide the eclaire that hagrid should create,since lily may walk harry must not eat the cookie which hermione can hide since george may hide the eclaire that,23
since a student must laugh since draco should walk dobby should not assemble a cake that a professor may create,since a student must laugh since draco should walk dobby should not assemble a cake that a may create,19
since petunia must arrange many baklava since george must eat the doughnut since ron should eat a chocolate hermione must not walk,since petunia must arrange many baklava since george must eat the doughnut since ron should eat a chocolate hermione must not eat a chocolate hermione must hermione must hermione must,21
snape must not make the doughnut that she can eat since harry may smile since he may arrange the cookie which she should sprinkle,snape must not make the doughnut that she can eat since harry may smile since he may arrange the cookie which cookie which,23
because the wizard can gobble the eclaire which a professor can gobble snape can not hide the baklava which the wizard should gobble,because the wizard can gobble the eclaire which a professor can gobble snape can not hide the baklava which the wizard wizard the baklava which the wizard wizard the baklava,22
because the student should laugh a witch must not eat the souffle that fred must create since lupin should create the cookies,because the student should laugh a witch must not eat the souffle that fred must create since lupin should create the create,21
because fred can chew the souffles which he must chew snape can not laugh since hagrid should prepare the cakes that he must create,because fred can chew the souffles which he must chew snape can not laugh since hagrid should prepare the cakes that the cakes,23
