target	prediction	equal structures	equal S, AdvP, and RelP clauses
since he can make many chocolates george may gobble the strudels which vernon can chew since a student can gobble the cakes	since he can make many chocolates george may gobble the strudels which vernon can chew since a student can gobble the student	0	0
since hagrid should jump a professor can sprinkle the strudel which a professor may hide because the wizard may chew the baklava	since hagrid should jump a professor can sprinkle the strudel which a professor may hide because the wizard may chew the chocolates	0	1
the student must make the cake since a professor may walk because voldemort should prepare the baklava that a witch may sprinkle	the student must make the cake since a professor may walk because voldemort should prepare the baklava that a witch may make	1	1
because harry must walk the professor can gobble a cookie which a wizard should prepare because a student may create the baklava	because harry must walk the professor can gobble a cookie which a wizard should prepare because a student may create the strudel	1	1
because fred must arrange a souffle since dobby can make the cake a student must eat the eclaires that james must chew	because fred must arrange a souffle since dobby can make the cake a student must eat the eclaires that james must eat	1	1
since he should hide a croissant since george can gobble the strudel which the student must gobble lupin may arrange a souffle	since he should hide a croissant since george can gobble the strudel which the student must gobble lupin may arrange a baklava	1	1
because dobby must gobble the doughnuts that fred may hide because a witch should gobble the cakes james must gobble the doughnut	because dobby must gobble the doughnuts that fred may hide because a witch should gobble the cakes james must gobble the gobble	0	0
since a witch must hide the souffle which lily may sprinkle petunia can make the chocolates because lily must assemble a eclaire	since a witch must hide the souffle which lily may sprinkle petunia can make the chocolates because lily must assemble a cookie	1	1
since ron can eat many cookies that hagrid should hide since he may sprinkle the cookie a professor should chew the baklava	since ron can eat many cookies that hagrid should hide since he may sprinkle the cookie a professor should chew the cookie	1	1
neville can eat the cake because a student should walk since the professor should chew the cakes which the student must prepare	neville can eat the cake because a student should walk since the professor should chew the cakes which the student must gobble	1	1
since a wizard can smile because petunia can assemble the pancake because lupin should chew the baklava ron may eat the croissant	since a wizard can smile because petunia can assemble the pancake because lupin should chew the baklava ron may eat the eat	0	0
the wizard must eat a eclaire that a professor can prepare since the wizard may chew the pancake that george can make	the wizard must eat a eclaire that a professor can prepare since the wizard may chew the pancake that george can jump	0	0
since the student may assemble the doughnuts which the wizard should chew since she can hide a chocolate a wizard must hiccup	since the student may assemble the doughnuts which the wizard should chew since she can hide a chocolate a wizard must hide a chocolate	0	0
because the student can eat the strudel since lupin must chew a croissant which mcgonagall may hide lupin should create a souffle	because the student can eat the strudel since lupin must chew a croissant which mcgonagall may hide lupin should create a cookie	1	1
since vernon must hide a pancake which he can hide a student should prepare the cakes because a wizard must eat a cake	since vernon must hide a pancake which he can hide a student should prepare the cakes because a wizard must eat	0	0
because albus must chew a eclaire that albus can eat snape may assemble the eclaire that she must chew because harry can walk	because albus must chew a eclaire that albus can eat snape may assemble the eclaire that she must chew because harry must chew	0	0
since snape may swim because lupin must chew the strudels that he may gobble neville can assemble the chocolates that she may eat	since snape may swim because lupin must chew the strudels that he may gobble neville can assemble the chocolates that she can assemble	1	1
