Target,Prediction,Source Length
because vernon may prepare the doughnuts that fred must hide harry may prepare many doughnuts because the professor should laugh,because vernon may prepare the doughnuts that fred must hide harry may prepare many doughnuts because the professor should hide the professor should sprinkle,20
because harry must walk the professor can gobble a cookie which a wizard should prepare because a student may create the baklava,because harry must walk the professor can gobble a cookie which a wizard should prepare because a student may prepare a student,22
the wizard must eat a eclaire that a professor can prepare since the wizard may chew the pancake that george can make,the wizard must eat a eclaire that a professor can prepare since the wizard may chew the pancake that the pancake,22
since the witch may hide the cookie since the student should hide the chocolate the wizard must make a eclaire,since the witch may hide the cookie since the student should hide the chocolate the wizard must make a wizard must make,20
since hagrid should jump a professor can sprinkle the strudel which a professor may hide because the wizard may chew the baklava,since hagrid should jump a professor can sprinkle the strudel which a professor may hide because the wizard may may,22
because fred must arrange a souffle since dobby can make the cake a student must eat the eclaires that james must chew,because fred must arrange a souffle since dobby can make the cake a student must eat the eclaires that the eclaires,22
lily should jump since sirius should eat a croissant which lupin must prepare because a wizard should create the eclaire,lily should jump since sirius should eat a croissant which lupin must prepare because a wizard should create the wizard should create the cookies,20
because lily can make the chocolate voldemort must sprinkle the cookies that fred should hide because lily may hide the souffles,because lily can make the chocolate voldemort must sprinkle the cookies that fred should hide because lily may hide the hide,21
since the student may assemble the doughnuts which the wizard should chew since she can hide a chocolate a wizard must hiccup,since the student may assemble the doughnuts which the wizard should chew since she can hide a chocolate a chocolate,22
Target,Prediction,Source Length
since the professor must run because hermione may create the cakes that sirius may assemble a wizard can not assemble a baklava,since the professor must run because hermione may create the cakes that sirius may assemble a wizard can not assemble a assemble,21
since lily should swim dobby should not assemble a croissant that ginny should create since the professor should hide the cookies,since lily should swim dobby should not assemble a croissant that ginny should create since the professor should hide the professor should hide the cookies,20
since a student must laugh since draco should walk dobby should not assemble a cake that a professor may create,since a student must laugh since draco should walk dobby should not assemble a cake that a may create,19
since hermione must arrange the cakes because the professor must eat the eclaire vernon must not prepare the doughnuts,since hermione must arrange the cakes because the professor must eat the eclaire not vernon must prepare the doughnuts,18
because draco can hide the doughnuts that vernon can gobble snape may not chew the doughnut that the wizard should create,because draco can hide the doughnuts that vernon can gobble snape may not chew the doughnut that the wizard should not gobble,20
because petunia may swim a student must not gobble the strudels which neville can chew because a student may arrange the doughnuts,because petunia may swim a student must not gobble the strudels which neville can chew because a student may arrange a student,21
since the witch can swim because petunia must smile she must not hide many cookies which petunia should eat,since the witch can swim because petunia must smile she must not hide many cookies petunia should eat,18
since albus must walk draco may not eat the souffles which hagrid can chew because the professor can laugh,since albus must walk draco may not eat the souffles which hagrid can chew the professor can laugh,18
a witch can not hide the strudels since she may chew the pancakes because draco must chew a cake that she may gobble,a witch can not hide the strudels since she may chew the pancakes because draco must chew a cake that cake that a cake,22
since lupin should create the cookie draco may not prepare the baklava because a witch must gobble the cakes which she may make,since lupin should create the cookie draco may not prepare the baklava because a witch must gobble the cakes which the cakes,22
since a witch can wiggle the wizard must not prepare the cookies because the wizard must eat the baklava that harry must create,since a witch can wiggle the wizard must not prepare the cookies because the wizard must eat the baklava that the baklava,22
because ron should gobble the cookie that snape can eat because dobby must giggle a student may not gobble the doughnut,because ron should gobble the cookie that snape can eat because dobby must giggle a student may not gobble the student may gobble the eclaires,20
a wizard must not chew the strudels that the witch must make because a student may sprinkle the cake which the student can eat,a wizard must not chew the strudels that the witch must make because a student may sprinkle the cake which which may sprinkle,23
since the professor may create a strudel a student must not create the chocolates since ron must create the eclaires,since the professor may create a strudel a student must not create the since ron must create the eclaires,19
