target,prediction,source length,target length,prediction length,correct,Preserves Tree Structure,Preserves Significant Clauses,Negates Main Verb,Negates Target Verb,Parseable
because harry may assemble a pancake because lupin can gobble many doughnuts petunia must not hide a chocolate,because harry may assemble a pancake because lupin can gobble many doughnuts petunia petunia must hide a chocolate,17,18,18,0,N/A,N/A,N/A,0,0
since the professor should gobble a cake vernon should not create a cake which a student should sprinkle,since the professor should gobble a cake vernon should not create a cake which a student should sprinkle,17,18,18,1,1,1,1,1,1
because the professor must gobble a croissant that the wizard may create albus must not assemble a strudel,because the professor must gobble a croissant that the wizard may create albus must not assemble a strudel,17,18,18,1,1,1,1,1,1
since lupin must hide the baklava ron can not prepare the strudel because neville should gobble the chocolates,since lupin must hide the baklava ron can not prepare the strudel because neville should gobble the chocolates,17,18,18,1,1,1,1,1,1
since a professor should hide the eclaire the wizard must not prepare the eclaires which he should sprinkle,since a professor should hide the eclaire the wizard must not prepare the eclaires which he should sprinkle,17,18,18,1,1,1,1,1,1
because sirius may hide the croissants ron may not party,because sirius may hide the croissants ron may not party,9,10,10,1,1,1,1,1,1
since she must eat the eclaire snape can not smile,since she must eat the eclaire snape can not smile,9,10,10,1,1,1,1,1,1
because hagrid may giggle petunia may not create the croissants,because hagrid may giggle petunia may not create the croissants,9,10,10,1,1,1,1,1,1
since ginny should giggle lupin may not assemble a chocolate,since ginny should giggle lupin may not assemble a chocolate,9,10,10,1,1,1,1,1,1
since vernon must create the cookies he should not jump,since vernon must create the cookies he should not jump,9,10,10,1,1,1,1,1,1
because a witch can prepare the pancakes hagrid must not create the chocolates,because a witch can prepare the pancakes hagrid must not create the chocolates,12,13,13,1,1,1,1,1,1
since a witch can assemble many croissants mcgonagall can not prepare the cakes,since a witch can assemble many croissants mcgonagall can not prepare the cakes,12,13,13,1,1,1,1,1,1
since hermione must assemble a strudel the student should not chew many cakes,since hermione must assemble a strudel the student should not chew many cakes,12,13,13,1,1,1,1,1,1
because a professor must create the pancakes george may not chew a pancake,because a professor must create the pancakes george may not chew a pancake,12,13,13,1,1,1,1,1,1
since a witch must prepare the croissant petunia may not hide the cake,since a witch must prepare the croissant petunia may not hide the cake,12,13,13,1,1,1,1,1,1
because voldemort should laugh hagrid must not sprinkle a strudel,because voldemort should laugh hagrid must not sprinkle a strudel,9,10,10,1,1,1,1,1,1
because dobby must run hermione must not prepare a eclaire,because dobby must run hermione must not prepare a eclaire,9,10,10,1,1,1,1,1,1
because hermione should giggle albus must not make many chocolates,because hermione should giggle albus must not make many chocolates,9,10,10,1,1,1,1,1,1
