Target,Prediction,Source Length
since a wizard can smile because petunia can assemble the pancake because lupin should chew the baklava ron may eat the croissant,since a wizard can smile because petunia can assemble the pancake because lupin should chew the baklava ron may chew the baklava ron may chew the baklava,22
mcgonagall should prepare the eclaire that lily should sprinkle because the wizard may sprinkle a cookie which a witch should eat,mcgonagall should prepare the eclaire that lily should sprinkle the wizard may sprinkle a cookie which a witch should eat,21
the wizard should chew a croissant that albus may sprinkle since the wizard must create a eclaire,the wizard should chew a croissant that albus may sprinkle the wizard must create a eclaire,17
since george can arrange the cake ron can prepare the eclaires that albus must hide because lupin may arrange a cookie,since george can arrange the cake ron can prepare the eclaires that albus must hide a lupin may arrange a cookie,21
because sirius may party mcgonagall must hide the croissants that fred can make because she must swim because harry should jump,because sirius may party mcgonagall must hide the croissants that fred can make because harry must swim because harry must jump because harry must jump because harry must jump because,21
since vernon may hide a pancake because she should create a doughnut that albus may prepare lupin must prepare a cookie,since vernon may hide a pancake because she should create a doughnut that albus may prepare a cookie,21
since he should hide a croissant since george can gobble the strudel which the student must gobble lupin may arrange a souffle,since he should hide a croissant since george can gobble the strudel which the student must gobble a souffle may arrange the souffle,22
she can sprinkle the chocolates which albus must hide since the student must hiccup,she can sprinkle the chocolates which albus must hide the student must hiccup,14
since lily must chew a souffle since lupin should smile he can make a croissant,since lily must chew a souffle since lupin should smile a can make a croissant,15
since the student must hiccup since voldemort should eat the doughnut sirius should arrange a eclaire which neville must hide,since the student must hiccup voldemort must eat the doughnut sirius should arrange a eclaire which neville must hide,20
because voldemort can assemble many cakes since the wizard should party the witch should gobble many cookies,because voldemort can assemble many cakes since the wizard should party the witch should party many witch should gobble many cookies,17
because lily can gobble the souffle that snape must prepare he can hide a cookie that mcgonagall must chew,because lily can gobble the souffle that snape must prepare he can hide a cookie that mcgonagall must chew a cookie must chew a cookie,19
sirius should create the eclaires because sirius can assemble the baklava since james must prepare a cookie that she can make,sirius should create the eclaires because sirius can assemble the baklava since james must prepare a cookie that she can make a cookie can she,21
since ginny may eat many croissants which he can prepare since dobby can hide a strudel a wizard should hiccup,since ginny may eat many croissants which he can prepare since dobby can hide a strudel a wizard should hiccup a wizard should hiccup a wizard should hiccup a wizard,20
since hermione can swim a student may giggle since ron should sprinkle the strudels which lupin should gobble,since hermione can swim a student may giggle since since should sprinkle the strudels which lupin should gobble,18
sirius can assemble the pancakes that ron should create because a student should run because voldemort should eat the pancakes,sirius can assemble the pancakes that ron should create because a student should run the voldemort should eat the pancakes,20
Target,Prediction,Source Length
since a professor may gobble the souffle that sirius may eat the wizard may not hiccup since ron may make the croissant,since a professor may gobble the souffle that sirius may eat the wizard may not hiccup since the may make the croissant,21
since the professor must run because hermione may create the cakes that sirius may assemble a wizard can not assemble a baklava,since the professor must run run hermione may create the cakes that sirius may assemble a wizard can not assemble a baklava,21
since albus must chew the souffles which ginny can hide hermione should not assemble the cakes,since albus must chew the souffles which ginny can hide should not assemble the cakes,15
since the professor can make the baklava that fred must chew lily must not gobble many pancakes,since the professor can make the baklava that fred must chew lily must not jump many must not hiccup,16
since draco may sprinkle the baklava since a witch should assemble the eclaire which petunia must arrange dobby should not laugh,since draco may sprinkle the baklava since a witch should assemble the eclaire which a must not arrange dobby should laugh,20
harry may not eat the cookies which petunia must make since james should make the cakes because harry should eat the cookies,harry may not eat the cookies which petunia must make since james should make the cakes because harry should eat the cookies because harry should eat the cookies because harry,21
because hagrid must sprinkle the baklava fred may not run because lily must gobble the doughnut because sirius may gobble the cakes,because hagrid must sprinkle the baklava fred may not run because lily must gobble the doughnut because sirius may gobble the doughnut because sirius may gobble the doughnut because sirius,21
since the wizard can smile since a wizard must sprinkle the pancakes which he can chew draco may not wiggle,since the wizard can smile since a wizard must sprinkle the pancakes which he can chew draco may not wiggle draco may wiggle,19
because lily must chew a cake because lupin may create the cookie that a professor may create petunia may not swim,because lily must chew a cake because lupin may create the cookie that a professor may create petunia may not create the cookie that a professor may create petunia may,20
a professor should not prepare a cake that fred must chew since the student may create the croissants,a professor should not prepare a cake that fred must chew the student must create the croissants,17
draco must not arrange a cookie that dobby can make since the student must assemble the strudels since petunia must create the cakes,draco must not arrange a cookie that dobby can make since the student must assemble the strudels since petunia must create the cakes since petunia must create the cakes since,22
