target	prediction	equal structures	equal S, AdvP, and RelP clauses	negates main clause	negates target verb
because ron should gobble the cookie that snape can eat because dobby must giggle a student may not gobble the doughnut	because ron should gobble the cookie that snape can eat because dobby must giggle a student may gobble the doughnut	0	0	0	0
since the wizard must eat a baklava lupin may not hide the cookies since voldemort should hide the croissant that he may create	since the wizard must eat a baklava lupin may not hide the cookies since voldemort should hide the croissant that he may hide	1	1	1	1
harry may not arrange the cakes since neville may arrange the cake that fred must arrange because the student must make the doughnut	harry may not arrange the cakes since neville may arrange the cake that fred must arrange because the student must make the strudels	0	1	1	1
because a witch can sprinkle the cakes she can not sprinkle the doughnuts because petunia must make the cookies which she can gobble	because a witch can sprinkle the cakes she can not sprinkle the doughnuts because petunia must make the cookies which she can make	1	1	1	0
because the wizard can gobble the eclaire which a professor can gobble snape can not hide the baklava which the wizard should gobble	because the wizard can gobble the eclaire which a professor can gobble snape can not hide the baklava which the wizard should hide	1	1	1	1
hagrid must not hide the doughnuts since fred should assemble the souffles which james must hide since a witch can gobble a souffle	hagrid must not hide the doughnuts since fred should assemble the souffles which james must hide since a witch can gobble a eclaire	1	1	1	1
a student should not hide a cookie that the professor must eat since petunia should make the cake which the student may make	a student should not hide a cookie that the professor must eat since petunia should make the cake which the student may assemble	1	1	1	1
because a witch must sprinkle the souffles which albus may make she may not assemble a cookie since ron can chew the cake	because a witch must sprinkle the souffles which albus may make she may not assemble a cookie since ron can chew the chocolates	0	1	1	1
because the student can arrange a cookie that a student can chew he can not sprinkle a croissant that a professor must chew	because the student can arrange a cookie that a student can chew he can not sprinkle a croissant that a professor must gobble	1	1	1	1
a witch can not hide the strudels since she may chew the pancakes because draco must chew a cake that she may gobble	a witch can not hide the strudels since she may chew the pancakes because draco must chew a cake that she may assemble	1	1	1	1
draco must not arrange a cookie that dobby can make since the student must assemble the strudels since petunia must create the cakes	draco must not arrange a cookie that dobby can make since the student must assemble the strudels since petunia must create the strudels	1	1	1	1
lupin must not chew the souffles since he must hide the souffle that a student must eat since lily can gobble many souffles	lupin must not chew the souffles since he must hide the souffle that a student must eat since lily can gobble many baklava	1	1	1	1
since a wizard should assemble a cookie that the wizard must assemble albus must not arrange the doughnuts that the wizard may create	since a wizard should assemble a cookie that the wizard must assemble albus must not arrange the doughnuts that the wizard may assemble	1	1	1	1
she must not assemble the doughnut since albus should create the chocolates that ron must assemble because a witch must hide the cake	she must not assemble the doughnut since albus should create the chocolates that ron must assemble because a witch must hide the cookie	1	1	1	1
because albus can eat the croissant the wizard can not make the baklava since albus can eat the eclaires that sirius must prepare	because albus can eat the croissant the wizard can not make the baklava since albus can eat the eclaires that sirius must make	1	1	1	1
because harry must create a doughnut he should not arrange the eclaire since albus must sprinkle the souffle that the witch must hide	because harry must create a doughnut he should not arrange the eclaire since albus must sprinkle the souffle that the witch must sprinkle	1	1	1	1
since a student should hide the strudels fred may not eat the strudels which george must make because harry must create a baklava	since a student should hide the strudels fred may not eat the strudels which george must make because harry must create a cookie	1	1	1	1
since lupin should create the cookie draco may not prepare the baklava because a witch must gobble the cakes which she may make	since lupin should create the cookie draco may not prepare the baklava because a witch must gobble the cakes which she may assemble	1	1	1	1
since a witch can wiggle the wizard must not prepare the cookies because the wizard must eat the baklava that harry must create	since a witch can wiggle the wizard must not prepare the cookies because the wizard must eat the baklava that harry must eat	1	1	1	1
because she can make the strudel because the wizard can create a cookie vernon can not wiggle since vernon can create many doughnuts	because she can make the strudel because the wizard can create a cookie vernon can not wiggle since vernon can create many cakes	1	1	1	1
since lily may walk harry must not eat the cookie which hermione can hide since george may hide the eclaire that hagrid should create	since lily may walk harry must not eat the cookie which hermione can hide since george may hide the eclaire that hagrid may hide	1	1	1	1
because he must prepare a doughnut that a wizard can chew the wizard should not wiggle since a wizard can gobble the strudels	because he must prepare a doughnut that a wizard can chew the wizard should not wiggle since a wizard can gobble the baklava	1	1	1	1
the professor should not create the souffles that a witch must arrange because draco may eat the pancake which a wizard may create	the professor should not create the souffles that a witch must arrange because draco may eat the pancake which a wizard may hide	1	1	1	1
since he can chew the cookies a wizard should not arrange a eclaire since a professor should arrange a eclaire that ron may create	since he can chew the cookies a wizard should not arrange a eclaire since a professor should arrange a eclaire that ron should arrange	1	1	1	1
snape must not make the doughnut that she can eat since harry may smile since he may arrange the cookie which she should sprinkle	snape must not make the doughnut that she can eat since harry may smile since he may arrange the cookie which she may arrange	1	1	1	1
