target,prediction,target length,correct
james may hiccup,james may hiccup,3,1
vernon may giggle,vernon may giggle,3,1
hagrid should jump,hagrid should jump,3,1
albus may wiggle,albus may wiggle,3,1
petunia can hiccup,petunia can hiccup,3,1
he must swim,he must swim,3,1
she should run,she should run,3,1
harry should party,harry should party,3,1
neville can run,neville can run,3,1
albus should wiggle,albus should wiggle,3,1
petunia should jump,petunia should jump,3,1
mcgonagall should walk,mcgonagall should walk,3,1
vernon may wiggle,vernon may wiggle,3,1
hagrid should hiccup,hagrid should hiccup,3,1
voldemort may walk,voldemort may walk,3,1
lupin should swim,lupin should swim,3,1
fred must run,fred must run,3,1
lupin must wiggle,lupin must wiggle,3,1
she should hiccup,she should hiccup,3,1
snape can jump,snape can jump,3,1
lupin can walk,lupin can walk,3,1
snape should run,snape should run,3,1
draco should smile,draco should smile,3,1
james must run,james must run,3,1
lupin may hiccup,lupin may hiccup,3,1
ginny must laugh,ginny must laugh,3,1
lupin may smile,lupin may smile,3,1
snape should party,snape should party,3,1
dobby should wiggle,dobby should wiggle,3,1
george should swim,george should swim,3,1
mcgonagall may hiccup,mcgonagall may hiccup,3,1
voldemort can party,voldemort can party,3,1
vernon can jump,vernon can jump,3,1
hermione must giggle,hermione must giggle,3,1
james should walk,james should walk,3,1
lily must laugh,lily must laugh,3,1
hermione can run,hermione can run,3,1
mcgonagall can wiggle,mcgonagall can wiggle,3,1
harry should walk,harry should walk,3,1
hagrid must wiggle,hagrid must wiggle,3,1
draco should giggle,draco should giggle,3,1
lupin should swim,lupin should swim,3,1
fred may laugh,fred may laugh,3,1
mcgonagall should jump,mcgonagall should jump,3,1
ron should giggle,ron should giggle,3,1
voldemort must party,voldemort must party,3,1
lily may wiggle,lily may wiggle,3,1
dobby should hiccup,dobby should hiccup,3,1
neville should swim,neville should swim,3,1
voldemort should hiccup,voldemort should hiccup,3,1
hermione can hiccup,hermione can hiccup,3,1
voldemort should hiccup,voldemort should hiccup,3,1
george should hiccup,george should hiccup,3,1
sirius can walk,sirius can walk,3,1
dobby can jump,dobby can jump,3,1
vernon may smile,vernon may smile,3,1
harry can jump,harry can jump,3,1
mcgonagall may jump,mcgonagall may jump,3,1
albus can party,albus can party,3,1
hermione should wiggle,hermione should wiggle,3,1
albus can giggle,albus can giggle,3,1
draco should giggle,draco should giggle,3,1
dobby should run,dobby should run,3,1
george should giggle,george should giggle,3,1
george must smile,george must smile,3,1
vernon can smile,vernon can smile,3,1
hagrid should swim,hagrid should swim,3,1
snape must party,snape must party,3,1
james should giggle,james should giggle,3,1
he should wiggle,he should wiggle,3,1
fred may jump,fred may jump,3,1
lupin should smile,lupin should smile,3,1
harry can party,harry can party,3,1
albus should jump,albus should jump,3,1
albus may party,albus may party,3,1
he can smile,he can smile,3,1
draco must run,draco must run,3,1
lily should swim,lily should swim,3,1
neville must smile,neville must smile,3,1
hermione must party,hermione must party,3,1
petunia should run,petunia should run,3,1
harry should laugh,harry should laugh,3,1
hermione can party,hermione can party,3,1
harry should party,harry should party,3,1
fred must run,fred must run,3,1
vernon must jump,vernon must jump,3,1
albus may walk,albus may walk,3,1
vernon may giggle,vernon may giggle,3,1
james must hiccup,james must hiccup,3,1
petunia may party,petunia may party,3,1
albus must smile,albus must smile,3,1
neville must laugh,neville must laugh,3,1
vernon can walk,vernon can walk,3,1
she can wiggle,she can wiggle,3,1
ginny must wiggle,ginny must wiggle,3,1
petunia can swim,petunia can swim,3,1
hermione must wiggle,hermione must wiggle,3,1
dobby must giggle,dobby must giggle,3,1
lupin must hiccup,lupin must hiccup,3,1
snape should hiccup,snape should hiccup,3,1
lupin may laugh,lupin may laugh,3,1
ginny should laugh,ginny should laugh,3,1
albus must jump,albus must jump,3,1
voldemort may wiggle,voldemort may wiggle,3,1
hagrid must walk,hagrid must walk,3,1
she should laugh,she should laugh,3,1
draco must run,draco must run,3,1
lupin must swim,lupin must swim,3,1
vernon should run,vernon should run,3,1
hermione must giggle,hermione must giggle,3,1
she may swim,she may swim,3,1
lily may swim,lily may swim,3,1
he may swim,he may swim,3,1
hagrid can wiggle,hagrid can wiggle,3,1
lily should jump,lily should jump,3,1
lupin should smile,lupin should smile,3,1
lupin can jump,lupin can jump,3,1
ron can swim,ron can swim,3,1
james must jump,james must jump,3,1
vernon should walk,vernon should walk,3,1
sirius may walk,sirius may walk,3,1
dobby should smile,dobby should smile,3,1
she must giggle,she must giggle,3,1
dobby should hiccup,dobby should hiccup,3,1
voldemort should run,voldemort should run,3,1
she must giggle,she must giggle,3,1
ginny must swim,ginny must swim,3,1
he can jump,he can jump,3,1
lupin may hiccup,lupin may hiccup,3,1
ginny may party,ginny may party,3,1
snape can giggle,snape can giggle,3,1
draco should swim,draco should swim,3,1
hermione must hiccup,hermione must hiccup,3,1
mcgonagall must smile,mcgonagall must smile,3,1
mcgonagall may giggle,mcgonagall may giggle,3,1
james must walk,james must walk,3,1
sirius must jump,sirius must jump,3,1
george can laugh,george can laugh,3,1
george should swim,george should swim,3,1
she must wiggle,she must wiggle,3,1
dobby can run,dobby can run,3,1
harry can run,harry can run,3,1
she must giggle,she must giggle,3,1
neville may wiggle,neville may wiggle,3,1
sirius must walk,sirius must walk,3,1
neville may laugh,neville may laugh,3,1
george must jump,george must jump,3,1
