target	prediction	equal structures	equal S, AdvP, and RelP clauses
the wizard should assemble a croissant	the wizard should assemble a strudel	1	1
a wizard should eat the doughnuts	a wizard should eat the pancakes	1	1
dobby may wiggle because ginny must wiggle	dobby may wiggle because he must wiggle	0	1
sirius must run since he can walk	sirius must walk since he can walk	1	1
ron must swim because neville may wiggle	ron must wiggle because neville may wiggle	1	1
james can giggle since sirius should party	james can party since lupin should party	1	1
since she should run lily should run	since she should run she should run	0	1
snape must laugh since he may jump	snape must jump since he may jump	1	1
hagrid may smile because she may wiggle	hagrid may wiggle because she may wiggle	1	1
hermione must wiggle because albus should laugh	hermione must laugh since petunia should laugh	1	1
harry can giggle because fred can party	harry can party because fred can party	1	1
snape may walk because neville must wiggle	snape may wiggle because neville must wiggle	1	1
she must party since lupin may laugh	she must laugh since vernon may laugh	1	1
dobby can swim since petunia should run	dobby can assemble many doughnuts	0	0
hermione may walk since ron must giggle	hermione may giggle since james must giggle	1	1
he must smile since george can run	he must run since she can run	0	1
he may wiggle since lupin should hiccup	he may hiccup since lupin should hiccup	1	1
voldemort must swim since the professor must swim	voldemort must swim since petunia must swim	0	1
petunia must giggle because a wizard must wiggle	petunia must wiggle because a wizard must wiggle	1	1
a student must giggle because sirius should smile	a student must smile because sirius should smile	1	1
vernon should swim since a professor should party	vernon should assemble a croissant since lupin should assemble a chocolate	0	0
since he must party the professor must wiggle	since he must wiggle the professor must wiggle	1	1
snape may smile since the wizard should jump	snape may prepare the cakes	0	0
a student must swim because george must laugh	a student must laugh because he must laugh	0	1
albus must laugh since the student should giggle	albus must assemble the pancakes	0	0
the witch should wiggle since ron may jump	the witch should jump since voldemort may jump	1	1
the professor may swim because james may giggle	the professor may giggle because james may giggle	1	1
hermione should create the chocolates that she may gobble	hermione should create the chocolates that hagrid should create	0	1
snape may arrange the strudels which george can create	snape may arrange the strudels which neville may arrange	1	1
draco should laugh since neville can hide a cake	draco should hide a cake since a professor may hide a cake	0	0
fred may gobble the cookie that he can gobble	fred may gobble the cookie that a student should gobble	0	1
he should arrange the doughnuts which ron may create	he should arrange the doughnuts which snape should arrange	1	1
james can sprinkle the croissant that lupin should make	james can sprinkle the croissant that the professor can sprinkle	0	1
george must sprinkle the cake which petunia may chew	george must sprinkle the cake which he must sprinkle	0	1
because dobby must giggle ginny should assemble many eclaires	because dobby must giggle ginny should giggle	0	0
sirius may chew the eclaires which lily may sprinkle	sirius may chew the eclaires which the student may chew	0	1
voldemort must create many croissants since he should party	voldemort must party since he should party	0	0
vernon must prepare the croissant that ginny can create	vernon must prepare the croissant that the professor must prepare	0	1
petunia must assemble the croissants because ron should jump	petunia must jump because ron should jump	0	0
ron should hide the strudel because neville must jump	ron should jump because he must jump	0	0
albus must make a strudel which lily should create	albus must make a strudel which a wizard should make	0	1
neville can make a strudel that snape may make	neville can make a strudel that a wizard should make	0	1
the student should wiggle since a professor can walk	the student should sprinkle a strudel since vernon must sprinkle a pancake	0	0
since lily should arrange the pancake voldemort can party	since lily should party voldemort can party	0	0
she must eat a cake which petunia should chew	she must eat a cake which a professor must eat	0	1
sirius should gobble the eclaires that vernon should assemble	sirius should gobble the eclaires that she should gobble	0	1
dobby can assemble the strudels which harry may sprinkle	dobby can assemble the strudels which neville must assemble	1	1
vernon must chew the cake that george should create	vernon must chew the cake that a professor must chew	0	1
vernon must hide many baklava that james must hide	vernon must hide many baklava that neville should hide	1	1
lupin can chew the eclaires that james should hide	lupin can chew the eclaires that a student can chew	0	1
hermione must gobble the doughnut that ginny must sprinkle	hermione must gobble the doughnut that she must gobble	0	1
lily may eat the souffles that james should assemble	lily may eat the souffles that a professor should eat	0	1
sirius must make the doughnut which james may eat	sirius must eat the doughnut which she can make	0	1
lupin should arrange the doughnuts that mcgonagall should arrange	lupin should arrange the doughnuts that ron should arrange	1	1
petunia must eat the cookies that voldemort must sprinkle	petunia must eat the cookies that a professor should eat	0	1
ginny may chew the eclaires that lily may gobble	ginny may chew the eclaires that a student may chew	0	1
vernon should gobble the cookie that ginny should make	vernon should gobble the cookie that she should gobble	0	1
voldemort should gobble the baklava which petunia may arrange	voldemort should gobble the baklava which voldemort should gobble	1	1
petunia must sprinkle many baklava that he can arrange	petunia must sprinkle many baklava that hagrid should sprinkle	0	1
he must gobble a cake that hermione can gobble	he must gobble a cake that a professor must gobble	0	1
george may hide the pancakes since vernon must wiggle	george may wiggle since vernon must wiggle since vernon must wiggle	0	0
ginny should prepare the pancakes that fred can eat	ginny should eat the pancakes that fred can eat	1	1
ginny should create the eclaires that she must chew	ginny should create the eclaires that she should create	1	1
ginny must hide a cookie since petunia can jump	ginny must hide a cookie	0	0
mcgonagall should gobble the cookies that ginny must make	mcgonagall should gobble the cookies that ron should gobble	1	1
hagrid may gobble the cakes because ron should party	hagrid may party because lupin should party	0	0
ron may arrange the cookie which vernon must hide	ron may arrange the cookie which a student should arrange	0	1
ginny may create the doughnuts that voldemort should create	ginny may create the doughnuts that ginny may create	1	1
she must assemble the pancake that george can hide	she must assemble the pancake that a student must assemble	0	1
dobby may make the doughnuts which she may sprinkle	dobby may sprinkle the doughnuts which hagrid may sprinkle	0	1
hagrid may eat a chocolate that lily must sprinkle	hagrid may eat a chocolate that a professor must eat	0	1
snape must arrange the strudels that vernon can eat	snape must arrange the strudels that neville must arrange	1	1
lupin may assemble a baklava since he should giggle	lupin may assemble a baklava	0	0
lily can make many doughnuts which lupin may chew	lily can make many doughnuts which hagrid should make	1	1
vernon must hiccup since dobby may sprinkle the eclaires	vernon must sprinkle the eclaires since dobby must sprinkle the eclaires	0	0
fred must hide the strudels that snape can eat	fred must hide the strudels that james must hide	1	1
hermione must hide a croissant that lily must chew	hermione must hide a croissant that a professor must hide	0	1
neville must gobble the souffles that vernon may hide	neville must gobble the souffles that she must gobble	0	1
snape should create the souffles that snape may prepare	snape should create the souffles that she should create	0	1
fred may prepare many souffles that albus can gobble	fred may prepare many souffles that a student should prepare	0	1
george may arrange a souffle that dobby must eat	george may arrange a souffle that a student should arrange	0	1
ron must assemble many chocolates that mcgonagall should prepare	ron must assemble many chocolates that a professor should assemble	0	1
fred must eat the cake that harry should assemble	fred must eat the cake that a professor should eat	0	1
ginny may sprinkle the souffle that lupin can arrange	ginny may sprinkle the souffle that a student should sprinkle	0	1
he must walk since hermione must assemble a cake	he must assemble a cake since a professor may assemble a cake	0	0
mcgonagall may assemble the doughnut that ginny must chew	mcgonagall may assemble the doughnut that she may assemble	0	1
vernon can create a chocolate which vernon can arrange	vernon can create a chocolate which a professor must create	0	1
ginny must eat many doughnuts which snape can create	ginny must eat many doughnuts which harry should eat	1	1
snape should make the doughnuts that snape must assemble	snape should make the doughnuts that snape should make	1	1
he can chew the souffle that he may arrange	he can chew the souffle that a student can chew	0	1
