Dictionary Name,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),182,114,806,406,799,424,715,523,1559,1063,462,143,768,743,547,340,233,173
Total Correct Transformations (#),80,60,415,192,400,202,361,257,761,524,236,78,377,370,285,18,0,0
Total Pos->Pos Transformations (#),80,60,415,192,400,202,361,257,761,524,236,79,379,372,285,166,106,92
Correct Pos->Pos Transformations (#),80,60,415,192,400,202,361,257,761,524,236,78,377,370,285,18,0,0
Total Pos->Neg Transformations (#),102,54,391,214,399,222,354,266,798,539,226,64,389,371,262,174,127,81
Correct Pos->Neg Transformations (#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct Pos->Pos Transformations (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.73%,99.47%,99.46%,100.0%,10.84%,0.0%,0.0%
Correct Pos->Neg Transformations (%),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Total Correct Transformations (%),43.96%,52.63%,51.49%,47.29%,50.06%,47.64%,50.49%,49.14%,48.81%,49.29%,51.08%,54.55%,49.09%,49.8%,52.1%,5.29%,0.0%,0.0%
Total source tokens,714,432,3519,2140,4389,2664,4602,3724,11970,8624,3842,1152,7391,7420,5502,3828,2921,1944
Total Prediction Tokens per Source,816,486,3910,2342,4788,2886,4956,3986,12767,9152,4064,1209,7779,7765,5751,4000,2949,1948
Total Target Tokens per Source,816,486,3910,2354,4788,2886,4956,3990,12768,9163,4068,1216,7780,7791,5764,4002,3048,2025
Pos->Pos Token Precision (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.86%,100.0%,100.0%,100.0%,95.65%,95.36%,92.12%
Pos->Neg Token Precision (%),50.0%,53.7%,50.41%,52.82%,50.36%,54.33%,50.85%,52.63%,50.09%,52.39%,52.93%,53.52%,50.66%,52.32%,52.53%,47.0%,47.41%,41.99%
Pos->Pos Token Recall (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.86%,99.94%,99.89%,100.0%,95.84%,91.84%,88.36%
Pos->Neg Token Recall (%),50.0%,53.7%,50.41%,52.55%,50.36%,54.33%,50.85%,52.58%,50.09%,52.33%,52.88%,53.21%,50.66%,52.15%,52.41%,46.98%,45.87%,40.4%
Pos->Pos Category Precision (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.86%,100.0%,100.0%,100.0%,99.13%,99.28%,96.93%
Pos->Neg Category Precision (%),50.0%,53.7%,50.41%,52.95%,50.38%,54.57%,50.89%,52.81%,50.11%,52.53%,53.2%,53.68%,50.67%,52.41%,52.65%,50.18%,51.2%,47.07%
Pos->Pos Category Recall (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.86%,99.94%,99.89%,100.0%,99.32%,95.61%,92.98%
Pos->Neg Category Recall (%),50.0%,53.7%,50.41%,52.68%,50.38%,54.57%,50.89%,52.76%,50.11%,52.47%,53.15%,53.37%,50.67%,52.24%,52.53%,50.15%,49.54%,45.28%
Parseable Sentences (#),182,90,800,306,777,322,692,423,1516,886,369,112,754,659,484,268,186,103
Pos->Pos Parseable Sentences (#),80,60,415,192,400,202,361,257,761,524,236,78,379,372,285,160,98,61
Pos->Neg Parseable Sentences (#),102,30,385,114,377,120,331,166,755,362,133,34,375,287,199,108,88,42
Parseable Sentences (%),100.0%,78.95%,99.26%,75.37%,97.25%,75.94%,96.78%,80.88%,97.24%,83.35%,79.87%,78.32%,98.18%,88.69%,88.48%,78.82%,79.83%,59.54%
Pos->Pos Parseable Sentences (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.73%,100.0%,100.0%,100.0%,96.39%,92.45%,66.3%
Pos->Neg Parseable Sentences (%),100.0%,55.56%,98.47%,53.27%,94.49%,54.05%,93.5%,62.41%,94.61%,67.16%,58.85%,53.12%,96.4%,77.36%,75.95%,62.07%,69.29%,51.85%
Pos->Pos Preseve Tree Structures (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.73%,99.47%,99.46%,100.0%,95.78%,50.94%,33.7%
Pos->Pos Preserve Significant Clauses (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.73%,99.47%,99.46%,100.0%,95.78%,50.94%,43.48%
Pos->Neg Preseve Tree Structures (%),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Preserve Significant Clauses (%),100.0%,55.56%,98.47%,53.27%,94.49%,54.05%,93.5%,62.41%,94.61%,67.16%,58.85%,53.12%,96.14%,76.82%,75.57%,62.07%,48.82%,35.8%
Pos->Neg Predictions with Main Clause (#),102,30,385,114,377,120,331,166,755,362,133,34,374,286,198,108,82,34
Pos->Neg Predictions that Negate Main Clause (#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pos->Neg Predictions that Negate Outside Main Clause (#),102,30,385,114,377,120,331,166,755,362,133,34,374,286,198,108,82,34
Pos->Neg Predictions that Negate Outside Main Clause (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Pos->Neg Predictions without Main Clause (#),0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,8
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Predictions with Main Clause (%),100.0%,55.56%,98.47%,53.27%,94.49%,54.05%,93.5%,62.41%,94.61%,67.16%,58.85%,53.12%,96.14%,77.09%,75.57%,62.07%,64.57%,41.98%
Pos->Neg Predictions Containing the Target Verb (#),102,54,391,212,399,222,354,265,798,539,226,64,388,369,260,172,116,70
Pos->Neg Predictions Containing the Target Verb (%),100.0%,100.0%,100.0%,99.07%,100.0%,100.0%,100.0%,99.62%,100.0%,100.0%,100.0%,100.0%,99.74%,99.46%,99.24%,98.85%,91.34%,86.42%
Pos->Neg Prediction Negating the Target Verb (#),8,4,0,0,44,21,1,0,56,39,20,3,34,22,24,12,3,4
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),7.84%,7.41%,0.0%,0.0%,11.03%,9.46%,0.28%,0.0%,7.02%,7.24%,8.85%,4.69%,8.74%,5.93%,9.16%,6.9%,2.36%,4.94%
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),7.84%,7.41%,0.0%,0.0%,11.03%,9.46%,0.28%,0.0%,7.02%,7.24%,8.85%,4.69%,8.76%,5.96%,9.23%,6.98%,2.59%,5.71%
