target	prediction	equal structures	equal S, AdvP, and RelP clauses
because ron can chew the strudel vernon may hiccup	because ron can chew the strudel vernon may not hiccup	0	0
since james must run since hermione can make the eclaires draco may wiggle	since petunia must run since hermione can make the eclaires draco may wiggle	1	1
because harry must gobble the pancakes voldemort must run because petunia should smile	because harry must gobble the pancakes petunia must run because voldemort should smile	1	1
he must chew the souffle that dobby must make because vernon may wiggle	he must chew the souffle that dobby must make because sirius may wiggle	1	1
lily should sprinkle the pancake that she can create because vernon may chew a souffle	lily should create the pancake that she can sprinkle because vernon may chew a souffle	1	1
since ron can hide the strudel which vernon should sprinkle neville can assemble many cookies	since ron can hide the strudel which vernon should sprinkle neville can not assemble many cookies	0	0
since he should arrange many pancakes which mcgonagall may chew voldemort should arrange the souffles	since he should arrange many pancakes which draco may chew mcgonagall should arrange the souffles	1	1
since hagrid should gobble many baklava since harry should wiggle harry may sprinkle the souffle	since hagrid should gobble many souffles since harry should chew harry may sprinkle the souffle	0	0
since hagrid must make the chocolates that neville must sprinkle ginny should chew a baklava	since hagrid must make the chocolates that ginny must sprinkle neville should chew a baklava	1	1
because george should sprinkle the pancake dobby should chew the croissants that george should eat	because george should sprinkle the pancake george should chew the croissants that dobby should eat	1	1
a student should gobble many doughnuts which he may gobble since the professor must walk	a student should gobble many doughnuts which he may hide since the professor must walk	1	1
since lily must chew a souffle since lupin should smile he can make a croissant	since lily must chew a croissant since lupin should arrange a cookie he can swim	0	0
since he can arrange the chocolate harry must jump because voldemort may arrange the croissant	since he can arrange the chocolate because must jump because harry may arrange the croissant	0	0
hermione may eat a croissant that snape can make because draco must sprinkle the pancakes	hermione may eat a croissant that draco can make because snape must sprinkle the pancakes	1	1
since ginny should sprinkle the baklava lily must party since she should arrange the cookie	since ginny should sprinkle the baklava lily must hiccup since she should arrange the strudel	1	1
james may hide the baklava that george must arrange because voldemort can sprinkle a pancake	james may hide the baklava that voldemort must arrange because george can sprinkle a pancake	1	1
because albus should arrange the croissant petunia must prepare a souffle that sirius must gobble	because albus should prepare the croissant petunia must arrange a souffle that sirius must hide	1	1
since petunia should gobble a eclaire that hermione may gobble draco must hide the doughnuts	since petunia should gobble a eclaire that draco may gobble hermione must hide the doughnuts	1	1
snape should sprinkle a strudel which the wizard can gobble because the student should giggle	snape should sprinkle a strudel which the student can gobble because a wizard should giggle	1	1
because hermione must eat the cakes that ginny can create mcgonagall must assemble the eclaire	because hermione must eat the cakes that mcgonagall can create ginny must assemble the eclaire	1	1
because neville must eat the strudels petunia should chew the strudels because lupin must walk	because neville must eat the strudels lupin should chew the strudels because petunia must walk	1	1
voldemort must make the pancake that the professor may eat because ron must hide the cake	voldemort must make the pancake that the professor may eat because ron must hide a cake	1	1
since a wizard can make a croissant she must gobble the cake since vernon can smile	since a wizard can make a cake she must gobble the croissant since vernon can smile	1	1
a wizard may gobble the souffle because neville must create the pancakes that vernon may prepare	a wizard may gobble a souffle because the must create the pancakes that neville may prepare	0	0
since she can create the doughnut that harry should sprinkle a witch must prepare a cookie	since she can sprinkle the doughnut that harry should sprinkle a witch must prepare a cookie	1	1
because a witch can create a croissant fred may prepare the baklava that ron must chew	because a witch can create a croissant fred may chew the baklava that ron must prepare	1	1
a professor must prepare many eclaires because hagrid should sprinkle a croissant that snape should sprinkle	a professor must prepare a eclaires because hagrid should sprinkle a croissant that snape should sprinkle	0	0
draco may chew the croissants because mcgonagall must chew many chocolates that the witch can gobble	draco may chew the croissants because mcgonagall must chew many chocolates that the witch can gobble because mcgonagall must chew many eclaires	0	0
because lily can create a eclaire that he must create the witch can hide many eclaires	because lily can create a eclaire that he must hide the witch can create many eclaires	1	1
a professor should make the souffle since draco must party because hermione must hide a pancake	a professor should make the souffle because hermione must party since draco must hide a pancake	1	1
hagrid must eat the souffles since harry should party because a wizard may prepare the chocolate	hagrid must eat the souffles because harry should party since a wizard may prepare the chocolate	1	1
since she must sprinkle a baklava hagrid must gobble the doughnut which the wizard must make	since she must sprinkle a souffle hagrid must gobble the doughnut because the wizard must make	0	0
since a professor should create a strudel that petunia must hide sirius should create the baklava	since a professor should create a strudel that sirius must hide petunia should create the baklava	1	1
because she can hide the cookies which voldemort must make draco may giggle since ginny can hiccup	because she can hide the cookies which draco must make voldemort may giggle since ginny can hiccup	1	1
because voldemort can assemble many cakes since the wizard should party the witch should gobble many cookies	because voldemort can assemble the cakes since a wizard should gobble the witch should assemble many doughnuts	0	0
voldemort can make the doughnut because petunia should sprinkle many eclaires since harry may chew the cookies	voldemort can make the doughnut because petunia should sprinkle many eclaires that harry may chew since hermione should giggle	0	0
since petunia should eat a chocolate she must arrange many strudels because lupin should eat the souffle	since petunia should eat a chocolate she must arrange many pancakes because lupin should eat the baklava	1	1
because james should party he may arrange the cakes that petunia can arrange because sirius must wiggle	because james should party he may arrange the cakes that petunia must arrange because sirius can wiggle	1	1
