Target Sentence,Predicted Sentence,Source Length,Target Length,Prediction Length,Correct Transformation,Parseable,Preserves Identical Tree Structure,"Preserves Significant Clauses (S, AdvP, RelP)"
because james should sprinkle the chocolates that petunia must eat sirius can gobble the strudel,because james should sprinkle the strudel that ginny should sprinkle,15,15,10,0,1,0,0
because he may assemble many souffles voldemort should assemble the eclaires that petunia should eat,because petunia must assemble many souffles that ginny must assemble,15,15,10,0,1,0,0
because vernon can create the pancakes that mcgonagall must assemble ginny must chew the chocolates,because vernon can create the pancakes that the professor must eat the chocolates that the professor must chew,15,15,18,0,0,N/A,N/A
since a professor must chew the cakes which the professor should create lupin can laugh,since a professor must laugh since she must laugh,15,15,9,0,1,0,0
since ginny may run because he may assemble the cookie which harry may assemble the wizard must create the strudels that petunia must sprinkle,since ginny may assemble the cookie that ginny must assemble the cookie that ginny must assemble,24,24,16,0,0,N/A,N/A
since the witch must arrange a cake the wizard must assemble a strudel since a wizard must assemble the pancakes that mcgonagall should gobble,since the witch must assemble the chocolates that a student must assemble a souffle that mcgonagall must assemble,24,24,18,0,0,N/A,N/A
because the student should create a pancake that a student should sprinkle since petunia must assemble many eclaires he may giggle,because the student should arrange many eclaires that the student should arrange many eclaires that the student should assemble many pancake that the student should assemble,21,21,26,0,0,N/A,N/A
because he can create many cookies snape should assemble the cookies because mcgonagall may arrange a cookie which ginny may hide,he must assemble the cookies which mcgonagall may assemble because the professor must assemble the cookies which a student may assemble the cookies,21,21,23,0,0,N/A,N/A
since albus may gobble the strudel which she may make because harry must assemble the souffles she may eat a baklava,since albus may gobble the strudel which dobby may gobble the strudel which may gobble the strudel which dobby may assemble,21,21,21,0,0,N/A,N/A
since draco should eat the strudel because fred may prepare a chocolate that sirius must eat lily must chew the cookies,since draco should eat the strudel that a professor may eat the strudel that a student should arrange,21,21,18,0,0,N/A,N/A
since the professor may eat the cookie petunia must arrange the souffle that vernon should make,since the professor may eat the cookie that the professor must eat the souffle that the professor must eat the souffle that the professor must eat the souffle,16,16,28,0,0,N/A,N/A
because lily should jump hermione may hide the doughnuts since the student may swim,because lily may hide the doughnuts since the wizard may hide the doughnuts since the student should hide the doughnuts since the student should hide,14,14,25,0,1,0,0
because the wizard may make the pancake that mcgonagall should gobble petunia should laugh,because the wizard may make a pancake that she may assemble a pancake that the student should laugh,14,14,18,0,0,N/A,N/A
since hermione must walk the witch should giggle,since hermione must giggle,8,8,4,0,1,0,0
because the witch should giggle harry can giggle,because the witch should giggle,8,8,5,0,1,0,0
since hermione must wiggle he must swim,since hermione must swim,7,7,4,0,1,0,0
since a student must hide the strudel that hagrid may eat lily may hiccup since harry should smile,since a witch must hide the strudel that a student may hide the strudel that hagrid may hide,18,18,18,0,0,N/A,N/A
because ron must prepare a baklava that he may make the witch must chew the eclaire that she must chew,because she should assemble the eclaire that ron should assemble the eclaire that ron should assemble,20,20,16,0,0,N/A,N/A
because ginny must create the eclaires which albus can eat fred must smile,because ginny must sprinkle a eclaires which a witch should smile,13,13,11,0,1,0,0
because voldemort can eat the baklava that sirius may sprinkle she may laugh,voldemort should eat the baklava that sirius may assemble,13,13,9,0,1,0,0
because he should chew the pancake that he can assemble mcgonagall may hiccup,because he should chew the pancake that she must chew the pancake that she must chew,13,13,16,0,0,N/A,N/A
since james may prepare a strudel which the wizard must make draco can gobble a eclaire which a professor may prepare,since james may gobble a eclaire which the wizard may create,21,21,11,0,1,0,0
because james can gobble a pancake since the wizard can create the croissant sirius must sprinkle the cakes,because the wizard must sprinkle the croissant,18,18,7,0,1,0,0
because james may wiggle ginny may assemble a pancake that dobby may arrange since the witch can laugh,because james may arrange a doughnut that the witch should laugh,18,18,11,0,1,0,0
because he must party since draco can hiccup a student should eat the baklava which voldemort can assemble,he must eat the chocolates which a professor should eat the chocolates which mcgonagall must assemble,18,18,16,0,0,N/A,N/A
because the witch may arrange the cookies that fred should eat sirius should arrange the doughnuts that harry can create,because the witch may arrange the cookies that the should assemble the cookies that the should assemble,20,20,17,0,0,N/A,N/A
since she must assemble the croissant that voldemort can eat a student may sprinkle the pancakes which draco should assemble,since she must assemble the croissant that sirius can sprinkle the croissant that he may sprinkle,20,20,16,0,0,N/A,N/A
because he can jump the witch can arrange the chocolates because sirius can assemble many strudels,because the can jump the witch may jump,16,16,8,0,0,N/A,N/A
since he may assemble the croissant that the student should eat james must create many strudels,since he may assemble the croissant that the professor may assemble the croissant that the professor may assemble,16,16,18,0,0,N/A,N/A
because sirius may walk ginny may make the chocolate that a witch can prepare,because sirius must make the chocolate that ginny should assemble a chocolate that ginny should assemble,14,14,16,0,0,N/A,N/A
since mcgonagall must jump the professor should chew a doughnut that snape should create,since mcgonagall must sprinkle the professor should chew the cookie that snape must eat,14,14,14,0,1,1,1
because hermione should wiggle a student may arrange the chocolate which draco must arrange,because a professor should assemble the chocolate which a wizard should arrange the chocolate which a student should arrange,14,14,19,0,0,N/A,N/A
since hermione must make the baklava which hagrid should assemble a witch must assemble the pancake that snape must create,since hermione must make the chocolates that snape must make the pancake that snape must make the pancake that snape must make,20,20,22,0,0,N/A,N/A
since the student should chew the cookies that george must chew fred may make the strudels which the student can create,since the student should chew the cookies that the student may chew the cookies that the student may chew,21,21,19,0,0,N/A,N/A
since the professor should smile the witch should chew the cookies which mcgonagall can hide since hagrid should prepare a croissant,since the student should sprinkle the cookies which the witch sprinkle the cookies which the witch sprinkle the cookies which the witch sprinkle the cookies which the witch sprinkle,21,21,29,0,0,N/A,N/A
since voldemort must smile because snape should make the croissants which the student may eat the student can chew the cake,since voldemort should arrange the croissants which the should swim,21,21,10,0,0,N/A,N/A
because ginny must hide the souffle that fred can arrange draco may gobble a pancake which neville must create,because ginny must hide the souffle that fred must hide the souffle that a student should hide,19,19,17,0,0,N/A,N/A
because fred should eat many baklava which hagrid can create george must gobble a pancake that dobby may arrange,because fred should eat many baklava which hagrid must eat many chocolates that a witch should eat,19,19,17,0,0,N/A,N/A
because voldemort should hiccup since a wizard should hide many cakes draco must run because the wizard should smile,voldemort should sprinkle many cakes,19,19,5,0,1,0,0
since he must prepare a baklava that voldemort must eat she must wiggle since albus must gobble the baklava,since he must gobble the baklava that the student must gobble the baklava that the baklava,19,19,16,0,0,N/A,N/A
because she should prepare the eclaires that she must assemble dobby should chew the baklava that ginny can arrange,because should prepare the eclaires that the should assemble the eclaires that the should assemble,19,19,15,0,0,N/A,N/A
because hagrid can assemble many doughnuts which draco must chew petunia should chew many cookies that george may make,because hagrid can assemble many doughnuts which a professor should assemble many cookies that a student should assemble,19,19,18,0,0,N/A,N/A
because she must hide the cookie that fred must assemble he may hide the pancake that lupin must assemble,because she must hide the cookie that lupin may assemble,19,19,10,0,1,0,0
because draco may chew the strudels petunia should laugh because a student can walk,because draco can eat a strudels may assemble because neville may assemble a strudels may assemble because neville can assemble because the student should arrange,14,14,25,0,0,N/A,N/A
