target,prediction,source length,target length,prediction length,correct,Preserves Tree Structure,Preserves Significant Clauses,Negates Main Verb,Negates Target Verb,Parseable
ron must not sprinkle the croissants,ron must not assemble the baklava,5,6,6,0,1,0,0,0,1
sirius may not make the cookies,sirius may not prepare the eclaires,5,6,6,0,1,0,0,0,1
dobby may not make the eclaires,dobby should not hide,5,6,4,0,0,0,0,0,1
he can not make the croissants,the can not can the,5,6,5,0,N/A,N/A,N/A,0,0
draco must not assemble the baklava,draco must not arrange the baklava,5,6,6,0,1,0,0,0,1
draco must not gobble many strudels,draco may not arrange the chocolates,5,6,6,0,1,0,0,0,1
draco must not prepare the doughnut,draco may not gobble the eclaires,5,6,6,0,0,0,0,0,1
she must not sprinkle the eclaires,she can not arrange the eclaires,5,6,6,0,1,0,0,0,1
dobby can not prepare the cookies,dobby may not prepare the cookies,5,6,6,0,1,0,0,1,1
neville must not assemble many croissants,neville must not assemble the baklava,5,6,6,0,1,0,0,1,1
lily should not make the eclaire,draco may not make the pancake,5,6,6,0,1,0,0,1,1
she must not arrange the pancake,she must not arrange the strudel,5,6,6,0,1,0,0,1,1
fred may not prepare a doughnut,fred may not prepare a chocolate,5,6,6,0,1,0,0,1,1
since lupin can make the pancake a wizard should not prepare the cake,a professor can not create the cookies,12,13,7,0,0,0,0,0,1
albus may not gobble the eclaires because a wizard should hide a croissant,albus must not assemble a baklava,12,13,6,0,0,0,0,0,1
the student can not sprinkle the doughnuts because george should eat the pancakes that ron should gobble,because the professor may not chew the cakes that he must not create the souffles,16,17,15,0,N/A,N/A,N/A,0,0
sirius must not gobble a eclaire that dobby can arrange since a professor can assemble the pancakes,sirius can not chew the baklava,16,17,6,0,0,0,0,0,1
voldemort can not gobble the chocolates since lupin may chew the chocolates that she must gobble,lupin must not create the chocolates that lupin must gobble,15,16,10,0,0,0,0,0,1
mcgonagall should not chew a chocolate since hermione can make the strudel that dobby may make,since should not prepare a croissant,15,16,6,0,N/A,N/A,N/A,0,0
since petunia should prepare the strudels she should not assemble the baklava that james must hide,she should not eat the souffles that she should not eat the strudels,15,16,13,0,N/A,N/A,N/A,0,0
a wizard can not wiggle,a student can not,4,5,4,0,N/A,N/A,N/A,0,0
he should not make a cookie which fred must create,he should not assemble a cake,9,10,6,0,0,0,0,0,1
he can not sprinkle a chocolate that vernon must prepare,a professor must not create a eclaire that vernon must assemble a chocolate that vernon must assemble,9,10,17,0,N/A,N/A,N/A,0,0
voldemort must not eat the cookie which petunia must make,voldemort must not chew the strudel,9,10,6,0,0,0,0,0,1
lupin must not eat a souffle,lupin can not chew a cookie,5,6,6,0,1,0,0,0,1
james may not assemble a cookie,james may not assemble a chocolate,5,6,6,0,1,0,0,1,1
he should not gobble the cakes,because he should not assemble the cakes,5,6,7,0,0,0,0,0,1
draco may not make a chocolate which harry may assemble,draco may not assemble the baklava,9,10,6,0,0,0,0,0,1
james may not arrange the chocolates which hermione can hide,james can not arrange the chocolates that hermione can not,9,10,10,0,N/A,N/A,N/A,1,0
he can not arrange the souffle which he must sprinkle,the professor can not gobble the souffle,9,10,7,0,0,0,0,0,1
she may not arrange many cakes which hermione should prepare,she may not arrange the strudel,9,10,6,0,0,0,0,1,1
neville may not sprinkle the cakes which fred should chew,neville must not assemble a cookie,9,10,6,0,0,0,0,0,1
vernon can not chew many chocolates that sirius may eat,vernon may not eat the chocolates,9,10,6,0,0,0,0,0,1
he can not gobble a eclaire which dobby should eat,he may not chew a pancake,9,10,6,0,0,0,0,0,1
vernon must not eat the cakes that hagrid must arrange,vernon must not chew a cake,9,10,6,0,0,0,0,0,1
she can not make the doughnuts which harry can arrange,harry can not create the souffles which can can eat,9,10,10,0,N/A,N/A,N/A,0,0
since snape must assemble the doughnuts that lupin should arrange ginny may not run,since petunia must not assemble the baklava that lupin must assemble,13,14,11,0,0,0,0,0,1
because hermione should walk harry can not prepare a cookie which dobby may create,because dobby may prepare the cakes that dobby may not chew the cakes that a student may prepare,13,14,18,0,N/A,N/A,N/A,0,0
george must not prepare the cake which ron should chew,george must not hide a cake,9,10,6,0,0,0,0,0,1
mcgonagall may not create the chocolates that george must make,since vernon must create the chocolates that vernon must create,9,10,10,0,0,0,0,0,1
james can not make the chocolates that dobby should create,since he can not create the chocolates that a student can not create the pancakes that a student can not create the pancakes that,9,10,24,0,N/A,N/A,N/A,0,0
because the professor can sprinkle a eclaire the wizard must not sprinkle the baklava,because he must not sprinkle the cakes which he must not sprinkle the cakes,13,14,14,0,N/A,N/A,N/A,1,0
the student should not create the chocolates which the student should create,the student should not hide the cookies,11,12,7,0,0,0,0,0,1
since petunia can assemble the souffle petunia can not make a souffle,since voldemort can not chew a chocolate,11,12,7,0,0,0,0,0,1
because hagrid may arrange the baklava sirius may not hide a cake,because a professor may not chew a cake that a professor may not chew a cookie,11,12,16,0,N/A,N/A,N/A,0,0
since vernon should make the souffles dobby should not hide a doughnut,since dobby must not chew a chocolate,11,12,7,0,0,0,0,0,1
ginny can not sprinkle the croissants,the can not prepare the eclaires,5,6,6,0,N/A,N/A,N/A,0,0
harry should not prepare the pancakes,harry should not prepare the,5,6,5,0,N/A,N/A,N/A,1,0
draco must not prepare a croissant,draco must not arrange a cake,5,6,6,0,1,0,0,0,1
since the professor should eat the souffles which vernon should sprinkle james should not laugh because snape must wiggle,because ginny should not assemble the cakes,18,19,7,0,0,0,0,0,1
the student should not arrange many cookies which hermione must hide because petunia can gobble many pancakes,the student should not hide the baklava,16,17,7,0,0,0,0,0,1
sirius must not prepare the croissant which she should arrange since the student should sprinkle many pancakes,sirius may not arrange the baklava,16,17,6,0,0,0,0,0,1
since the professor can eat the cakes that she can eat voldemort must not prepare a pancake,a student must not chew a cookie,16,17,7,0,0,0,0,0,1
lupin may not create the doughnut,lupin may not prepare the souffles,5,6,6,0,0,0,0,0,1
hagrid must not make a pancake,hagrid must not chew a pancake,5,6,6,0,1,0,0,0,1
