target	prediction	equal structures	equal S, AdvP, and RelP clauses	negates main clause	negates target verb
because snape must jump petunia should not giggle because ginny can run	because snape must jump a student should not giggle because harry can run	0	1	1	1
since ron must assemble a baklava the student must not prepare the pancake	since ron must assemble a baklava a student must not prepare the pancake	1	1	1	1
since fred must eat many doughnuts the witch must not prepare a chocolate	since fred must eat the doughnuts a witch must not prepare the chocolate	1	1	1	1
since voldemort may jump draco should not chew a cake that she should assemble	since voldemort may jump draco should not chew a cake that draco should assemble	0	1	1	1
because harry can create a souffle which snape should chew neville should not smile	because harry can sprinkle a souffle which snape should chew neville should not smile	1	1	1	1
hagrid should not walk since snape may prepare a pancake which she must make	hagrid should not walk since she may prepare a pancake which snape must make	0	1	1	1
since a wizard may assemble a souffle which george must hide dobby can not smile	since a wizard may assemble a souffle which dobby must hide george can not smile	1	1	1	1
since neville should jump a professor must not create the baklava that james must assemble	since neville should walk a professor must not gobble the baklava that james must assemble	1	1	1	0
he should not create the strudels that a student should eat since dobby can jump	he should not create the strudels that a student should eat since dobby can walk	1	1	1	1
since draco may assemble a cookie petunia may not make a chocolate which hermione must assemble	since draco may assemble a cookie petunia may not giggle because hermione must assemble a cake	0	0	1	0
vernon may not chew the pancakes since ginny may chew the doughnuts which neville can assemble	vernon may not chew the pancakes since ginny may chew many doughnuts which ginny can assemble	1	1	1	1
because she must gobble many strudels that he should create neville must not sprinkle the cake	because she must gobble many strudels that he should sprinkle neville must not create the cake	1	1	1	0
since ginny should gobble the cookie albus must not hide a doughnut that hagrid can hide	since ginny should gobble the cookie hagrid must not hide a doughnut that albus can hide	1	1	1	1
mcgonagall must not make the chocolate which mcgonagall may arrange because neville should create the baklava	mcgonagall must not make the chocolate which neville may arrange because mcgonagall should create the baklava	1	1	1	1
ron should not sprinkle a baklava that mcgonagall can make because neville should assemble the strudel	ron should not sprinkle a baklava that neville can make because mcgonagall should assemble the strudel	1	1	1	1
because albus should party a wizard must not prepare a baklava that the witch must arrange	because albus should party a wizard must not prepare a baklava that a witch must arrange	1	1	1	1
petunia can not chew the doughnut that mcgonagall must hide since hermione should gobble the souffles	petunia can not chew the doughnut that hermione must hide since mcgonagall should gobble the souffles	1	1	1	1
harry must not chew a eclaire that sirius should create because petunia should prepare the pancakes	harry must not chew a eclaire that sirius should create because sirius should prepare the pancakes	1	1	1	1
james should not sprinkle a cake since voldemort can laugh because james should chew the chocolates	james should not sprinkle a cake because voldemort can laugh since james should chew the chocolates	1	1	1	1
because james should sprinkle many cookies that ron can prepare fred can not sprinkle the croissant	because james should sprinkle many cookies that fred can prepare ron can not sprinkle the croissant	1	1	1	0
since the wizard should eat a pancake he must not arrange the doughnuts which neville can make	since the wizard should eat a strudel he must not arrange the cookies which neville can make	1	1	1	1
because a student may arrange the souffle which dobby must hide dobby must not create a souffle	because a student may arrange the souffle dobby must not hide a eclaire which dobby must create	0	0	1	0
since draco must prepare the croissant a wizard should not gobble the croissants which sirius should create	since draco must prepare the croissant a wizard should not gobble many croissants which sirius should create	1	1	1	1
because sirius should arrange many baklava a witch must not smile because dobby can create the souffles	because sirius should arrange a baklava because dobby must smile a witch can not create the souffles	0	0	1	0
since the professor must arrange the doughnut since james may assemble the baklava he may not party	since the professor must arrange the doughnut since he may assemble the baklava james may not party	0	1	1	1
james must not sprinkle many chocolates that the professor should assemble since hagrid should sprinkle many souffles	james must not sprinkle the chocolates that a professor should assemble since hagrid should sprinkle many souffles	1	1	1	1
voldemort can not hide the baklava since draco may party since a wizard may hide a souffle	voldemort can not hide the souffles since draco may hide a chocolate since a wizard may assemble a strudel	0	0	1	1
the student must not gobble the eclaires because snape may jump because hermione can assemble the souffle	the student must not gobble the doughnuts because snape may jump because hermione can assemble the souffle	1	1	1	1
since a wizard may assemble a souffle a witch must not wiggle since the witch may walk	since a wizard may assemble a souffle a witch must not wiggle since a witch may walk	1	1	1	1
since hagrid must sprinkle a croissant petunia can not assemble a strudel because the student can wiggle	since hagrid must sprinkle a croissant petunia can not party because a student can eat the strudel	0	0	1	0
hermione can not make a doughnut since the wizard may assemble many eclaires that he should prepare	hermione can not make a doughnut since he may assemble the eclaires that a wizard should prepare	0	1	1	1
because albus must sprinkle a eclaire he can not hide the baklava since george should prepare a cookie	because albus must sprinkle a eclaire he can not hide the baklava since a wizard should prepare a cookie	0	1	1	1
because draco must chew the strudels lily may not prepare a baklava because fred should create the souffle	because draco must chew the strudels lily may not prepare a souffle because fred should create the baklava	0	1	1	1
since albus can giggle because fred must chew the cookie that dobby must make ginny may not giggle	since albus can giggle because dobby must chew the cookie that fred must make dobby may not giggle	1	1	1	0
ron should not arrange many cookies which snape can make because ron must run since albus must laugh	ron should not arrange many cookies which snape can make because ron must run since albus must wiggle	1	1	1	1
because albus can make the croissants she can not prepare the souffle since lily can prepare the chocolates	because albus can make the croissants she can not prepare the croissant since lily can prepare the croissants	1	1	1	1
snape may not giggle because she may eat the cakes that petunia may gobble because snape can walk	snape may not giggle because she may eat the cakes that petunia may sprinkle because snape can walk	1	1	1	1
because neville must eat a baklava because the wizard should gobble the baklava a professor must not hiccup	because neville must eat a baklava the wizard should not gobble the baklava because a professor must hiccup	0	0	1	0
since neville should run mcgonagall should not sprinkle the eclaire that draco must assemble because ginny can jump	since neville should run mcgonagall should not sprinkle the eclaire that draco must assemble because ginny should jump	1	1	1	1
snape should not arrange a croissant since draco must arrange the souffles because ginny must create a doughnut	snape should not arrange a croissant since draco must arrange the chocolates because ginny must create a eclaire	1	1	1	1
since lily can hiccup james can not laugh since albus should assemble the strudels that harry may gobble	since lily can hiccup albus can not laugh since james should assemble the strudels that harry may hide	1	1	1	1
