Dictionary Name,Total Sentences per Length,Total Correct Sentences per Length,Total pos->pos sents per len,Correct pos->pos sents per len,Total pos->neg sents per len,Correct pos->neg sents per len,Correct Pos->Pos Transformations,correct Pos->Neg Transformations,Total correct per len,Total parseable sentences (pos->pos),Parseable sentences (pos->pos),Preserve tree structures (pos->pos),Preserve significant clauses (pos->pos),Total parseable sentences pos->neg,Parseable Sentences (pos->neg),Preserve tree structures (pos->neg),Preserve significant clauses (pos->neg),Negates main clause (pos->neg),Negates target (pos->neg),Total source tokens,total prediction tokens per source,total target tokens per source,Pos->pos token precision,Pos->neg token precision,Pos->pos token recall,Pos->neg token recall,Pos->Pos category precision,Pos->neg category precision,Pos->pos category recall,Pos->Neg category recall
3.00,"1,063.00","1,063.00",547.00,547.00,516.00,516.00,1.00,1.00,1.00,547.00,1.00,1.00,1.00,516.00,1.00,1.00,1.00,1.00,1.00,"1,548.00","2,064.00","2,064.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4.00,275.00,275.00,146.00,146.00,129.00,129.00,1.00,1.00,1.00,146.00,1.00,1.00,1.00,129.00,1.00,1.00,1.00,1.00,1.00,516.00,645.00,645.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5.00,"2,182.00","2,182.00","1,122.00","1,122.00","1,060.00","1,060.00",1.00,1.00,1.00,"1,122.00",1.00,1.00,1.00,"1,060.00",1.00,1.00,1.00,1.00,1.00,"5,300.00","6,360.00","6,360.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
6.00,552.00,552.00,283.00,283.00,269.00,269.00,1.00,1.00,1.00,283.00,1.00,1.00,1.00,269.00,1.00,1.00,1.00,1.00,1.00,"1,614.00","1,883.00","1,883.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
7.00,68.00,68.00,38.00,38.00,30.00,30.00,1.00,1.00,1.00,38.00,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,210.00,240.00,240.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.00,42.00,42.00,22.00,22.00,20.00,20.00,1.00,1.00,1.00,22.00,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,160.00,180.00,180.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.00,"2,012.00","2,012.00","1,050.00","1,050.00",962.00,962.00,1.00,1.00,1.00,"1,050.00",1.00,1.00,1.00,962.00,1.00,1.00,1.00,1.00,1.00,"8,658.00","9,620.00","9,620.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.00,955.00,955.00,475.00,475.00,480.00,480.00,1.00,1.00,1.00,475.00,1.00,1.00,1.00,480.00,1.00,1.00,1.00,1.00,1.00,"4,800.00","5,280.00","5,280.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.00,438.00,438.00,230.00,230.00,208.00,208.00,1.00,1.00,1.00,230.00,1.00,1.00,1.00,208.00,1.00,1.00,1.00,1.00,1.00,"2,288.00","2,496.00","2,496.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.00,132.00,132.00,57.00,57.00,75.00,75.00,1.00,1.00,1.00,57.00,1.00,1.00,1.00,75.00,1.00,1.00,1.00,1.00,1.00,900.00,975.00,975.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
