source	target	prediction
because harry may assemble a pancake because lupin can gobble many doughnuts petunia must hide a chocolate <eos>	because harry may assemble a pancake because lupin can gobble many doughnuts petunia must hide a chocolate <eos>	because harry may assemble a pancake because lupin can gobble many doughnuts petunia petunia must hide a chocolate <eos>
because harry may assemble a pancake because lupin can gobble many doughnuts petunia must hide a chocolate <eos>	because harry may assemble a pancake because lupin can gobble many doughnuts petunia must not hide a chocolate <eos>	because harry may assemble a pancake because lupin can gobble many doughnuts petunia petunia must hide a chocolate <eos>
since the professor should gobble a cake vernon should create a cake which a student should sprinkle <eos>	since the professor should gobble a cake vernon should not create a cake which a student should sprinkle <eos>	since the professor should gobble a cake vernon should not create a cake which a student should sprinkle <eos>
because the professor must gobble a croissant that the wizard may create albus must assemble a strudel <eos>	because the professor must gobble a croissant that the wizard may create albus must not assemble a strudel <eos>	because the professor must gobble a croissant that the wizard may create albus must not assemble a strudel <eos>
since lupin must hide the baklava ron can prepare the strudel because neville should gobble the chocolates <eos>	since lupin must hide the baklava ron can not prepare the strudel because neville should gobble the chocolates <eos>	since lupin must hide the baklava ron can not prepare the strudel because neville should gobble the chocolates <eos>
since a professor should hide the eclaire the wizard must prepare the eclaires which he should sprinkle <eos>	since a professor should hide the eclaire the wizard must not prepare the eclaires which he should sprinkle <eos>	since a professor should hide the eclaire the wizard must not prepare the eclaires which he should sprinkle <eos>
because sirius may hide the croissants ron may party <eos>	because sirius may hide the croissants ron may not party <eos>	because sirius may hide the croissants ron may not party <eos>
since she must eat the eclaire snape can smile <eos>	since she must eat the eclaire snape can not smile <eos>	since she must eat the eclaire snape can not smile <eos>
because hagrid may giggle petunia may create the croissants <eos>	because hagrid may giggle petunia may not create the croissants <eos>	because hagrid may giggle petunia may not create the croissants <eos>
since ginny should giggle lupin may assemble a chocolate <eos>	since ginny should giggle lupin may not assemble a chocolate <eos>	since ginny should giggle lupin may not assemble a chocolate <eos>
since vernon must create the cookies he should jump <eos>	since vernon must create the cookies he should not jump <eos>	since vernon must create the cookies he should not jump <eos>
because a witch can prepare the pancakes hagrid must create the chocolates <eos>	because a witch can prepare the pancakes hagrid must not create the chocolates <eos>	because a witch can prepare the pancakes hagrid must not create the chocolates <eos>
since a witch can assemble many croissants mcgonagall can prepare the cakes <eos>	since a witch can assemble many croissants mcgonagall can not prepare the cakes <eos>	since a witch can assemble many croissants mcgonagall can not prepare the cakes <eos>
since hermione must assemble a strudel the student should chew many cakes <eos>	since hermione must assemble a strudel the student should not chew many cakes <eos>	since hermione must assemble a strudel the student should not chew many cakes <eos>
because a professor must create the pancakes george may chew a pancake <eos>	because a professor must create the pancakes george may not chew a pancake <eos>	because a professor must create the pancakes george may not chew a pancake <eos>
since a witch must prepare the croissant petunia may hide the cake <eos>	since a witch must prepare the croissant petunia may not hide the cake <eos>	since a witch must prepare the croissant petunia may not hide the cake <eos>
because voldemort should laugh hagrid must sprinkle a strudel <eos>	because voldemort should laugh hagrid must not sprinkle a strudel <eos>	because voldemort should laugh hagrid must not sprinkle a strudel <eos>
because dobby must run hermione must prepare a eclaire <eos>	because dobby must run hermione must not prepare a eclaire <eos>	because dobby must run hermione must not prepare a eclaire <eos>
because hermione should giggle albus must make many chocolates <eos>	because hermione should giggle albus must not make many chocolates <eos>	because hermione should giggle albus must not make many chocolates <eos>
because dobby must prepare a pancake mcgonagall should swim <eos>	because dobby must prepare a pancake mcgonagall should not swim <eos>	because dobby must prepare a pancake mcgonagall should not swim <eos>
because vernon may hiccup james should sprinkle many eclaires <eos>	because vernon may hiccup james should not sprinkle many eclaires <eos>	because vernon may hiccup james should not sprinkle many eclaires <eos>
because hagrid should hiccup voldemort can wiggle <eos>	because hagrid should hiccup voldemort can not wiggle <eos>	because hagrid should hiccup voldemort can not wiggle <eos>
because dobby may hiccup albus can hiccup <eos>	because dobby may hiccup albus can not hiccup <eos>	because dobby may hiccup albus can not hiccup <eos>
since draco may laugh ginny should party <eos>	since draco may laugh ginny should not party <eos>	since draco may laugh ginny should not party <eos>
because lupin may giggle vernon should walk <eos>	because lupin may giggle vernon should not walk <eos>	because lupin may giggle vernon should not walk <eos>
because hagrid should run snape can jump <eos>	because hagrid should run snape can not jump <eos>	because hagrid should run snape can not jump <eos>
because george can arrange the pancakes vernon may chew a cake <eos>	because george can arrange the pancakes vernon may not chew a cake <eos>	because george can arrange the pancakes vernon may not chew a cake <eos>
because vernon must chew the pancakes lupin can prepare the cakes <eos>	because vernon must chew the pancakes lupin can not prepare the cakes <eos>	because vernon must chew the pancakes lupin can not prepare the cakes <eos>
since the witch can laugh a student should eat a souffle <eos>	since the witch can laugh a student should not eat a souffle <eos>	since the witch can laugh a student should not eat a souffle <eos>
because lily should make a pancake ron may arrange the cookies <eos>	because lily should make a pancake ron may not arrange the cookies <eos>	because lily should make a pancake ron may not arrange the cookies <eos>
since petunia may eat many eclaires vernon should prepare the chocolates <eos>	since petunia may eat many eclaires vernon should not prepare the chocolates <eos>	since petunia may eat many eclaires vernon should not prepare the chocolates <eos>
because george must sprinkle the cookies which neville may assemble petunia should run <eos>	because george must sprinkle the cookies which neville may assemble petunia should not run <eos>	because george must sprinkle the cookies which neville may assemble petunia should not run <eos>
because harry must giggle neville must eat the cookies which lupin should create <eos>	because harry must giggle neville must not eat the cookies which lupin should create <eos>	because harry must giggle neville must not eat the cookies which lupin should create <eos>
because lily must run hagrid must make the eclaires that hagrid must gobble <eos>	because lily must run hagrid must not make the eclaires that hagrid must gobble <eos>	because lily must run hagrid must not make the eclaires that hagrid must gobble <eos>
since the witch must hide the doughnuts voldemort can chew the cakes <eos>	since the witch must hide the doughnuts voldemort can not chew the cakes <eos>	since the witch must hide the doughnuts voldemort can not chew the cakes <eos>
since lupin should assemble a cookie the student must chew the strudel <eos>	since lupin should assemble a cookie the student must not chew the strudel <eos>	since lupin should assemble a cookie the student must not chew the strudel <eos>
because he must jump dobby must gobble the chocolate that dobby must chew <eos>	because he must jump dobby must not gobble the chocolate that dobby must chew <eos>	because he must jump dobby must not gobble the chocolate that dobby must chew <eos>
since lily should party lupin must create a chocolate that fred should sprinkle <eos>	since lily should party lupin must not create a chocolate that fred should sprinkle <eos>	since lily should party lupin must not create a chocolate that fred should sprinkle <eos>
because harry may sprinkle the eclaires because he should wiggle mcgonagall may run <eos>	because harry may sprinkle the eclaires because he should wiggle mcgonagall may not run <eos>	because harry may sprinkle the eclaires because he should wiggle mcgonagall may run <eos>
because lupin must wiggle she should make the pancakes which fred must chew <eos>	because lupin must wiggle she should not make the pancakes which fred must chew <eos>	because lupin must wiggle she should not make the pancakes which fred must chew <eos>
since sirius should hide the chocolates which hermione must arrange fred should wiggle <eos>	since sirius should hide the chocolates which hermione must arrange fred should not wiggle <eos>	since sirius should hide the chocolates which hermione must arrange fred should not wiggle <eos>
because voldemort may make a souffle which hagrid can make the professor must wiggle <eos>	because voldemort may make a souffle which hagrid can make the professor must not wiggle <eos>	because voldemort may make a souffle which hagrid can make the professor must not wiggle <eos>
since a professor must run he should hide the eclaires which he can create <eos>	since a professor must run he should not hide the eclaires which he can create <eos>	since a professor must run he should not hide the eclaires which he can create <eos>
since a student can sprinkle a souffle she may party since voldemort must swim <eos>	since a student can sprinkle a souffle she may not party since voldemort must swim <eos>	since a student can sprinkle a souffle she may not party since voldemort must swim <eos>
since sirius may make the strudels which a wizard should chew voldemort may laugh <eos>	since sirius may make the strudels which a wizard should chew voldemort may not laugh <eos>	since sirius may make the strudels which a wizard should chew voldemort may not laugh <eos>
