target,prediction,source length,target length,prediction length,correct,Preserves Tree Structure,Preserves Significant Clauses,Negates Main Verb,Negates Target Verb,Negates Target Verb in Main Clause,Negation Present Outside the Main Clause,Parseable
the student should not smile,the student should not smile,4,5,5,1,1,1,1,1,1,0,1
since george should jump he should not chew the souffles since lily may assemble the baklava,since george should jump he should not chew the souffles since lily may assemble the baklava,15,16,16,1,1,1,1,1,1,0,1
a professor should not giggle since a student must sprinkle the pancake that fred must create,a professor should not giggle since a student must sprinkle the pancake that fred must create,15,16,16,1,1,1,1,1,1,0,1
george can not hide the baklava because lupin must create the pancakes which draco may prepare,george can not hide the baklava because lupin must create the pancakes which draco may prepare,15,16,16,1,1,1,1,1,1,0,1
harry should not laugh because a student should prepare many baklava that the professor should prepare,harry should not laugh because a student should prepare many baklava that the professor should prepare,15,16,16,1,1,1,1,1,1,0,1
lupin may not chew a eclaire which neville should gobble,lupin may not chew a eclaire which neville should gobble,9,10,10,1,1,1,1,1,1,0,1
petunia should not gobble the croissant that mcgonagall can eat,petunia should not gobble the croissant that mcgonagall can eat,9,10,10,1,1,1,1,1,1,0,1
she may not arrange many cakes which hermione should prepare,she may not arrange many cakes which hermione should prepare,9,10,10,1,1,1,1,1,1,0,1
harry must not chew the chocolates that snape can hide,harry must not chew the chocolates that snape can hide,9,10,10,1,1,1,1,1,1,0,1
fred must not eat the baklava that voldemort should sprinkle,fred must not eat the baklava that voldemort should sprinkle,9,10,10,1,1,1,1,1,1,0,1
harry can not arrange many doughnuts which lupin must prepare,harry can not arrange many doughnuts which lupin must prepare,9,10,10,1,1,1,1,1,1,0,1
since hagrid should smile the student may not smile,since hagrid should smile the student may not smile,8,9,9,1,1,1,1,1,1,0,1
hermione may not swim,hermione may not swim,3,4,4,1,1,1,1,1,1,0,1
ginny can not jump,ginny can not jump,3,4,4,1,1,1,1,1,1,0,1
snape may not jump,snape may not jump,3,4,4,1,1,1,1,1,1,0,1
hermione may not wiggle,hermione may not wiggle,3,4,4,1,1,1,1,1,1,0,1
he can not wiggle,he can not wiggle,3,4,4,1,1,1,1,1,1,0,1
since sirius must walk ron may not chew the doughnuts that a wizard may assemble,since sirius must walk ron may not chew the doughnuts that a wizard may assemble,14,15,15,1,1,1,1,1,1,0,1
james must not arrange the strudels,james must not arrange the strudels,5,6,6,1,1,1,1,1,1,0,1
mcgonagall must not gobble many souffles,mcgonagall must not gobble many souffles,5,6,6,1,1,1,1,1,1,0,1
vernon must not chew the chocolates,vernon must not chew the chocolates,5,6,6,1,1,1,1,1,1,0,1
george can not gobble the souffle,george can not gobble the souffle,5,6,6,1,1,1,1,1,1,0,1
mcgonagall may not arrange a eclaire,mcgonagall may not arrange a eclaire,5,6,6,1,1,1,1,1,1,0,1
vernon must not eat the croissants,vernon must not eat the croissants,5,6,6,1,1,1,1,1,1,0,1
james should not eat the eclaire,james should not eat the eclaire,5,6,6,1,1,1,1,1,1,0,1
lily should not make the strudel,lily should not make the strudel,5,6,6,1,1,1,1,1,1,0,1
he can not gobble the cookie,he can not gobble the cookie,5,6,6,1,1,1,1,1,1,0,1
mcgonagall must not assemble the souffles,mcgonagall must not assemble the souffles,5,6,6,1,1,1,1,1,1,0,1
since hermione should sprinkle a cookie that george can eat james should not eat the chocolates that voldemort must assemble,since hermione should sprinkle a cookie that george can eat james should not eat the chocolates that voldemort must assemble,19,20,20,1,1,1,1,1,1,0,1
because lily must eat the cake that mcgonagall should gobble voldemort may not gobble the doughnut since lily may laugh,because lily must eat the cake that mcgonagall should gobble voldemort may not gobble the doughnut since lily may laugh,19,20,20,1,1,1,1,1,1,0,1
ron should not chew many baklava,ron should not chew many baklava,5,6,6,1,1,1,1,1,1,0,1
hagrid can not eat the baklava,hagrid can not eat the baklava,5,6,6,1,1,1,1,1,1,0,1
because ron must eat many pancakes that hagrid should create petunia must not assemble a chocolate,because ron must eat many pancakes that hagrid should create petunia must not assemble a chocolate,15,16,16,1,1,1,1,1,1,0,1
because ron should eat a cake lupin should not assemble the baklava that fred must hide,because ron should eat a cake lupin should not assemble the baklava that fred must hide,15,16,16,1,1,1,1,1,1,0,1
a wizard should not smile because the student must create a pancake that mcgonagall must make,a wizard should not smile because the student must create a pancake that mcgonagall must make,15,16,16,1,1,1,1,1,1,0,1
ron must not jump because sirius must eat many cookies,ron must not jump because sirius must eat many cookies,9,10,10,1,1,1,1,1,1,0,1
lily must not assemble the strudel that james may eat,lily must not assemble the strudel that james may eat,9,10,10,1,1,1,1,1,1,0,1
she should not prepare a croissant which james must eat,she should not prepare a croissant which james must eat,9,10,10,1,1,1,1,1,1,0,1
lupin must not gobble the doughnuts that dobby may create,lupin must not gobble the doughnuts that dobby may create,9,10,10,1,1,1,1,1,1,0,1
a professor may not make the croissants which ginny must gobble,a professor may not make the croissants which ginny must gobble,10,11,11,1,1,1,1,1,1,0,1
sirius must not prepare many cookies which albus must assemble,sirius must not prepare many cookies which albus must assemble,9,10,10,1,1,1,1,1,1,0,1
george may not create the eclaires which draco may chew,george may not create the eclaires which draco may chew,9,10,10,1,1,1,1,1,1,0,1
vernon should not arrange a strudel which he must make,vernon should not arrange a strudel which he must make,9,10,10,1,1,1,1,1,1,0,1
since dobby must prepare a souffle fred must not arrange the chocolates,since dobby must prepare a souffle fred must not arrange the chocolates,11,12,12,1,1,1,1,1,1,0,1
she must not eat the strudel because draco may chew a strudel,she must not eat the strudel because draco may chew a strudel,11,12,12,1,1,1,1,1,1,0,1
since ginny must chew the pancake lily should not create the cookie,since ginny must chew the pancake lily should not create the cookie,11,12,12,1,1,1,1,1,1,0,1
george should not gobble the chocolate because ron should arrange a doughnut,george should not gobble the chocolate because ron should arrange a doughnut,11,12,12,1,1,1,1,1,1,0,1
a wizard must not make the souffles since the wizard should prepare the pancakes that petunia may chew,a wizard must not make the souffles since the wizard should prepare the pancakes that petunia may chew,17,18,18,1,1,1,1,1,1,0,1
since mcgonagall must sprinkle the cakes since hagrid can sprinkle the baklava petunia should not hide the souffle,since mcgonagall must sprinkle the cakes since hagrid can sprinkle the baklava petunia should not hide the souffle,17,18,18,1,1,1,1,1,1,0,1
since vernon should create the chocolates the student must not hide a cookie that lupin should chew,since vernon should create the chocolates the student must not hide a cookie that lupin should chew,16,17,17,1,1,1,1,1,1,0,1
since the wizard should eat a pancake he must not arrange the doughnuts which neville can make,since the wizard should eat a pancake he must not arrange the doughnuts which neville can make,16,17,17,1,1,1,1,1,1,0,1
draco must not assemble the doughnuts,draco must not assemble the doughnuts,5,6,6,1,1,1,1,1,1,0,1
dobby should not eat the croissant,dobby should not eat the croissant,5,6,6,1,1,1,1,1,1,0,1
draco must not create the baklava,draco must not create the baklava,5,6,6,1,1,1,1,1,1,0,1
mcgonagall may not hide a souffle,mcgonagall may not hide a souffle,5,6,6,1,1,1,1,1,1,0,1
the student should not hiccup,the student should not hiccup,4,5,5,1,1,1,1,1,1,0,1
because ginny can hide the cookie since albus can laugh dobby can not create the chocolates that ginny should eat,because ginny can hide the cookie since albus can laugh dobby can not create the chocolates that ginny should eat,19,20,20,1,1,1,1,1,1,0,1
since draco may make the cake that ginny should prepare george can not gobble the croissants that dobby must sprinkle,since draco may make the cake that ginny should prepare george can not gobble the croissants that dobby must sprinkle,19,20,20,1,1,1,1,1,1,0,1
because a student should assemble a baklava he must not create the cookies since the witch must make the pancake,because a student should assemble a baklava he must not create the cookies since the witch must make the pancake,19,20,20,1,1,1,1,1,1,0,1
since the witch should create the cake because ginny should chew many baklava harry can not prepare the souffles,since the witch should create the cake because ginny should chew many baklava harry can not prepare the souffles,18,19,19,1,1,1,1,1,1,0,1
he can not prepare a cookie that lily should prepare,he can not prepare a cookie that lily should prepare,9,10,10,1,1,1,1,1,1,0,1
she must not chew a cake that neville can prepare,she must not chew a cake that neville can prepare,9,10,10,1,1,1,1,1,1,0,1
dobby must not prepare the baklava that he should make,dobby must not prepare the baklava that he should make,9,10,10,1,1,1,1,1,1,0,1
lily can not hide the doughnuts that he can create,lily can not hide the doughnuts that he can create,9,10,10,1,1,1,1,1,1,0,1
hagrid should not prepare the cakes that fred may gobble,hagrid should not prepare the cakes that fred may gobble,9,10,10,1,1,1,1,1,1,0,1
voldemort can not prepare the cake,voldemort can not prepare the cake,5,6,6,1,1,1,1,1,1,0,1
hagrid can not assemble the souffles,hagrid can not assemble the souffles,5,6,6,1,1,1,1,1,1,0,1
hagrid must not prepare the baklava,hagrid must not prepare the baklava,5,6,6,1,1,1,1,1,1,0,1
snape can not make the strudels,snape can not make the strudels,5,6,6,1,1,1,1,1,1,0,1
hermione must not assemble the croissant,hermione must not assemble the croissant,5,6,6,1,1,1,1,1,1,0,1
he should not chew the pancakes,he should not chew the pancakes,5,6,6,1,1,1,1,1,1,0,1
george must not chew many chocolates,george must not chew many chocolates,5,6,6,1,1,1,1,1,1,0,1
a professor can not chew the croissants,a professor can not chew the croissants,6,7,7,1,1,1,1,1,1,0,1
the professor can not make a strudel,the professor can not make a strudel,6,7,7,1,1,1,1,1,1,0,1
a student should not make many souffles,a student should not make many souffles,6,7,7,1,1,1,1,1,1,0,1
he should not arrange the souffles,he should not arrange the souffles,5,6,6,1,1,1,1,1,1,0,1
lupin should not sprinkle the pancakes,lupin should not sprinkle the pancakes,5,6,6,1,1,1,1,1,1,0,1
because james can create a eclaire that albus must gobble a professor must not assemble the cookie,because james can create a eclaire that albus must gobble a professor must not assemble the cookie,16,17,17,1,1,1,1,1,1,0,1
because the witch must arrange the cakes that harry may hide harry can not create the pancake,because the witch must arrange the cakes that harry may hide harry can not create the pancake,16,17,17,1,1,1,1,1,1,0,1
because a professor should gobble many pancakes neville should not create the cookies that ron may sprinkle,because a professor should gobble many pancakes neville should not create the cookies that ron may sprinkle,16,17,17,1,1,1,1,1,1,0,1
since the professor must arrange the doughnut since james may assemble the baklava he may not party,since the professor must arrange the doughnut since james may assemble the baklava he may not party,16,17,17,1,1,1,1,1,1,0,1
