source	target	prediction
hermione should sprinkle a pancake that the wizard should arrange <eos>	hermione should sprinkle a pancake that the wizard should arrange <eos>	hermione should sprinkle a pancake that the wizard should arrange <eos>
a witch must sprinkle the souffles since voldemort should hiccup <eos>	a witch must sprinkle the souffles since voldemort should hiccup <eos>	a witch must sprinkle the souffles since voldemort should hiccup <eos>
a student can assemble the cookies that dobby can sprinkle <eos>	a student can assemble the cookies that dobby can sprinkle <eos>	a student can assemble the cookies that dobby can sprinkle <eos>
the witch can prepare a souffle that ron must hide <eos>	the witch can prepare a souffle that ron must hide <eos>	the witch can prepare a souffle that ron must hide <eos>
neville must gobble the cookies that a professor may prepare <eos>	neville must gobble the cookies that a professor may prepare <eos>	neville must gobble the cookies that a professor may prepare <eos>
she must make a strudel <eos>	she must make a strudel <eos>	she must make a strudel <eos>
she should prepare a doughnut <eos>	she should prepare a doughnut <eos>	she should prepare a doughnut <eos>
the student should smile <eos>	the student should not smile <eos>	the student should not smile <eos>
hermione can assemble a chocolate <eos>	hermione can assemble a chocolate <eos>	hermione can assemble a chocolate <eos>
hermione should hide the croissants <eos>	hermione should hide the croissants <eos>	hermione should hide the croissants <eos>
since hermione can sprinkle a cookie hagrid must assemble a chocolate that a professor should eat <eos>	since hermione can sprinkle a cookie hagrid must assemble a chocolate that a professor should eat <eos>	since hermione can sprinkle a cookie hagrid must assemble a chocolate that a professor should eat <eos>
since george should jump he should chew the souffles since lily may assemble the baklava <eos>	since george should jump he should not chew the souffles since lily may assemble the baklava <eos>	since george should jump he should not chew the souffles since lily may assemble the baklava <eos>
a professor should giggle since a student must sprinkle the pancake that fred must create <eos>	a professor should not giggle since a student must sprinkle the pancake that fred must create <eos>	a professor should not giggle since a student must sprinkle the pancake that fred must create <eos>
george can hide the baklava because lupin must create the pancakes which draco may prepare <eos>	george can not hide the baklava because lupin must create the pancakes which draco may prepare <eos>	george can not hide the baklava because lupin must create the pancakes which draco may prepare <eos>
harry should laugh because a student should prepare many baklava that the professor should prepare <eos>	harry should not laugh because a student should prepare many baklava that the professor should prepare <eos>	harry should not laugh because a student should prepare many baklava that the professor should prepare <eos>
lupin may chew a eclaire which neville should gobble <eos>	lupin may not chew a eclaire which neville should gobble <eos>	lupin may not chew a eclaire which neville should gobble <eos>
lupin must gobble the chocolates that the student should prepare <eos>	lupin must gobble the chocolates that the student should prepare <eos>	lupin must gobble the chocolates that the student should prepare <eos>
petunia should gobble the croissant that mcgonagall can eat <eos>	petunia should not gobble the croissant that mcgonagall can eat <eos>	petunia should not gobble the croissant that mcgonagall can eat <eos>
a professor may make the souffle which she can prepare <eos>	a professor may make the souffle which she can prepare <eos>	a professor may make the souffle which she can prepare <eos>
the student can gobble the souffle since mcgonagall can swim <eos>	the student can gobble the souffle since mcgonagall can swim <eos>	the student can gobble the souffle since mcgonagall can swim <eos>
she may arrange many cakes which hermione should prepare <eos>	she may not arrange many cakes which hermione should prepare <eos>	she may not arrange many cakes which hermione should prepare <eos>
harry must chew the chocolates that snape can hide <eos>	harry must not chew the chocolates that snape can hide <eos>	harry must not chew the chocolates that snape can hide <eos>
fred must eat the baklava that voldemort should sprinkle <eos>	fred must not eat the baklava that voldemort should sprinkle <eos>	fred must not eat the baklava that voldemort should sprinkle <eos>
harry can arrange many doughnuts which lupin must prepare <eos>	harry can not arrange many doughnuts which lupin must prepare <eos>	harry can not arrange many doughnuts which lupin must prepare <eos>
a student may arrange a croissant which sirius should prepare <eos>	a student may arrange a croissant which sirius should prepare <eos>	a student may arrange a croissant which sirius should prepare <eos>
snape should gobble the eclaire <eos>	snape should gobble the eclaire <eos>	snape should gobble the eclaire <eos>
ron should prepare the croissants <eos>	ron should prepare the croissants <eos>	ron should prepare the croissants <eos>
hagrid can create the cookies <eos>	hagrid can create the cookies <eos>	hagrid can create the cookies <eos>
fred may gobble a chocolate <eos>	fred may gobble a chocolate <eos>	fred may gobble a chocolate <eos>
ginny must make a strudel <eos>	ginny must make a strudel <eos>	ginny must make a strudel <eos>
george should gobble many pancakes that lily must assemble <eos>	george should gobble many pancakes that lily must assemble <eos>	george should gobble many pancakes that lily must assemble <eos>
since hagrid should smile the student may smile <eos>	since hagrid should smile the student may not smile <eos>	since hagrid should smile the student may not smile <eos>
vernon should prepare the eclaires that hermione should prepare <eos>	vernon should prepare the eclaires that hermione should prepare <eos>	vernon should prepare the eclaires that hermione should prepare <eos>
since george should jump ron should gobble the chocolates <eos>	since george should jump ron should gobble the chocolates <eos>	since george should jump ron should gobble the chocolates <eos>
lily should hiccup since mcgonagall can arrange the strudels <eos>	lily should hiccup since mcgonagall can arrange the strudels <eos>	lily should hiccup since mcgonagall can arrange the strudels <eos>
hermione may swim <eos>	hermione may not swim <eos>	hermione may not swim <eos>
ginny can jump <eos>	ginny can not jump <eos>	ginny can not jump <eos>
snape may jump <eos>	snape may not jump <eos>	snape may not jump <eos>
hermione may wiggle <eos>	hermione may not wiggle <eos>	hermione may not wiggle <eos>
he can wiggle <eos>	he can not wiggle <eos>	he can not wiggle <eos>
because snape must make the doughnuts that neville can assemble he may arrange the eclaire <eos>	because snape must make the doughnuts that neville can assemble he may arrange the eclaire <eos>	because snape must make the doughnuts that neville can assemble he may arrange the eclaire <eos>
since hermione can chew the cookie that hermione must gobble mcgonagall may prepare the souffles <eos>	since hermione can chew the cookie that hermione must gobble mcgonagall may prepare the souffles <eos>	since hermione can chew the cookie that hermione must gobble mcgonagall may prepare the souffles <eos>
since sirius must walk ron may chew the doughnuts that a wizard may assemble <eos>	since sirius must walk ron may not chew the doughnuts that a wizard may assemble <eos>	since sirius must walk ron may not chew the doughnuts that a wizard may assemble <eos>
snape should make the baklava which draco can sprinkle because dobby must eat the cookies <eos>	snape should make the baklava which draco can sprinkle because dobby must eat the cookies <eos>	snape should make the baklava which draco can sprinkle because dobby must eat the cookies <eos>
lily must assemble the croissants since mcgonagall can assemble the chocolate that vernon can gobble <eos>	lily must assemble the croissants since mcgonagall can assemble the chocolate that vernon can gobble <eos>	lily must assemble the croissants since mcgonagall can assemble the chocolate that vernon can gobble <eos>
james must arrange the strudels <eos>	james must not arrange the strudels <eos>	james must not arrange the strudels <eos>
mcgonagall must gobble many souffles <eos>	mcgonagall must not gobble many souffles <eos>	mcgonagall must not gobble many souffles <eos>
vernon must chew the chocolates <eos>	vernon must not chew the chocolates <eos>	vernon must not chew the chocolates <eos>
george can gobble the souffle <eos>	george can not gobble the souffle <eos>	george can not gobble the souffle <eos>
mcgonagall may arrange a eclaire <eos>	mcgonagall may not arrange a eclaire <eos>	mcgonagall may not arrange a eclaire <eos>
vernon must eat the croissants <eos>	vernon must not eat the croissants <eos>	vernon must not eat the croissants <eos>
james should eat the eclaire <eos>	james should not eat the eclaire <eos>	james should not eat the eclaire <eos>
lily should make the strudel <eos>	lily should not make the strudel <eos>	lily should not make the strudel <eos>
he can gobble the cookie <eos>	he can not gobble the cookie <eos>	he can not gobble the cookie <eos>
mcgonagall must assemble the souffles <eos>	mcgonagall must not assemble the souffles <eos>	mcgonagall must not assemble the souffles <eos>
albus must make a souffle <eos>	albus must make a souffle <eos>	albus must make a souffle <eos>
hagrid may arrange a souffle <eos>	hagrid may arrange a souffle <eos>	hagrid may arrange a souffle <eos>
ginny should eat the cookies <eos>	ginny should eat the cookies <eos>	ginny should eat the cookies <eos>
hermione should make the souffles <eos>	hermione should make the souffles <eos>	hermione should make the souffles <eos>
voldemort may prepare the souffles <eos>	voldemort may prepare the souffles <eos>	voldemort may prepare the souffles <eos>
since hermione should sprinkle a cookie that george can eat james should eat the chocolates that voldemort must assemble <eos>	since hermione should sprinkle a cookie that george can eat james should not eat the chocolates that voldemort must assemble <eos>	since hermione should sprinkle a cookie that george can eat james should not eat the chocolates that voldemort must assemble <eos>
because george should assemble the chocolates that hagrid can arrange voldemort can chew the baklava that the student can create <eos>	because george should assemble the chocolates that hagrid can arrange voldemort can chew the baklava that the student can create <eos>	because george should assemble the chocolates that hagrid can arrange voldemort can chew the baklava that the student can create <eos>
because ginny can run since a student should prepare the cookies vernon can assemble the baklava that voldemort must gobble <eos>	because ginny can run since a student should prepare the cookies vernon can assemble the baklava that voldemort must gobble <eos>	because ginny can run since a student should prepare the cookies vernon can assemble the baklava that voldemort must gobble <eos>
because lily must eat the cake that mcgonagall should gobble voldemort may gobble the doughnut since lily may laugh <eos>	because lily must eat the cake that mcgonagall should gobble voldemort may not gobble the doughnut since lily may laugh <eos>	because lily must eat the cake that mcgonagall should gobble voldemort may not gobble the doughnut since lily may laugh <eos>
a professor may assemble the strudel that petunia should assemble because harry may create the cookies that petunia can eat <eos>	a professor may assemble the strudel that petunia should assemble because harry may create the cookies that petunia can eat <eos>	a professor may assemble the strudel that petunia should assemble because harry may create the cookies that petunia can eat <eos>
the professor may create a cake <eos>	the professor may create a cake <eos>	the professor may create a cake <eos>
ron should chew many baklava <eos>	ron should not chew many baklava <eos>	ron should not chew many baklava <eos>
the professor must chew a baklava <eos>	the professor must chew a baklava <eos>	the professor must chew a baklava <eos>
a professor should sprinkle a chocolate <eos>	a professor should sprinkle a chocolate <eos>	a professor should sprinkle a chocolate <eos>
hagrid can eat the baklava <eos>	hagrid can not eat the baklava <eos>	hagrid can not eat the baklava <eos>
because ron must eat many pancakes that hagrid should create petunia must assemble a chocolate <eos>	because ron must eat many pancakes that hagrid should create petunia must not assemble a chocolate <eos>	because ron must eat many pancakes that hagrid should create petunia must not assemble a chocolate <eos>
because ron should eat a cake lupin should assemble the baklava that fred must hide <eos>	because ron should eat a cake lupin should not assemble the baklava that fred must hide <eos>	because ron should eat a cake lupin should not assemble the baklava that fred must hide <eos>
because sirius should eat a pancake that neville must gobble a witch can assemble the croissants <eos>	because sirius should eat a pancake that neville must gobble a witch can assemble the croissants <eos>	because sirius should eat a pancake that neville must gobble a witch can assemble the croissants <eos>
a wizard should smile because the student must create a pancake that mcgonagall must make <eos>	a wizard should not smile because the student must create a pancake that mcgonagall must make <eos>	a wizard should not smile because the student must create a pancake that mcgonagall must make <eos>
the witch should arrange a souffle because vernon may sprinkle the souffle that james can gobble <eos>	the witch should arrange a souffle because vernon may sprinkle the souffle that james can gobble <eos>	the witch should arrange a souffle because vernon may sprinkle the souffle that james can gobble <eos>
mcgonagall may prepare the eclaire <eos>	mcgonagall may prepare the eclaire <eos>	mcgonagall may prepare the eclaire <eos>
albus can prepare the pancakes <eos>	albus can prepare the pancakes <eos>	albus can prepare the pancakes <eos>
vernon may hide a eclaire <eos>	vernon may hide a eclaire <eos>	vernon may hide a eclaire <eos>
she should assemble a croissant <eos>	she should assemble a croissant <eos>	she should assemble a croissant <eos>
lily must create the doughnuts <eos>	lily must create the doughnuts <eos>	lily must create the doughnuts <eos>
ron must jump because sirius must eat many cookies <eos>	ron must not jump because sirius must eat many cookies <eos>	ron must not jump because sirius must eat many cookies <eos>
lily must assemble the strudel that james may eat <eos>	lily must not assemble the strudel that james may eat <eos>	lily must not assemble the strudel that james may eat <eos>
draco must arrange a cake that the professor may arrange <eos>	draco must arrange a cake that the professor may arrange <eos>	draco must arrange a cake that the professor may arrange <eos>
she should prepare a croissant which james must eat <eos>	she should not prepare a croissant which james must eat <eos>	she should not prepare a croissant which james must eat <eos>
lupin must gobble the doughnuts that dobby may create <eos>	lupin must not gobble the doughnuts that dobby may create <eos>	lupin must not gobble the doughnuts that dobby may create <eos>
a professor may make the croissants which ginny must gobble <eos>	a professor may not make the croissants which ginny must gobble <eos>	a professor may not make the croissants which ginny must gobble <eos>
sirius must prepare many cookies which albus must assemble <eos>	sirius must not prepare many cookies which albus must assemble <eos>	sirius must not prepare many cookies which albus must assemble <eos>
a student may create a eclaire that draco must hide <eos>	a student may create a eclaire that draco must hide <eos>	a student may create a eclaire that draco must hide <eos>
george may create the eclaires which draco may chew <eos>	george may not create the eclaires which draco may chew <eos>	george may not create the eclaires which draco may chew <eos>
vernon should arrange a strudel which he must make <eos>	vernon should not arrange a strudel which he must make <eos>	vernon should not arrange a strudel which he must make <eos>
harry must create the doughnut since james may chew the eclaire since vernon must smile <eos>	harry must create the doughnut since james may chew the eclaire since vernon must smile <eos>	harry must create the doughnut since james may chew the eclaire since vernon must smile <eos>
sirius can sprinkle the pancake since fred must create a cake that albus may eat <eos>	sirius can sprinkle the pancake since fred must create a cake that albus may eat <eos>	sirius can sprinkle the pancake since fred must create a cake that albus may eat <eos>
since lily may eat a cake ginny can create a croissant that lupin can assemble <eos>	since lily may eat a cake ginny can create a croissant that lupin can assemble <eos>	since lily may eat a cake ginny can create a croissant that lupin can assemble <eos>
because snape should arrange a cookie that james can gobble lupin can arrange a doughnut <eos>	because snape should arrange a cookie that james can gobble lupin can arrange a doughnut <eos>	because snape should arrange a cookie that james can gobble lupin can arrange a doughnut <eos>
since voldemort must sprinkle many chocolates neville may eat the baklava which fred should sprinkle <eos>	since voldemort must sprinkle many chocolates neville may eat the baklava which fred should sprinkle <eos>	since voldemort must sprinkle many chocolates neville may eat the baklava which fred should sprinkle <eos>
snape can smile <eos>	snape can smile <eos>	snape can smile <eos>
draco can run <eos>	draco can run <eos>	draco can run <eos>
fred must jump <eos>	fred must jump <eos>	fred must jump <eos>
draco must run <eos>	draco must run <eos>	draco must run <eos>
lily must party <eos>	lily must party <eos>	lily must party <eos>
since dobby must prepare a souffle fred must arrange the chocolates <eos>	since dobby must prepare a souffle fred must not arrange the chocolates <eos>	since dobby must prepare a souffle fred must not arrange the chocolates <eos>
because the professor should prepare the pancakes hagrid should make the cakes <eos>	because the professor should prepare the pancakes hagrid should make the cakes <eos>	because the professor should prepare the pancakes hagrid should make the cakes <eos>
she must eat the strudel because draco may chew a strudel <eos>	she must not eat the strudel because draco may chew a strudel <eos>	she must not eat the strudel because draco may chew a strudel <eos>
since ginny must chew the pancake lily should create the cookie <eos>	since ginny must chew the pancake lily should not create the cookie <eos>	since ginny must chew the pancake lily should not create the cookie <eos>
george should gobble the chocolate because ron should arrange a doughnut <eos>	george should not gobble the chocolate because ron should arrange a doughnut <eos>	george should not gobble the chocolate because ron should arrange a doughnut <eos>
a wizard must make the souffles since the wizard should prepare the pancakes that petunia may chew <eos>	a wizard must not make the souffles since the wizard should prepare the pancakes that petunia may chew <eos>	a wizard must not make the souffles since the wizard should prepare the pancakes that petunia may chew <eos>
since mcgonagall must sprinkle the cakes since hagrid can sprinkle the baklava petunia should hide the souffle <eos>	since mcgonagall must sprinkle the cakes since hagrid can sprinkle the baklava petunia should not hide the souffle <eos>	since mcgonagall must sprinkle the cakes since hagrid can sprinkle the baklava petunia should not hide the souffle <eos>
since vernon should create the chocolates the student must hide a cookie that lupin should chew <eos>	since vernon should create the chocolates the student must not hide a cookie that lupin should chew <eos>	since vernon should create the chocolates the student must not hide a cookie that lupin should chew <eos>
since the wizard should eat a pancake he must arrange the doughnuts which neville can make <eos>	since the wizard should eat a pancake he must not arrange the doughnuts which neville can make <eos>	since the wizard should eat a pancake he must not arrange the doughnuts which neville can make <eos>
since petunia can arrange many chocolates which a wizard can create the witch may make a souffle <eos>	since petunia can arrange many chocolates which a wizard can create the witch may make a souffle <eos>	since petunia can arrange many chocolates which a wizard can create the witch may make a souffle <eos>
harry can chew many baklava that albus may eat <eos>	harry can chew many baklava that albus may eat <eos>	harry can chew many baklava that albus may eat <eos>
harry should hide the baklava that draco can chew <eos>	harry should hide the baklava that draco can chew <eos>	harry should hide the baklava that draco can chew <eos>
george may gobble the baklava that mcgonagall must create <eos>	george may gobble the baklava that mcgonagall must create <eos>	george may gobble the baklava that mcgonagall must create <eos>
george can arrange the strudels that mcgonagall must prepare <eos>	george can arrange the strudels that mcgonagall must prepare <eos>	george can arrange the strudels that mcgonagall must prepare <eos>
neville may chew the cakes which he should hide <eos>	neville may chew the cakes which he should hide <eos>	neville may chew the cakes which he should hide <eos>
draco must assemble the doughnuts <eos>	draco must not assemble the doughnuts <eos>	draco must not assemble the doughnuts <eos>
dobby should eat the croissant <eos>	dobby should not eat the croissant <eos>	dobby should not eat the croissant <eos>
draco must create the baklava <eos>	draco must not create the baklava <eos>	draco must not create the baklava <eos>
the professor should chew the eclaire <eos>	the professor should chew the eclaire <eos>	the professor should chew the eclaire <eos>
